number,ref,doi
1,"K. Esumi, M. Ueno, Structure-Performance Relationships in Surfactants, 2nd Ed., Marcel Dekker, Inc., NY, US, 2003.",10.1201/9780203911518
2,"Z.H. Asadov, R.A. Rahimov, K.A. Mammadova, A. V Gurbanov, G.A. Ahmadova, Synthesis and Characteristics of Dodecyl Isopropylolamine and Derived Surfactants, J. Surfactants Deterg. 19 (2016) 145–153. https://doi.org/https://doi.org/10.1007/s11743-015-1762-y.",10.1007/s11743-015-1762-y
3,"Y. Zhang, Y. Li, Y. Song, J. Li, Synthesis and aggregation behaviors of tail-branched surfactant Guerbet-cetyl trimethyl ammonium chloride, Colloid Polym. Sci. 294 (2016). https://doi.org/10.1007/s00396-015-3771-9.",10.1007/s00396-015-3771-9
4,"N. Ikeda, N. Sanefuji, K.-K. Lu, M. Aratono, K. Motomura, Surface Adsorption and Micelle Formation of the Mixture of N-Methylated Dodecylammonium Chloride and Dodecylammonium Chloride, J. Colloid Interface Sci. 164 (1994) 439–443. https://doi.org/https://doi.org/10.1006/jcis.1994.1186.",10.1006/jcis.1994.1186
5,"F. Devínsky, I. Lacko, F. Bittererová, L. Tomečková, Relationship between structure, surface activity, and micelle formation of some new bisquaternary isosteres of 1,5-pentanediammonium dibromides, J. Colloid Interface Sci. 114 (1986) 314–322. https://doi.org/https://doi.org/10.1016/0021-9797(86)90417-0.",10.1016/0021-9797(86)90417-0
6,"J. Wegrzyńska, G. Para, J. Chlebicki, P. Warszyński, K.A. Wilk, Adsorption of Multiple Ammonium Salts at the Air/Solution Interface, Langmuir. 24 (2008) 3171–3180. https://doi.org/10.1021/la702619a.",10.1021/la702619a
7,"L. Wang, J. Yang, X. He, M. Zhao, D. Cheng, A. Wang, G. Yin, B. Zhao, Y. Liu, W. Wang, Study on the Surface Properties and Aggregation Behavior of Quaternary Ammonium Surfactants with Amide Bonds, ACS Omega. 5 (2020) 17042–17050. https://doi.org/10.1021/acsomega.0c00294.",10.1021/acsomega.0c00294
8,"T. Dam, J.B.F.N. Engberts, J. Karthäuser, S. Karaborni, N.M. van Os, Synthesis, surface properties and oil solubilisation capacity of cationic gemini surfactants, Colloids Surfaces A Physicochem. Eng. Asp. 118 (1996) 41–49. https://doi.org/https://doi.org/10.1016/0927-7757(95)03383-1.",10.1016/0927-7757(95)03383-1
9,"M.R. Infante, L. Pérez, A. Pinazo, P. Clapés, M.C. Morán, M. Angelet, M.T. García, M.P. Vinardell, Amino acid-based surfactants, Comptes Rendus Chim. 7 (2004) 583–592. https://doi.org/https://doi.org/10.1016/j.crci.2004.02.009.",10.1016/j.crci.2004.02.009
10,"M. Murguia, M. Cristaldi, A. Porto, J. Conza, R. Grau, Synthesis, Surface-Active Properties, and Antimicrobial Activities of New Neutral and Cationic Trimeric Surfactants, J. Surfactants Deterg. 11 (2008) 41–48. https://doi.org/10.1007/s11743-007-1052-4.",10.1007/s11743-007-1052-4
