Number,SMILES,AW_ST_CMC/ mN/m,ref,Type_of_surfactant,DOI_1,DOI_2
1,CCCCCCCC[N+](C)(C)CCCCCCCC.[Br-],23.0,[1],cationic,10.1016/j.ces.2022.118208,10.1201/9780203911518
2,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],24.0,[1],cationic,10.1016/j.ces.2022.118208,10.1201/9780203911518
3,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],25.0,[1],cationic,10.1016/j.ces.2022.118208,10.1201/9780203911518
4,CCCCCCCCCCCC[N+](CC(C)O)C.[I-],28.1,[2],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1762-y
5,CCCCCCCCCCCC[N+]CC(C)O.[Br-],26.1,[2],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1762-y
6,CCCCCCCCCCCC[N+]CC(C)O.[Cl-],26.4,[2],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1762-y
7,CCCCCCCCCCCC[N+](CC(C)O)CC.[Br-],27.4,[2],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1762-y
8,CCCCCCCCCCCC[N+](CC(C)O)CCC.[Br-],26.2,[2],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1762-y
9,CCCCCCCCC(CCCCCC)C[N+](C)(C)C.[Cl-],26.2,[3],cationic,10.1016/j.ces.2022.118208,10.1007/s00396-015-3771-9
10,CCCCCCCCCCCC[N+].[Cl-],29.0,[4],cationic,10.1016/j.ces.2022.118208,10.1006/jcis.1994.1186
11,CCCCCCCCCCCC[N+]C.[Cl-],34.0,[4],cationic,10.1016/j.ces.2022.118208,10.1006/jcis.1994.1186
12,CCCCCC[N+](C)(C)CCSCC[N+](CCCCCC)(C)C.[Br-].[Br-],28.7,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
13,CCCCCCCCCCCC[N+](C)(C)CCSCC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],34.5,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
14,CCCCCCCCCCCCCC[N+](C)(C)CCSCC[N+](CCCCCCCCCCCCCC)(C)C.[Br-].[Br-],33.9,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
15,CCCCCCCCCC[N+](C)(C)CCSCC[N+](CCCCCCCCCC)(C)C.[Br-].[Br-],35.0,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
16,CCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCC)(C)C.[Br-].[Br-],37.1,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
17,CCCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCCC)(C)C.[Br-].[Br-],38.0,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
18,CCCCCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCCCCC)(C)C.[Br-].[Br-],37.5,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
19,CCCCCCCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCCCCCCC)(C)C.[Br-].[Br-],38.0,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
20,CCCCCCCCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCCCCCCCC)(C)C.[Br-].[Br-],38.0,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
21,CCCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCCC)(C)C.[Br-].[Br-],39.7,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
22,CCCCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCCCC)(C)C.[Br-].[Br-],39.5,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
23,CCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCCCCCCC)(C)C.[Br-].[Br-],39.7,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
24,CCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCCCCCCCC)(C)C.[Br-].[Br-],39.6,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
25,CCCCCCCCCCC[N+](C)(C)CCOCC[N+](CCCCCCCCCCC)(C)C.[Br-].[Br-],39.1,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
26,CCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](CCCCCCCCCCCCC)(C)C.[Br-].[Br-],39.7,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
27,CCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCC)(C)C.[Br-].[Br-],40.3,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
28,CCCCCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCCCCC)(C)C.[Br-].[Br-],40.0,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
29,CCCCCCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],40.1,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
30,CCCCCCCCCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCCCCCCCCC)(C)C.[Br-].[Br-],40.1,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
31,CCCCCCCCC[N+](C)(C)CCOCC[N+](CCCCCCCCC)(C)C.[Br-].[Br-],40.4,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
32,CCCCCCCCCC[N+](C)(C)CCOCC[N+](CCCCCCCCCC)(C)C.[Br-].[Br-],40.8,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
33,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCSCC[N+](CCCCCCCCCCCCCCCCCC)(C)C.[Br-].[Br-],40.9,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
34,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCCCCCCCCCC)(C)C.[Br-].[Br-],42.9,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
35,CCCCCCCCCCCCCCCC[N+](C)(C)CCSCC[N+](CCCCCCCCCCCCCCCC)(C)C.[Br-].[Br-],41.9,[5],cationic,10.1016/j.ces.2022.118208,10.1016/0021-9797(86)90417-0
36,CCCCCCCCCCCC[N+](C)(C)CC(O)C[N+](CCCCCC)(CCCCCC)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-].[Cl-],30.0,[6],cationic,10.1016/j.ces.2022.118208,10.1021/la702619a
37,CCCCCCCCCCCC[N+](C)(C)CC(O)C[N+](CC)(CC)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-].[Cl-],34.0,[6],cationic,10.1016/j.ces.2022.118208,10.1021/la702619a
38,CCCCCCCCCCCC[N+](C)(C)CC(O)CN(CCCCCC)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],35.0,[6],cationic,10.1016/j.ces.2022.118208,10.1021/la702619a
39,CCCCCCCCCCCC[N+](C)(C)CC(O)CN(CC)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],38.0,[6],cationic,10.1016/j.ces.2022.118208,10.1021/la702619a
40,C1=CC=CC=C1NC(=O)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-],32.4,[7],cationic,10.1016/j.ces.2022.118208,10.1021/acsomega.0c00294
41,C1=CC=CC=C1C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-],40.5,[7],cationic,10.1016/j.ces.2022.118208,10.1021/acsomega.0c00294
42,CCCCCCCCCC[N+](C)(C)CC[N+](CCCCCCCCCC)(C)C.[Br-].[Br-],32.0,[8],cationic,10.1016/j.ces.2022.118208,10.1016/0927-7757(95)03383-1
43,C[N+](CCCCCCCCCCCC)(C)CCCCCCCCCC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],43.0,[8],cationic,10.1016/j.ces.2022.118208,10.1016/0927-7757(95)03383-1
44,C[N+](CCCCCCCCCCCC)(C)CCCCCC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],41.0,[8],cationic,10.1016/j.ces.2022.118208,10.1016/0927-7757(95)03383-1
45,C(N)([N+])NCCCC(C(=O)OC)NC(=O)CCCCCCCCCCC.[Cl-],32.0,[9],cationic,10.1016/j.ces.2022.118208,10.1016/j.crci.2004.02.009
46,C(N)([N+])NCCCC(C(=O)OC)NC(=O)CCCCCCCCCCCCC.[Cl-],32.0,[9],cationic,10.1016/j.ces.2022.118208,10.1016/j.crci.2004.02.009
47,C(N)([N+])NCCCC(C(=O)NCCCCCCCCCC)[N+].[Cl-].[Cl-],35.0,[9],cationic,10.1016/j.ces.2022.118208,10.1016/j.crci.2004.02.009
48,C(N)([N+])NCCCC(C(=O)OCCCCCCCC)[N+].[Cl-].[Cl-],35.0,[9],cationic,10.1016/j.ces.2022.118208,10.1016/j.crci.2004.02.009
49,C(N)([N+])NCCCC(C(=O)NCCCCCCCCCCCCCC)[N+].[Cl-].[Cl-],33.0,[9],cationic,10.1016/j.ces.2022.118208,10.1016/j.crci.2004.02.009
50,C(N)([N+])NCCCC(C(=O)OCCCCCCCCCC)[N+].[Cl-].[Cl-],34.0,[9],cationic,10.1016/j.ces.2022.118208,10.1016/j.crci.2004.02.009
51,C(N)([N+])NCCCC(C(=O)OC)NC(=O)CCCCCCCCC.[Cl-],40.0,[9],cationic,10.1016/j.ces.2022.118208,10.1016/j.crci.2004.02.009
52,CCCCCCCCCCCCCC[N+]CC(O)COCC(COCC(C[N+]CCCCCCCCCCCCCC)O)(COCC(C[N+]CCCCCCCCCCCCCC)O)C.[Cl-].[Cl-].[Cl-],34.0,[10],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-007-1052-4
53,CCCCCCCCCC[N+]CC(O)COCC(COCC(C[N+]CCCCCCCCCC)O)(COCC(C[N+]CCCCCCCCCC)O)C.[Cl-].[Cl-].[Cl-],34.8,[10],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-007-1052-4
54,C1=CC(=CC=C1)NC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-],33.3,[11],cationic,10.1016/j.ces.2022.118208,10.1002/jsde.12221
55,C1(=NC=CS1)NC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-],35.1,[11],cationic,10.1016/j.ces.2022.118208,10.1002/jsde.12221
56,CCCCCCCC[N]1C=C[N+](=C1)C.[I-],34.5,[12],cationic,10.1016/j.ces.2022.118208,10.1021/la035940m
57,CCCCCCCC[N]1C=C[N+](=C1)C.[Cl-],37.0,[12],cationic,10.1016/j.ces.2022.118208,10.1021/la035940m
58,CCCCCCCCCCCC[N+](C)(C)CCC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],34.0,[13],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2010.02.004
59,CCCCCCCCCCCC[N+](CCCC)(CCCC)CCCC.[Br-],35.5,[13],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2010.02.004
60,CCCCCCCCCCCC[N+](C)(C)CCCC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],38.0,[13],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2010.02.004
61,CCCCCCCCCCCC[N+](CC)(CC)CC.[Br-],39.0,[13],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2010.02.004
62,CCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],39.0,[13],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2010.02.004
63,CCCCCCCCCCCC(=O)NC(CCCNC(=[N+])N)C(=O)NCCCCCCNC(C(NC(CCCCCCCCCCC)=O)CCCNC(=[N+])N)=O.[Cl-].[Cl-],34.0,[14],cationic,10.1016/j.ces.2022.118208,10.1021/la960301f
64,CCCCCCCCCCCC(=O)NC(CCCNC(=[N+])N)C(=O)NCCCNC(C(NC(CCCCCCCCCCC)=O)CCCNC(=[N+])N)=O.[Cl-].[Cl-],36.0,[14],cationic,10.1016/j.ces.2022.118208,10.1021/la960301f
65,CCCCCCCCCCCC(=O)NC(CCCNC(=[N+])N)C(=O)NCCCCCCCCCNC(C(NC(CCCCCCCCCCC)=O)CCCNC(=[N+])N)=O.[Cl-].[Cl-],36.0,[14],cationic,10.1016/j.ces.2022.118208,10.1021/la960301f
