Number,SMILES,STCMC (mN/m),Reference
1,CCCCCCCC[N+](C)(C)CCCCCCCC.[Br-],23.0,1
2,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],24.0,1
3,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],25.0,1
4,CCCCCCCCCCCC[N+](CC(C)O)C.[I-],28.1,2
5,CCCCCCCCCCCC[N+]CC(C)O.[Br-],26.1,2
6,CCCCCCCCCCCC[N+]CC(C)O.[Cl-],26.4,2
7,CCCCCCCCCCCC[N+](CC(C)O)CC.[Br-],27.4,2
8,CCCCCCCCCCCC[N+](CC(C)O)CCC.[Br-],26.2,2
9,CCCCCCCCC(CCCCCC)C[N+](C)(C)C.[Cl-],26.2,3
10,CCCCCCCCCCCC[N+].[Cl-],29.0,4
11,CCCCCCCCCCCC[N+]C.[Cl-],34.0,4
12,CCCCCC[N+](C)(C)CCSCC[N+](CCCCCC)(C)C.[Br-].[Br-],28.7,5
13,CCCCCCCCCCCC[N+](C)(C)CCSCC[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],34.5,5
14,CCCCCCCCCCCCCC[N+](C)(C)CCSCC[N+](CCCCCCCCCCCCCC)(C)C.[Br-].[Br-],33.9,5
15,CCCCCCCCCC[N+](C)(C)CCSCC[N+](CCCCCCCCCC)(C)C.[Br-].[Br-],35.0,5
16,CCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCC)(C)C.[Br-].[Br-],37.1,5
17,CCCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCCC)(C)C.[Br-].[Br-],38.0,5
18,CCCCCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCCCCC)(C)C.[Br-].[Br-],37.5,5
19,CCCCCCCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCCCCCCC)(C)C.[Br-].[Br-],38.0,5
20,CCCCCCCCCCCCCC[N+](C)(C)CCN(C)CC[N+](CCCCCCCCCCCCCC)(C)C.[Br-].[Br-],38.0,5
21,CCCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCCC)(C)C.[Br-].[Br-],39.7,5
22,CCCCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCCCC)(C)C.[Br-].[Br-],39.5,5
23,CCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCCCCCCC)(C)C.[Br-].[Br-],39.7,5
24,CCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](CCCCCCCCCCCCCC)(C)C.[Br-].[Br-],39.6,5
