Trisiloxane,CAC (mol/m3),temperature/ K,source_doi,reference_doi,method,SMILES
T4,0.046,283.15,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(O[Si](O[Si](C)(C)C)(C)CCCOCCOCCOCCOCCO)C
T4,0.022,298.15,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(O[Si](O[Si](C)(C)C)(C)CCCOCCOCCOCCOCCO)C
T5,0.06,283.15,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(O[Si](O[Si](C)(C)C)(C)CCCOCCOCCOCCOCCOCCO)C
T5,0.028,298.15,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(O[Si](O[Si](C)(C)C)(C)CCCOCCOCCOCCOCCOCCO)C
T6,0.1,283.15,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(O[Si](O[Si](C)(C)C)(C)CCCOCCOCCOCCOCCOCCOCCO)C
T6,0.061,298.15,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(O[Si](O[Si](C)(C)C)(C)CCCOCCOCCOCCOCCOCCOCCO)C
T7,0.15,283.15,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(O[Si](O[Si](C)(C)C)(C)CCCOCCOCCOCCOCCOCCOCCOCCO)C
T7,0.07,298.15,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(O[Si](O[Si](C)(C)C)(C)CCCOCCOCCOCCOCCOCCOCCOCCO)C
T8,0.12,283.15,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(O[Si](O[Si](C)(C)C)(C)CCCOCCOCCOCCOCCOCCOCCOCCOCCO)C
T8,0.094,298.15,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(O[Si](O[Si](C)(C)C)(C)CCCOCCOCCOCCOCCOCCOCCOCCOCCO)C
T9,0.16,283.15,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(O[Si](O[Si](C)(C)C)(C)CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C
T9,0.15,298.15,10.1016/j.colsurfa.2010.01.053,,tensiometry,C[Si](C)(O[Si](O[Si](C)(C)C)(C)CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C
