Table 4. Linear Alkylbenzene Sulfonates,
RC6H4SO3Na (para)
carbon number of R , C6H4SO3Na position , pCMC calcd (with BF),  pCMC calcd (no BF),  pCMC obsdb,
10,2,2.24,2.41,2.27,
10,3,2.06,2.33,2.23,
10,4,1.91,2.25,2.18,
10,5,1.78,2.17,2.09,
11,2,2.54,2.70,2.55,
11,3,2.35,2.62,2.50,
11,4,2.20,2.54,2.40,
11,5,2.07,2.46,2.30,
11,6,1.94,2.38,2.25,
12,2,2.83,3.00,2.83,
12,3,2.64,2.91,2.78,
12,4,2.49,2.83,2.65,
12,5,2.36,2.75,2.57,
12,6,2.24,2.67,2.46,
13,2,3.12,3.29,3.11,
13,3,2.94,3.20,3.00,
13,4,2.78,3.12,2.90,
13,5,2.65,3.04,2.78,
13,6,2.53,2.96,2.70,
13,7,2.41,2.88,2.60,
14,2,3.41,3.58,3.39,
14,3,3.23,3.49,3.28,
14,4,3.08,3.41,3.15,
14,5,2.94,3.33,3.05,
14,6,2.82,3.25,2.90,
14,7,2.70,3.17,2.80
