Table 5. Secondary Alcohol Sulfates
carbon number,  substitution position,  pCMC calcd (with BF),  pCMC calcd (no BF),  pCMC obsd,
8,2,0.71,0.88,0.74,
10,2,1.29,1.46,1.31,
11,3,1.41,1.67,1.54,
11,6,1.00,1.43,1.08,
13,2,2.17,2.33,2.19,
13,7,1.46,1.93,1.71,
14,2,2.46,2.63,2.48,
14,3,2.28,2.54,2.37,
14,4,2.13,2.46,2.29,
14,5,1.99,2.38,2.17,
14,7,1.75,2.22,2.01,
15,2,2.75,2.92,2.77,
15,3,2.57,2.84,2.66,
15,5,2.28,2.67,2.47,
15,8,1.93,2.43,2.18,
16,4,2.71,3.05,2.76,
16,6,2.45,2.88,2.63,
16,8,2.22,2.72,2.37,
17,2,3.33,3.50,3.31,
17,9,2.40,2.93,2.63,
18,2,3.62,3.79,3.59,
18,4,3.29,3.63,3.35,
18,6,3.03,3.47,3.14,
19,5,3.45,3.84,3.48,
19,10,2.87,3.43,3.03,
29,15,5.28,5.94,4.10
