Table 6. Primary Alcohol Sulfates R1R2CHCH2OSO3Na,
carbon numbers R1, carbon numbers R2,pCMC observed ref 17,pCMC observed ref 18, pCMC calculated with PDBF, pCMC calculatedno PDBF
8,0,,1.52,1.54,1.54
9,0,,1.80,1.83,1.83
10,0,2.22,2.09,2.12,2.12
9,1,2.02,,1.87,2.04
8,2,1.92,,1.70,1.96
5,5,1.74,,1.29,1.72
11,0,2.59,2.37,2.41,2.41
10,1,2.40,,2.17,2.33
12,0,2.85,2.66,2.71,2.71
11,1,2.74,,2.46,2.62
10,2,2.52,,2.28,2.54
8,4,2.51,,1.99,2.38
6,6,2.15,,1.75,2.22
13,0,3.24,2.95,3.00,3.00
11,2,3.00,,2.49,2.75
14,0,,3.23,3.29,3.29
13,1,,3.13,3.04,3.21
12,2,,3.02,2.86,3.13
11,3,,2.92,2.71,3.04
10,4,,2.81,2.57,2.96
9,5,,2.71,2.45,2.88
8,6,,2.60,2.33,2.80
7,7,,2.50,2.22,2.72
