Table 2. Primary Alcohol Sulfates and Ether Sulfates at 20-40 °C
CnH2n+1(OCH2CHMe)mOSO3Na at 20 °C
n,m,pCMC calc,pCMC obsd
8,1,1.49,1.35
12,1,2.65,2.58
8,2,1.67,1.56
12,2,2.84,2.78
8,3,1.86,1.78
12,3,3.02,2.96
8,4,2.05,2.02
12,4,3.21,3.12
8,5,2.24,2.22
14,1,3.23,3.10
8,6,2.42,2.48
14,2,3.42,3.30
10,1,2.07,1.96
14,3,3.61,3.52
10,2,2.26,2.13
14,4,3.79,3.74
10,3,2.44,2.37
16,1,3.81,3.60
10,4,2.63,2.59
16,2,4.00,3.82
10,5,2.82,2.78
16,3,4.19,4.00
16,4,4.37,4.20
CnH2n+1(OCH2CH2)mOSO3Na at 25 °C
n,m,pCMC calc,pCMC obsd
10,2,2.17,1.91,
12,1,2.61,2.35,
12,2,2.75,2.55,
14,2,3.33,3.07,
16,2,3.91,3.66,
CnH2n+1OSO3Nac
n,T (°C),pCMC calcd,pCMC obsd
6,25,0.38,0.38
7,25,0.67,0.66
8,40,0.96,0.85
9,25,1.25,1.22
10,40,1.54,1.48
11,25,1.83,1.80
12,40,2.12,2.07
13,40,2.41,2.37
14,40,2.71,2.66
15,40,3.00,2.92
16,40,3.29,3.24
