Table 3. Ester Sulfonates
R1CH(SO3Na)CO2R2
R1,R2,pCMC calcd,pCMC obsd
2,10,2.13,2.02
14,1,3.16,3.40
7,5,1.96,1.81
2,14,3.29,3.35
10,2,2.21,2.11
7,9,2.89,2.92
1,12,2.50,2.49
10,6,3.05,3.06
7,6,2.17,2.16
14,2,3.37,3.47
10,3,2.42,2.28
7,10,3.18,3.31
12,1,2.58,2.55
10,7,3.26,3.30
2,12,2.71,2.72
12,5,3.42,3.47
7,7,2.38,2.35
14,3,3.58,3.59
10,4,2.63,2.55
16,1,3.74,3.80
12,2,2.79,2.72
14,4,3.80,3.80
1,14,3.08,3.11
16,2,3.95,3.89
7,8,2.59,2.68
14,5,4.00,3.89
10,5,2.84,2.77
16,3,4.16,4.15
12,3,3.00,2.96
