identifier,Temp_Celsius,pC20,CMC,AW_ST_CMC,SMILES,source_doi,reference_doi,InChI,Molecular_Weight,Area_min,Gamma_max,pCMC,C20
(C10N)2(OH)2,25,3.24,0.0037,35.5,CCCCCCCCCC[N+](C)(C)CC(O)C(O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],10.1007/BF02517990,,"InChI=1S/C28H62N2O2.2BrH/c1-7-9-11-13-15-17-19-21-23-29(3,4)25-27(31)28(32)26-30(5,6)24-22-20-18-16-14-12-10-8-2;;/h27-28,31-32H,7-26H2,1-6H3;2*1H/q+2;;/p-2",618.6240000000005,,,2.431798275933005,0.0005754399373371566
C10H21N(CH3)3Br,25,,0.068,,CCCCCCCCCC[N+](C)(C)C.[Br-],10.1007/BF02517990,,"InChI=1S/C13H30N.BrH/c1-5-6-7-8-9-10-11-12-13-14(2,3)4;/h5-13H2,1-4H3;1H/q+1;/p-1",280.294,,,1.1674910872937636,
(C12N)2(OH)2,25,3.89,0.0007,35.4,CCCCCCCCCCCC[N+](C)(C)CC(O)C(O)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],10.1007/BF02517990,,"InChI=1S/C32H70N2O2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-33(3,4)29-31(35)32(36)30-34(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h31-32,35-36H,7-30H2,1-6H3;2*1H/q+2;;/p-2",674.7320000000004,,,3.154901959985743,0.00012882495516931337
(C12N)2(CH2)2,25,,0.0012,,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],10.1007/BF02517990,,"InChI=1S/C30H66N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31(3,4)29-30-32(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2",614.6800000000005,,,2.9208187539523753,
(C12N)2Ar,50,0.0013,39.0,,CCCCCCCCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCCCCCCC)cc1.[Br-].[Br-],10.1007/BF02517990,,"InChI=1S/C36H70N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-31-37(3,4)33-35-27-29-36(30-28-35)34-38(5,6)32-26-24-22-20-18-16-14-12-10-8-2;;/h27-30H,7-26,31-34H2,1-6H3;2*1H/q+2;;/p-2",690.7780000000006,,,-1.591064607026499,0.9970111150161655
C12H25N(CH3)3Br,25,0.016,,,CCCCCCCCCCCC[N+](C)(C)C.[Br-],10.1007/BF02517990,,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1",308.34799999999996,,,,0.9638290236239705
(C14N)2(OH)2,25,5.5,8.5e-05,36.0,CCCCCCCCCCCCCC[N+](C)(C)CC(O)C(O)C[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1007/BF02517990,,"InChI=1S/C36H78N2O2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-37(3,4)33-35(39)36(40)34-38(5,6)32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h35-36,39-40H,7-34H2,1-6H3;2*1H/q+2;;/p-2",730.8400000000004,,,4.070581074285707,3.162277660168379e-06
C14H29N(CH3)3Br,25,,0.0036,,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],10.1007/BF02517990,,"InChI=1S/C17H38N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18(2,3)4;/h5-17H2,1-4H3;1H/q+1;/p-1",336.40199999999993,,,2.4436974992327127,
(C16N)2(OH)2,25,5.5,5e-05,41.4,CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)C(O)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],10.1007/BF02517990,,"InChI=1S/C40H86N2O2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-41(3,4)37-39(43)40(44)38-42(5,6)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h39-40,43-44H,7-38H2,1-6H3;2*1H/q+2;;/p-2",786.9480000000001,,,4.301029995663981,3.162277660168379e-06
(C16N)2Ar,50,,8e-05,40.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCCCCCCCCCCC)cc1.[Br-].[Br-],10.1007/BF02517990,,"InChI=1S/C44H86N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-39-45(3,4)41-43-35-37-44(38-36-43)42-46(5,6)40-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h35-38H,7-34,39-42H2,1-6H3;2*1H/q+2;;/p-2",802.9940000000001,,,4.096910013008056,
C16H33N(CH3)3Br,25,,2.7e-05,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],10.1007/BF02517990,,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1",364.45599999999996,,,4.568636235841013,
