compound,Medium,temperature,pC20,CMC/ mol/dm3,γ_CMC/ mN/m,Gamma_max 10^10/ mol/cm2,Amin 10^2/ nm2,SMILES,source_doi,reference_doi
(C10N)2(OH)2,H2O,25,3.24,0.0037,35.5,,,OC(C[N+](C)(C)CCCCCCCCCC)C(O)C[N+](CCCCCCCCCC)(C)C.[Br-].[Br-],10.1007/BF02517990,
C10H21N(CH3)3Br,H2O,25,,0.068,,,,CCCCCCCCCC[N+](C)(C)C.[Br-],10.1007/BF02517990,
(C12N)2(OH)2,H2O,25,3.89,0.0007,35.4,,,OC(C[N+](C)(C)CCCCCCCCCCCC)C(O)C[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],10.1007/BF02517990,
(C12N)2(CH2)2,H2O,25,,0.0012,,,,C[N+](CCCCCCCCCCCC)(C)CC[N+](C)(CCCCCCCCCCCC)C.[Br-].[Br-],10.1007/BF02517990,
(C12N)2Ar,H2O,50,0.0013,39,,,,C[N+](CCCCCCCCCCCC)(C)Cc1ccc(C[N+](CCCCCCCCCCCC)(C)C)cc1.[Br-].[Br-],10.1007/BF02517990,
C12H25N(CH3)3Br,H2O,25,0.016,,,,,CCCCCCCCCCCC[N+](C)(C)C.[Br-],10.1007/BF02517990,
(C14N)2(OH)2,H2O,25,5.5,0.000085,36,,,OC(C[N+](C)(C)CCCCCCCCCCCCCC)C(O)C[N+](CCCCCCCCCCCCCC)(C)C.[Br-].[Br-],10.1007/BF02517990,
C14H29N(CH3)3Br,H2O,25,,0.0036,,,,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],10.1007/BF02517990,
(C16N)2(OH)2,H2O,25,5.5,0.00005,41.4,,,OC(C[N+](C)(C)CCCCCCCCCCCCCCCC)C(O)C[N+](CCCCCCCCCCCCCCCC)(C)C.[Br-].[Br-],10.1007/BF02517990,
(C16N)2Ar,H2O,50,,0.00008,40,,,C[N+](CCCCCCCCCCCCCCCC)(C)Cc1ccc(C[N+](CCCCCCCCCCCCCCCC)(C)C)cc1.[Br-].[Br-],10.1007/BF02517990,
C16H33N(CH3)3Br,H2O,25,,0.000027,,,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],10.1007/BF02517990,
(C8N)2(OH),0.1 M NaBr,25,3.05,0.01,38.3,2.3,79,OC(C[N+](C)(C)CCCCCCCC)C(O)C[N+](CCCCCCCC)(C)C.[Br-].[Br-],10.1007/BF02517990,
(C10N)2(OH)2,0.1 M NaBr,25,5.17,0.00033,33.8,2,75,OC(C[N+](C)(C)CCCCCCCCCC)C(O)C[N+](CCCCCCCCCC)(C)C.[Br-].[Br-],10.1007/BF02517990,
(C10N)2(OH)2,0.1 M NaCl,25,4.4,0.001,37.2,1.8,95,OC(C[N+](C)(C)CCCCCCCCCC)C(O)C[N+](CCCCCCCCCC)(C)C.[Br-].[Br-],10.1007/BF02517990,
(C12N)2(OH)2,0.1 M NaBr,25,6.47,0.000006,31.8,2.8,64,OC(C[N+](C)(C)CCCCCCCCCCCC)C(O)C[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],10.1007/BF02517990,
(C12N)2(OH)2,0.1 M NaCl,25,6.03,0.000021,35.8,2.1,84,OC(C[N+](C)(C)CCCCCCCCCCCC)C(O)C[N+](CCCCCCCCCCCC)(C)C.[Br-].[Br-],10.1007/BF02517990,
(C12N)2Ar,0.1 M NaCl,25,,0.00008,38,,111,C[N+](CCCCCCCCCCCC)(C)Cc1ccc(C[N+](CCCCCCCCCCCC)(C)C)cc1.[Br-].[Br-],10.1007/BF02517990,
(C14N)2(OH)2,0.1 M NaBr,25,6.9,0.000001,39.7,3.9,42,OC(C[N+](C)(C)CCCCCCCCCCCCCC)C(O)C[N+](CCCCCCCCCCCCCC)(C)C.[Br-].[Br-],10.1007/BF02517990,
