identifier,Temp_Celsius,source_doi,reference_doi,SMILES,CMC,C20,pCMC,pC20,Molecular_Weight,InChI
[C10H21OCH2CH(SO4−Na+)CH2OCH2]2,25,10.1007/s11743-998-0057-8,10.1007/BF02638962,CCCCCCCCCCOCC(COCCOCC(COCCCCCCCCCC)OS(=O)(=O)[O-])OS(=O)(=O)[O-].[Na+].[Na+],1.3e-05,1e-06,4.886056647693163,6.0,694.8579999999998,"InChI=1S/C28H58O12S2.2Na/c1-3-5-7-9-11-13-15-17-19-35-23-27(39-41(29,30)31)25-37-21-22-38-26-28(40-42(32,33)34)24-36-20-18-16-14-12-10-8-6-4-2;;/h27-28H,3-26H2,1-2H3,(H,29,30,31)(H,32,33,34);;/q;2*+1/p-2"
C12H25SO4−Na+,25,10.1007/s11743-998-0057-8,10.1007/BF02638962,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.008199999999999999,0.0031,2.0861861476162833,2.5086383061657274,288.385,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1"
[C10H21OCH2CH(OCH2CH2CH2SO3−Na+)CH2]2O,25,10.1007/s11743-998-0057-8,10.1007/BF02638962,CCCCCCCCCCOCC(COCC(COCCCCCCCCCC)OCCCS(=O)(=O)[O-])OCCCS(=O)(=O)[O-].[Na+].[Na+],3.3e-05,8e-06,4.481486060122113,5.096910013008056,734.9669999999996,"InChI=1S/C32H66O11S2.2Na/c1-3-5-7-9-11-13-15-17-21-39-27-31(42-23-19-25-44(33,34)35)29-41-30-32(43-24-20-26-45(36,37)38)28-40-22-18-16-14-12-10-8-6-4-2;;/h31-32H,3-30H2,1-2H3,(H,33,34,35)(H,36,37,38);;/q;2*+1/p-2"
C12H25SO3−Na+,25,10.1007/s11743-998-0057-8,10.1007/BF02638962,CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],0.009800000000000001,0.0044,2.008773924307505,2.3565473235138126,272.38599999999997,"InChI=1S/C12H26O3S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1"
[C10H21OCH2CH(OCH2COO−Na+)CH2]2O,25,10.1007/s11743-998-0057-8,10.1006/jcis.1993.1226,CCCCCCCCCCOCC(COCC(COCCCCCCCCCC)OCC(=O)[O-])OCC(=O)[O-].[Na+].[Na+],8.400000000000001e-05,4e-06,4.075720713938118,5.3979400086720375,606.7490000000004,"InChI=1S/C30H58O9.2Na/c1-3-5-7-9-11-13-15-17-19-35-21-27(38-25-29(31)32)23-37-24-28(39-26-30(33)34)22-36-20-18-16-14-12-10-8-6-4-2;;/h27-28H,3-26H2,1-2H3,(H,31,32)(H,33,34);;/q;2*+1/p-2"
[C10H21OCH2CH(OCH2COO−Na+)CH2OCH2CH2]2O O–CH–COO−Na+,25,10.1007/s11743-998-0057-8,10.1006/jcis.1993.1226,CCCCCCCCCCOCC(COCCOCCOCC(COCCCCCCCCCC)OCC(=O)[O-])OCC(=O)[O-].[Na+].[Na+],0.00026000000000000003,4e-05,3.585026652029182,4.3979400086720375,694.8549999999999,"InChI=1S/C34H66O11.2Na/c1-3-5-7-9-11-13-15-17-19-40-25-31(44-29-33(35)36)27-42-23-21-39-22-24-43-28-32(45-30-34(37)38)26-41-20-18-16-14-12-10-8-6-4-2;;/h31-32H,3-30H2,1-2H3,(H,35,36)(H,37,38);;/q;2*+1/p-2"
(C11H23)2CO–CH–COO−Na+,25,10.1007/s11743-998-0057-8,10.5650/jos1956.42.10,CCCCCCCCCCCC1(CCCCCCCCCCC)OC(C(=O)[O-])C(C(=O)[O-])O1.[Na+].[Na+],8.999999999999999e-05,,4.045757490560675,,514.6550000000004,"InChI=1S/C27H50O6.2Na/c1-3-5-7-9-11-13-15-17-19-21-27(22-20-18-16-14-12-10-8-6-4-2)32-23(25(28)29)24(33-27)26(30)31;;/h23-24H,3-22H2,1-2H3,(H,28,29)(H,30,31);;/q;2*+1/p-2"
[C14H29CH(SO−3Na+) COO CH2]2,25,10.1007/s11743-998-0057-8,10.1007/BF02523445,CCCCCCCCCCCCCCC(C(=O)OCCOC(=O)C(CCCCCCCCCCCCCC)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],7.199999999999999e-05,,4.142667503568732,,742.9899999999994,"InChI=1S/C34H66O10S2.2Na/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-31(45(37,38)39)33(35)43-29-30-44-34(36)32(46(40,41)42)28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-32H,3-30H2,1-2H3,(H,37,38,39)(H,40,41,42);;/q;2*+1/p-2"
C14H29(SO−3Na+)COOCH2CH2OH,25,10.1007/s11743-998-0057-8,10.1007/BF02523445,CCCCCCCCCCCCCC(C(=O)OCCO)S(=O)(=O)[O-].[Na+],0.0003,,3.5228787452803374,,388.5020000000002,"InChI=1S/C17H34O6S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-16(24(20,21)22)17(19)23-15-14-18;/h16,18H,2-15H2,1H3,(H,20,21,22);/q;+1/p-1"
C11H23COO−Na+,25,10.1007/s11743-998-0057-8,10.1006/jcis.1993.1226,CCCCCCCCCCCC(=O)[O-].[Na+],0.02,0.005,1.6989700043360187,2.3010299956639813,222.30399999999997,"InChI=1S/C12H24O2.Na/c1-2-3-4-5-6-7-8-9-10-11-12(13)14;/h2-11H2,1H3,(H,13,14);/q;+1/p-1"
[C12H25N+(CH3)2CH2CHOH]2·2Br−,25,10.1007/s11743-998-0057-8,10.1007/BF02517990,CCCCCCCCCCCC[N+](C)(C)CC(O)C(O)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.0007,0.00013000000000000002,3.154901959985743,3.886056647693163,674.7320000000005,"InChI=1S/C32H70N2O2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-33(3,4)29-31(35)32(36)30-34(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h31-32,35-36H,7-30H2,1-6H3;2*1H/q+2;;/p-2"
[C12H25N+(CH3)2CH2CH2]2O·2Cl−,25,10.1007/s11743-998-0057-8,10.1007/BF02517994,CCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.0005,0.00025,3.3010299956639813,3.6020599913279625,658.7330000000006,"InChI=1S/C32H70N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-33(3,4)29-31-35-32-30-34(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H/q+2;;/p-2"
C12H25N+(CH3)3Br−,25,10.1007/s11743-998-0057-8,10.1007/BF02517990,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.016,0.008,1.7958800173440752,2.0969100130080562,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
[C12H25N+(CH3)2CH2CH2]2·2Br−,25,10.1007/s11743-998-0057-8,10.1021/la00054a008,CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.0012,,2.9208187539523753,,642.7340000000005,"InChI=1S/C32H70N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-29-33(3,4)31-27-28-32-34(5,6)30-26-24-22-20-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H/q+2;;/p-2"
[C12H25N+(CH3)2CH2]2C6H4·2Br−,50,10.1007/s11743-998-0057-8,10.1021/ja00075a025,CCCCCCCCCCCC[N+](C)(C)CCc1ccc(CC[N+](C)(C)CCCCCCCCCCCC)cc1.[Br-].[Br-],0.001,,3.0,,718.8320000000004,"InChI=1S/C38H74N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-33-39(3,4)35-31-37-27-29-38(30-28-37)32-36-40(5,6)34-26-24-22-20-18-16-14-12-10-8-2;;/h27-30H,7-26,31-36H2,1-6H3;2*1H/q+2;;/p-2"
[C12H25N+(CH3)2CH2]2CHOH·2Cl−,20,10.1007/s11743-998-0057-8,10.1007/BF02517994,CCCCCCCCCCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],0.00065,,3.1870866433571443,,555.8040000000004,"InChI=1S/C31H68N2O.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-32(3,4)29-31(34)30-33(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h31,34H,7-30H2,1-6H3;2*1H/q+2;;/p-2"
