Compound,CMC (mM),C20 (mM),Reference,Temp_Celsius,source_doi,reference_doi,SMILES
[C10H21OCH2CH(SO4−Na+)CH2OCH2]2,0.013,0.001,11,25,10.1007/s11743-998-0057-8,10.1007/BF02638962,CCCCCCCCCCOCC(OS(=O)(=O)[O-])COCCOCC(OS(=O)(=O)[O-])COCCCCCCCCCC.[Na+].[Na+]
C12H25SO4−Na+,8.2,3.1,11,25,10.1007/s11743-998-0057-8,10.1007/BF02638962,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
[C10H21OCH2CH(OCH2CH2CH2SO3−Na+)CH2]2O,0.033,0.008,13,25,10.1007/s11743-998-0057-8,10.1007/BF02638962,CCCCCCCCCCOCC(OCCCS(=O)(=O)[O-])COCC(OCCCS(=O)(=O)[O-])COCCCCCCCCCC.[Na+].[Na+]
C12H25SO3−Na+,9.8,4.4,13,25,10.1007/s11743-998-0057-8,10.1007/BF02638962,CCCCCCCCCCCCS(=O)(=O)[O-].[Na+]
[C10H21OCH2CH(OCH2COO−Na+)CH2]2O,0.084,0.004,25,25,10.1007/s11743-998-0057-8,10.1006/jcis.1993.1226,CCCCCCCCCCOCC(OCC(=O)[O-])COCC(OCC(=O)[O-])COCCCCCCCCCC.[Na+].[Na+]
[C10H21OCH2CH(OCH2COO−Na+)CH2OCH2CH2]2O O–CH–COO−Na+,0.26,0.04,25,25,10.1007/s11743-998-0057-8,10.1006/jcis.1993.1226,CCCCCCCCCCOCC(OCC(=O)[O-])COCCOCCOCC(OCC(=O)[O-])COCCCCCCCCCC.[Na+].[Na+]
(C11H23)2CO–CH–COO−Na+,0.09,,23,25,10.1007/s11743-998-0057-8,10.5650/jos1956.42.10,O=C([O-])C1C(C([O-])=O)OC(CCCCCCCCCCC)(CCCCCCCCCCC)O1.[Na+].[Na+]
[C14H29CH(SO−3Na+) COO CH2]2,0.072,,49,25,10.1007/s11743-998-0057-8,10.1007/BF02523445,CCCCCCCCCCCCCCC(S(=O)(=O)[O-])C(=O)OCCOC(=O)C(S(=O)(=O)[O-])CCCCCCCCCCCCCC.[Na+].[Na+]
C14H29(SO−3Na+)COOCH2CH2OH,0.3,,49,25,10.1007/s11743-998-0057-8,10.1007/BF02523445,CCCCCCCCCCCCCC(S(=O)(=O)[O-])C(=O)OCCO.[Na+]
C11H23COO−Na+,20.0,5.0,25,25,10.1007/s11743-998-0057-8,10.1006/jcis.1993.1226,CCCCCCCCCCCC(=O)[O-].[Na+]
[C12H25N+(CH3)2CH2CHOH]2·2Br−,0.7,0.13,54,25,10.1007/s11743-998-0057-8,10.1007/BF02517990,CCCCCCCCCCCC[N+](C)(C)CC(O)C(O)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-]
[C12H25N+(CH3)2CH2CH2]2O·2Cl−,0.5,0.25,55,25,10.1007/s11743-998-0057-8,10.1007/BF02517994,CCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-]
C12H25N+(CH3)3Br−,16.0,8.0,54,25,10.1007/s11743-998-0057-8,10.1007/BF02517990,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
[C12H25N+(CH3)2CH2CH2]2·2Br−,1.2,,16,25,10.1007/s11743-998-0057-8,10.1021/la00054a008,CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-]
[C12H25N+(CH3)2CH2]2C6H4·2Br−,1.0,,26,50,10.1007/s11743-998-0057-8,10.1021/ja00075a025,CCCCCCCCCCCC[N+](C)(C)CCc1ccc(CC[N+](C)(C)CCCCCCCCCCCC)cc1.[Br-].[Br-]
[C12H25N+(CH3)2CH2]2CHOH·2Cl−,0.65,,55,20,10.1007/s11743-998-0057-8,10.1007/BF02517994,CCCCCCCCCCCC[N+](C)(C)CC(C[N+](C)(C)CCCCCCCCCCCC)O.[Cl-].[Cl-]
