source_doi,reference_doi,SMILES,method,Temp_Celsius,CMC,pCMC,Molecular_Weight,InChI
10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-],conductometry,30.0,0.000741,3.130181792020672,812.9459999999999,"InChI=1S/C40H82N4O2.2BrH/c1-7-9-11-13-15-17-19-21-25-31-39(45)41-33-29-37-43(3,4)35-27-23-24-28-36-44(5,6)38-30-34-42-40(46)32-26-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H"
10.1002/jsde.12346,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],conductometry,30.0,0.0009809999999999999,3.0083309926200514,364.45599999999996,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1"
10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-],conductometry,35.0,0.0008250999999999999,3.0834934128848444,812.9459999999999,"InChI=1S/C40H82N4O2.2BrH/c1-7-9-11-13-15-17-19-21-25-31-39(45)41-33-29-37-43(3,4)35-27-23-24-28-36-44(5,6)38-30-34-42-40(46)32-26-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H"
10.1002/jsde.12346,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],conductometry,35.0,0.0010400000000000001,2.9829666607012197,364.45599999999996,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1"
10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-],conductometry,40.0,0.000842,3.0746879085003505,812.9459999999999,"InChI=1S/C40H82N4O2.2BrH/c1-7-9-11-13-15-17-19-21-25-31-39(45)41-33-29-37-43(3,4)35-27-23-24-28-36-44(5,6)38-30-34-42-40(46)32-26-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H"
10.1002/jsde.12346,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],conductometry,40.0,0.001081,2.96617430604669,364.45599999999996,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1"
10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-],conductometry,45.0,0.0009162,3.0380097125599352,812.9459999999999,"InChI=1S/C40H82N4O2.2BrH/c1-7-9-11-13-15-17-19-21-25-31-39(45)41-33-29-37-43(3,4)35-27-23-24-28-36-44(5,6)38-30-34-42-40(46)32-26-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H"
10.1002/jsde.12346,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],conductometry,45.0,0.0011719999999999999,2.9310723883179284,364.45599999999996,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1"
10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-],conductometry,50.0,0.0009419999999999999,3.0259490972071226,812.9459999999999,"InChI=1S/C40H82N4O2.2BrH/c1-7-9-11-13-15-17-19-21-25-31-39(45)41-33-29-37-43(3,4)35-27-23-24-28-36-44(5,6)38-30-34-42-40(46)32-26-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H"
10.1002/jsde.12346,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],conductometry,50.0,0.001239,2.9069286936239367,364.45599999999996,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1"
