Temperature K,Mole frac. of CTAB,αm,g1,CMCexp,CMCideal,Xm1,Xideal1,βm,f1,f2,source_doi,reference_doi,SMILES
303.15,0.0,0.5045,0.4955,0.741,,,,,,,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-]
303.15,0.2,0.4289,0.5711,0.7578,0.7791,,0.6354,,,,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
303.15,0.4,0.4272,0.5728,0.7695,0.8214,0.646,0.5024,-0.2888,0.92,0.7576,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
303.15,0.6,0.4035,0.5965,0.8252,0.8685,0.4717,0.3541,-0.2052,0.8764,0.9002,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
303.15,0.8,0.3637,0.6363,0.9279,0.9213,0.245,0.1878,0.0383,1.0515,1.0053,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
303.15,1.0,0.3018,0.6982,0.981,,,,,,,10.1002/jsde.12346,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
308.15,0.0,0.4995,0.5005,0.8251,,,,,,,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-]
308.15,0.2,0.4473,0.5527,0.8343,0.8606,0.815,0.662,-0.2146,0.9832,0.7202,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
308.15,0.4,0.4488,0.5512,0.837,0.8994,0.6347,0.5189,-0.3135,0.9082,0.7476,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
308.15,0.6,0.4197,0.5803,0.8486,0.9418,0.4641,0.3622,-0.4195,0.7578,0.8121,10.1002/jsde.12346,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
