identifier,Temp_Celsius,source_doi,reference_doi,SMILES,AW_ST_CMC,Pi_CMC,pC20,αs (Å2),CMC,Gamma_max,Area_min,pCMC,C20,Molecular_Weight,InChI
1-Butylpyridinium chloride,25.0,10.1016/j.jcis.2011.12.077,,CCCC[n+]1ccccc1.[Cl-],,,,,0.902,,,0.04479346245805826,,171.67099999999996,"InChI=1S/C9H14N.ClH/c1-2-3-7-10-8-5-4-6-9-10;/h4-6,8-9H,2-3,7H2,1H3;1H/q+1;/p-1"
1-Hexylpyridinium chloride,25.0,10.1016/j.jcis.2011.12.077,,CCCCCC[n+]1ccccc1.[Cl-],,,,,0.802,,,0.09582563171583647,,199.72500000000002,"InChI=1S/C11H18N.ClH/c1-2-3-4-6-9-12-10-7-5-8-11-12;/h5,7-8,10-11H,2-4,6,9H2,1H3;1H/q+1;/p-1"
1-Octylpyridinium chloride,25.0,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1ccccc1.[Cl-],,,,,0.181,,,0.7423214251308154,,227.77900000000005,"InChI=1S/C13H22N.ClH/c1-2-3-4-5-6-8-11-14-12-9-7-10-13-14;/h7,9-10,12-13H,2-6,8,11H2,1H3;1H/q+1;/p-1"
1-Octyl-2-methylpyridinium chloride,25.0,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1ccccc1C.[Cl-],,,,,0.166,,,0.7798919119599449,,241.80600000000004,"InChI=1S/C14H24N.ClH/c1-3-4-5-6-7-9-12-15-13-10-8-11-14(15)2;/h8,10-11,13H,3-7,9,12H2,1-2H3;1H/q+1;/p-1"
1-Octyl-3-methylpyridinium chloride,25.0,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1cccc(C)c1.[Cl-],,,,,0.17,,,0.769551078621726,,241.80600000000004,"InChI=1S/C14H24N.ClH/c1-3-4-5-6-7-8-11-15-12-9-10-14(2)13-15;/h9-10,12-13H,3-8,11H2,1-2H3;1H/q+1;/p-1"
1-Octyl-4-methylpyridinium chloride,25.0,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1ccc(C)cc1.[Cl-],,,,,0.175,,,0.7569619513137056,,241.80600000000004,"InChI=1S/C14H24N.ClH/c1-3-4-5-6-7-8-11-15-12-9-14(2)10-13-15;/h9-10,12-13H,3-8,11H2,1-2H3;1H/q+1;/p-1"
1-Butylpyridinium chloride,25.0,10.1016/j.jcis.2011.12.077,,CCCC[n+]1ccccc1.[Cl-],51.06,20.7,0.1,137.0,,1.2e-06,1.37,,0.7943282347242815,171.67099999999996,"InChI=1S/C9H14N.ClH/c1-2-3-7-10-8-5-4-6-9-10;/h4-6,8-9H,2-3,7H2,1H3;1H/q+1;/p-1"
1-Hexylpyridinium chloride,25.0,10.1016/j.jcis.2011.12.077,,CCCCCC[n+]1ccccc1.[Cl-],36.35,35.4,1.5,118.0,,1.4099999999999998e-06,1.18,,0.03162277660168379,199.72500000000002,"InChI=1S/C11H18N.ClH/c1-2-3-4-6-9-12-10-7-5-8-11-12;/h5,7-8,10-11H,2-4,6,9H2,1H3;1H/q+1;/p-1"
1-Octylpyridinium chloride,25.0,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1ccccc1.[Cl-],36.84,34.6,1.6,98.0,,1.7e-06,0.98,,0.025118864315095794,227.77900000000005,"InChI=1S/C13H22N.ClH/c1-2-3-4-5-6-8-11-14-12-9-7-10-13-14;/h7,9-10,12-13H,2-6,8,11H2,1H3;1H/q+1;/p-1"
1-Octyl-2-methylpyridinium chloride,25.0,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1ccccc1C.[Cl-],31.8,40.1,3.0,99.0,,1.6699999999999999e-06,0.99,,0.001,241.80600000000004,"InChI=1S/C14H24N.ClH/c1-3-4-5-6-7-9-12-15-13-10-8-11-14(15)2;/h8,10-11,13H,3-7,9,12H2,1-2H3;1H/q+1;/p-1"
1-Octyl-3-methylpyridinium chloride,25.0,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1cccc(C)c1.[Cl-],32.38,39.2,1.9,97.0,,1.71e-06,0.97,,0.012589254117941675,241.80600000000004,"InChI=1S/C14H24N.ClH/c1-3-4-5-6-7-8-11-15-12-9-10-14(2)13-15;/h9-10,12-13H,3-8,11H2,1-2H3;1H/q+1;/p-1"
1-Octyl-4-methylpyridinium chloride,25.0,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1ccc(C)cc1.[Cl-],31.0,40.7,2.2,101.0,,1.6499999999999999e-06,1.01,,0.00630957344480193,241.80600000000004,"InChI=1S/C14H24N.ClH/c1-3-4-5-6-7-8-11-15-12-9-14(2)10-13-15;/h9-10,12-13H,3-8,11H2,1-2H3;1H/q+1;/p-1"
