IL,CAC (mM),method,Temp_Celsius,source_doi,reference_doi,SMILES
1-Butylpyridinium chloride,902,tensiometry,25,10.1016/j.jcis.2011.12.077,,CCCC[n+]1ccccc1.[Cl-]
1-Hexylpyridinium chloride,802,tensiometry,25,10.1016/j.jcis.2011.12.077,,CCCCCC[n+]1ccccc1.[Cl-]
1-Octylpyridinium chloride,181,tensiometry,25,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1ccccc1.[Cl-]
1-Octyl-2-methylpyridinium chloride,166,tensiometry,25,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1c(C)cccc1.[Cl-]
1-Octyl-3-methylpyridinium chloride,170,tensiometry,25,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1cc(C)ccc1.[Cl-]
1-Octyl-4-methylpyridinium chloride,175,tensiometry,25,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1ccc(C)cc1.[Cl-]
1-Butylpyridinium chloride,900,conductometry,25,10.1016/j.jcis.2011.12.077,,CCCC[n+]1ccccc1.[Cl-]
1-Hexylpyridinium chloride,800,conductometry,25,10.1016/j.jcis.2011.12.077,,CCCCCC[n+]1ccccc1.[Cl-]
1-Octylpyridinium chloride,180,conductometry,25,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1ccccc1.[Cl-]
1-Octyl-2-methylpyridinium chloride,165,conductometry,25,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1c(C)cccc1.[Cl-]
1-Octyl-3-methylpyridinium chloride,170,conductometry,25,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1cc(C)ccc1.[Cl-]
1-Octyl-4-methylpyridinium chloride,175,conductometry,25,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1ccc(C)cc1.[Cl-]
1-Butylpyridinium chloride,900,1H NMR,25,10.1016/j.jcis.2011.12.077,,CCCC[n+]1ccccc1.[Cl-]
1-Hexylpyridinium chloride,800,1H NMR,25,10.1016/j.jcis.2011.12.077,,CCCCCC[n+]1ccccc1.[Cl-]
1-Octylpyridinium chloride,180,1H NMR,25,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1ccccc1.[Cl-]
1-Octyl-2-methylpyridinium chloride,,1H NMR,25,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1c(C)cccc1.[Cl-]
1-Octyl-3-methylpyridinium chloride,170,1H NMR,25,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1cc(C)ccc1.[Cl-]
1-Octyl-4-methylpyridinium chloride,175,1H NMR,25,10.1016/j.jcis.2011.12.077,,CCCCCCCC[n+]1ccc(C)cc1.[Cl-]
