SMILES,pCMC,InChI,CMC,Molecular_Weight,source_doi,reference_doi
CCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],2.222,"InChI=1S/C30H66N2.2BrH/c1-7-9-11-13-15-17-19-23-27-31(3,4)29-25-21-22-26-30-32(5,6)28-24-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2",0.005997910762555094,614.6800000000004,10.1063/5.0051623,10.1063/5.0051623
CCCCCCCCCCC(=O)N[N+](C)(C)CCC[N+](C)(C)NC(=O)CCCCCCCCCC.[Br-].[Br-],2.631,"InChI=1S/C29H60N4O2.2BrH/c1-7-9-11-13-15-17-19-21-24-28(34)30-32(3,4)26-23-27-33(5,6)31-29(35)25-22-20-18-16-14-12-10-8-2;;/h7-27H2,1-6H3;2*1H",0.002338837238659356,658.6490000000006,10.1063/5.0051623,10.1063/5.0051623
CCCCCCCCCC[N+](C)(C)CC(O)C(O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],2.432,"InChI=1S/C28H62N2O2.2BrH/c1-7-9-11-13-15-17-19-21-23-29(3,4)25-27(31)28(32)26-30(5,6)24-22-20-18-16-14-12-10-8-2;;/h27-28,31-32H,7-26H2,1-6H3;2*1H/q+2;;/p-2",0.003698281797802663,618.6240000000004,10.1063/5.0051623,10.1063/5.0051623
CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1.[Br-].[Br-],4.317,"InChI=1S/C42H70N4O4.2BrH/c1-7-9-11-13-15-17-19-21-33-49-39-27-23-37(24-28-39)43-41(47)35-45(3,4)31-32-46(5,6)36-42(48)44-38-25-29-40(30-26-38)50-34-22-20-18-16-14-12-10-8-2;;/h23-30H,7-22,31-36H2,1-6H3;2*1H",4.819477976251272e-05,856.8699999999997,10.1063/5.0051623,10.1063/5.0051623
CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1.[Br-].[Br-],4.36,"InChI=1S/C44H74N4O4.2BrH/c1-7-9-11-13-15-17-19-23-35-51-41-29-25-39(26-30-41)45-43(49)37-47(3,4)33-21-22-34-48(5,6)38-44(50)46-40-27-31-42(32-28-40)52-36-24-20-18-16-14-12-10-8-2;;/h25-32H,7-24,33-38H2,1-6H3;2*1H",4.3651583224016566e-05,884.9239999999996,10.1063/5.0051623,10.1063/5.0051623
CCCCCCCCCCCC(=O)OCC(C)[N+](C)(C)CC(O)CN(CCCCC)CC(O)C[N+](C)(C)C(C)COC(=O)CCCCCCCCCCC.[Cl-].[Cl-],4.202,"InChI=1S/C45H93N3O6.2ClH/c1-10-13-16-18-20-22-24-26-28-31-44(51)53-38-40(4)47(6,7)36-42(49)34-46(33-30-15-12-3)35-43(50)37-48(8,9)41(5)39-54-45(52)32-29-27-25-23-21-19-17-14-11-2;;/h40-43,49-50H,10-39H2,1-9H3;2*1H/q+2;;/p-2",6.28058358813318e-05,843.1599999999996,10.1063/5.0051623,10.1063/5.0051623
CCCCCCCCCCCC(=O)OCC(C)[N+](C)(C)CC(O)CN(CCCCCC)CC(O)C[N+](C)(C)C(C)COC(=O)CCCCCCCCCCC.[Cl-].[Cl-],4.228,"InChI=1S/C46H95N3O6.2ClH/c1-10-13-16-19-21-23-25-27-29-32-45(52)54-39-41(4)48(6,7)37-43(50)35-47(34-31-18-15-12-3)36-44(51)38-49(8,9)42(5)40-55-46(53)33-30-28-26-24-22-20-17-14-11-2;;/h41-44,50-51H,10-40H2,1-9H3;2*1H/q+2;;/p-2",5.9156163417547426e-05,857.1869999999997,10.1063/5.0051623,10.1063/5.0051623
CCCCCCCCCCCC(=O)OCC(C)[N+](C)(C)CC(O)CN(CCCCCCCC)CC(O)C[N+](C)(C)C(C)COC(=O)CCCCCCCCCCC.[Cl-].[Cl-],4.267,"InChI=1S/C48H99N3O6.2ClH/c1-10-13-16-19-22-24-26-28-31-34-47(54)56-41-43(4)50(6,7)39-45(52)37-49(36-33-30-21-18-15-12-3)38-46(53)40-51(8,9)44(5)42-57-48(55)35-32-29-27-25-23-20-17-14-11-2;;/h43-46,52-53H,10-42H2,1-9H3;2*1H/q+2;;/p-2",5.407543229455804e-05,885.2409999999998,10.1063/5.0051623,10.1063/5.0051623
CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC.[Cl-].[Cl-],4.312,"InChI=1S/C45H93N3O6.2ClH/c1-8-11-14-16-18-20-22-24-26-31-44(51)53-36-29-34-47(4,5)40-42(49)38-46(33-28-13-10-3)39-43(50)41-48(6,7)35-30-37-54-45(52)32-27-25-23-21-19-17-15-12-9-2;;/h42-43,49-50H,8-41H2,1-7H3;2*1H/q+2;;/p-2",4.87528490103386e-05,843.1599999999997,10.1063/5.0051623,10.1063/5.0051623
CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC.[Cl-].[Cl-],4.35,"InChI=1S/C46H95N3O6.2ClH/c1-8-11-14-17-19-21-23-25-27-32-45(52)54-37-30-35-48(4,5)41-43(50)39-47(34-29-16-13-10-3)40-44(51)42-49(6,7)36-31-38-55-46(53)33-28-26-24-22-20-18-15-12-9-2;;/h43-44,50-51H,8-42H2,1-7H3;2*1H/q+2;;/p-2",4.466835921509635e-05,857.1869999999997,10.1063/5.0051623,10.1063/5.0051623
