Comp. ID,SMILES,pCMC experiment,method
1,CCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],2.222,
2,CCCCCCCCCCC(=O)N[N+](CCC[N+](NC(=O)CCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],2.631,
3,CCCCCCCCCC[N+](CC(C(C[N+](CCCCCCCCCC)(C)C)O)O)(C)C.[Br-].[Br-],2.432,
4,CCCCCCCCCCOc1ccc(cc1)NC(=O)C[N+](CC[N+](CC(=O)Nc1ccc(cc1)OCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],4.317,
5,CCCCCCCCCCOc1ccc(cc1)NC(=O)C[N+](CCCC[N+](CC(=O)Nc1ccc(cc1)OCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],4.360,
6,CCCCCN(CC(C[N+](C(COC(=O)CCCCCCCCCCC)C)(C)C)O)CC(C[N+](C(COC(=O)CCCCCCCCCCC)C)(C)C)O.[Cl-].[Cl-],4.202,
7,CCCCCCN(CC(C[N+](C(COC(=O)CCCCCCCCCCC)C)(C)C)O)CC(C[N+](C(COC(=O)CCCCCCCCCCC)C)(C)C)O.[Cl-].[Cl-],4.228,
8,CCCCCCCCN(CC(C[N+](C(COC(=O)CCCCCCCCCCC)C)(C)C)O)CC(C[N+](C(COC(=O)CCCCCCCCCCC)C)(C)C)O.[Cl-].[Cl-],4.267,
9,CCCCCN(CC(C[N+](CCCOC(=O)CCCCCCCCCCC)(C)C)O)CC(C[N+](CCCOC(=O)CCCCCCCCCCC)(C)C)O.[Cl-].[Cl-],4.312,
10,CCCCCCN(CC(C[N+](CCCOC(=O)CCCCCCCCCCC)(C)C)O)CC(C[N+](CCCOC(=O)CCCCCCCCCCC)(C)C)O.[Cl-].[Cl-],4.350,
11,CCCCCCCCN(CC(C[N+](CCCOC(=O)CCCCCCCCCCC)(C)C)O)CC(C[N+](CCCOC(=O)CCCCCCCCCCC)(C)C)O.[Cl-].[Cl-],4.390,
12,CCCCCCCCCCCC[N+](CCCC[N+](CCCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],2.932,
13,CCCCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],2.963,
14,CCCCCCCCCCCC[N+](CCCCCC[N+](CCCCCC)(C)C)(C)C.[Br-].[Br-],1.790,
15,CCCCCCCCCCCC[N+](CCCCCCC[N+](CCCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],3.046,
16,CCCCCCCCCCCC[N+](C(=O)NCCCCCCCCCCCCNC(=O)[N+](CCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],3.658,
17,CCCCCCCCCCCC[N+](C(=O)NCCNC(=O)[N+](CCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],3.027,
18,CCCCCCCCCCCCC(=O)N[N+](CCC[N+](NC(=O)CCCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],2.851,
19,CCCCCCCCCCCC[N+](CC(CN(CC(C[N+](CCCCCCCCCCCC)(C)C)O)CC)O)(C)C.[Cl-].[Cl-],3.128,
