Comp.,Temp  °C,CMC/(mM·L−1),CMC err/(mM·L−1),method,α,α err,C20 ∗ 10−6  (mol·L−1),πCMC/ (mN m−1),πCMC err/ (mN m−1),Гmax ∗ 10−10 (mol·cm−2),Amin/ A2,Amin/ A2 err,CMC/C20,source_doi,reference_doi,SMILES
I,25,0.423,0.02,tensiometry,,,6.12,37.98,1,0.87,189.89,1,69.18,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCC.[Br-]
I,40,0.251,0.01,tensiometry,,,3.58,35.75,0.8,0.69,240.91,2,70.14,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCC.[Br-]
I,60,0.113,0.015,tensiometry,,,1.58,33.81,0.7,0.61,270.18,2,71.34,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCC.[Br-]
II,25,0.215,0.015,tensiometry,,,3.02,40.19,0.5,0.85,195.04,1,71.34,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCCCC.[Br-]
II,40,0.067,0.015,tensiometry,,,0.91,37.94,0.6,0.67,247.48,2,73.56,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCCCC.[Br-]
II,60,0.042,0.02,tensiometry,,,0.56,35.21,1,0.59,280.12,2,75.86,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCCCC.[Br-]
III,25,0.086,0.02,tensiometry,,,1.32,37.19,0.5,0.83,199.27,2,64.93,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCC.[Br-]
III,40,0.019,0.015,tensiometry,,,0.29,34.91,0.8,0.58,286.95,2,68.52,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCC.[Br-]
III,60,0.011,0.01,tensiometry,,,0.15,32.53,1,0.52,321.43,4,69.79,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCC.[Br-]
I,25,0.463,0.01,conductometry,0.415,0.01,,,,,,,,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCC.[Br-]
I,40,0.351,0.02,conductometry,0.433,0.01,,,,,,,,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCC.[Br-]
I,60,0.177,0.015,conductometry,0.451,0.02,,,,,,,,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCC.[Br-]
II,25,0.279,0.02,conductometry,0.404,0.01,,,,,,,,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCCCC.[Br-]
II,40,0.084,0.02,conductometry,0.425,0.01,,,,,,,,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCCCC.[Br-]
II,60,0.046,0.015,conductometry,0.438,0.01,,,,,,,,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCCCCCCCCCCC.[Br-]
III,25,0.087,0.01,conductometry,0.382,0.01,,,,,,,,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCC.[Br-]
III,40,0.033,0.01,conductometry,0.404,0.02,,,,,,,,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCC.[Br-]
III,60,0.022,0.02,conductometry,0.412,0.02,,,,,,,,10.1016/j.molliq.2015.10.024,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCC.[Br-]
