Comp,Temp. °C,CMC (mM L-1),CMC err (mM L-1),γCMC (mN m-1),γCMC err (mN m-1),πCMC (mN m-1),πCMC err (mN m-1),CMC/C20,CMC/C20 err,PC20 (mol L-1),PC20 err (mol L-1),Γmax x 10^11 (mol cm-2),Γmax err x 10^11 (mol cm-2),Amin nm2,Amin err nm2,source_doi,reference_doi,SMILES
C12Bn,25,0.256,0.014,29.23,0.17,43.27,0.17,185.2,4.9,5.86,0.034,9.51,0.14,1.75,0.026,10.1007/s11743-016-1795-x,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-]
C12Bn,40,0.204,0.011,29.03,0.16,40.47,0.16,311.1,8.24,6.18,0.034,6.62,0.12,2.51,0.046,10.1007/s11743-016-1795-x,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-]
C12Bn,60,0.11,0.006,27.1,0.2,38.9,0.2,217.8,11.54,6.3,0.046,5.57,0.07,2.98,0.038,10.1007/s11743-016-1795-x,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-]
C14Bn,25,0.108,0.01,32.31,0.17,40.19,0.17,159.8,4.47,6.17,0.051,7.56,0.11,2.2,0.033,10.1007/s11743-016-1795-x,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-]
C14Bn,40,0.058,0.007,31.33,0.11,38.17,0.11,389.1,12.16,6.83,0.038,5.21,0.06,3.19,0.037,10.1007/s11743-016-1795-x,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-]
C14Bn,60,0.046,0.006,30.65,0.11,35.35,0.11,464.2,0.87,7.0,0.051,4.46,0.07,3.72,0.059,10.1007/s11743-016-1795-x,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-]
C16Bn,25,0.045,0.005,41.54,0.19,30.96,0.19,62.6,1.84,6.14,0.038,4.9,0.06,3.39,0.04,10.1007/s11743-016-1795-x,,CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-]
C16Bn,40,0.014,0.002,36.33,0.16,33.17,0.16,179.5,5.36,7.1,0.039,4.14,0.05,4.01,0.046,10.1007/s11743-016-1795-x,,CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-]
C16Bn,60,0.01,0.001,33.75,0.13,32.25,0.13,169.8,4.55,7.22,0.033,3.83,0.06,4.33,0.065,10.1007/s11743-016-1795-x,,CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-]
DTAB,25,14.6,,,,,,,,,,,,,,10.1007/s11743-016-1795-x,10.1016/0021-9797(89)90428-1,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
DTAB,40,16.6,,,,,,,,,,,,,,10.1007/s11743-016-1795-x,10.1016/0021-9797(89)90428-1,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
DTAB,60,18.3,,,,,,,,,,,,,,10.1007/s11743-016-1795-x,10.1016/0021-9797(89)90428-1,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
TTAB,25,3.72,,,,,,,,,,,,,,10.1007/s11743-016-1795-x,10.1016/0021-9797(89)90428-1,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
TTAB,40,4.19,,,,,,,,,,,,,,10.1007/s11743-016-1795-x,10.1016/0021-9797(89)90428-1,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
TTAB,60,4.9,,,,,,,,,,,,,,10.1007/s11743-016-1795-x,10.1016/0021-9797(89)90428-1,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
CTAB,25,0.96,,,,,,,,,,,,,,10.1007/s11743-016-1795-x,10.1016/0021-9797(89)90428-1,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
CTAB,40,1.08,,,,,,,,,,,,,,10.1007/s11743-016-1795-x,10.1016/0021-9797(89)90428-1,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
CTAB,60,1.33,,,,,,,,,,,,,,10.1007/s11743-016-1795-x,10.1016/0021-9797(89)90428-1,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
