identifier,Temp_Celsius,method,,SMILES,source_doi,reference_doi,InChI,Molecular_Weight,CMC,pCMC,Gamma_max,C20,pC20,Area_min
HEDOB,25,tensiometry,35.93,CCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C14H32NO2.BrH/c1-4-5-6-7-8-9-10-15(2,3)11-13-17-14-12-16;/h16H,4-14H2,1-3H3;1H/q+1;/p-1",326.31899999999996,0.003981,2.400007822415902,8.000000000000001e-07,6.31e-05,4.199970640755866,2.0769
HEDOB,45,tensiometry,34.59,CCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C14H32NO2.BrH/c1-4-5-6-7-8-9-10-15(2,3)11-13-17-14-12-16;/h16H,4-14H2,1-3H3;1H/q+1;/p-1",326.31899999999996,0.002581,2.588211995456131,6.7e-07,4.44e-05,4.35261702988538,2.4609
HEDOB,65,tensiometry,32.35,CCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C14H32NO2.BrH/c1-4-5-6-7-8-9-10-15(2,3)11-13-17-14-12-16;/h16H,4-14H2,1-3H3;1H/q+1;/p-1",326.31899999999996,0.0014219999999999999,2.8471004036062526,5.4e-07,2.29e-05,4.640164517660112,3.0675
HEDDB,25,tensiometry,36.83,CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C18H40NO2.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-19(2,3)15-17-21-18-16-20;/h20H,4-18H2,1-3H3;1H/q+1;/p-1",382.427,0.001719,2.7647241233129476,8.2e-07,2.62e-05,4.581698708680254,2.0201
HEDDB,45,tensiometry,34.88,CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C18H40NO2.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-19(2,3)15-17-21-18-16-20;/h20H,4-18H2,1-3H3;1H/q+1;/p-1",382.427,0.001056,2.9763360818022067,6.800000000000001e-07,1.21e-05,4.91721462968355,2.4488
HEDDB,65,tensiometry,33.25,CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C18H40NO2.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-19(2,3)15-17-21-18-16-20;/h20H,4-18H2,1-3H3;1H/q+1;/p-1",382.427,0.00085,3.070581074285707,5.6e-07,8.7e-06,5.060480747381382,2.9891
HEDHB,25,tensiometry,37.79,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C22H48NO2.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(2,3)19-21-25-22-20-24;/h24H,4-22H2,1-3H3;1H/q+1;/p-1",438.53500000000014,0.0008269999999999999,3.0824944904474534,8.5e-07,1.21e-05,4.91721462968355,1.9527
HEDHB,45,tensiometry,36.35,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C22H48NO2.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(2,3)19-21-25-22-20-24;/h24H,4-22H2,1-3H3;1H/q+1;/p-1",438.53500000000014,0.000684,3.164943898279884,6.9e-07,5.4e-06,5.267606240177032,2.4164
HEDHB,65,tensiometry,34.04,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C22H48NO2.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(2,3)19-21-25-22-20-24;/h24H,4-22H2,1-3H3;1H/q+1;/p-1",438.53500000000014,0.000537,3.2700257143004445,5.8e-07,4.2e-06,5.376750709602099,2.8826
HEDOB,25,conductometry,,CCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C14H32NO2.BrH/c1-4-5-6-7-8-9-10-15(2,3)11-13-17-14-12-16;/h16H,4-14H2,1-3H3;1H/q+1;/p-1",326.31899999999996,0.003984,2.399680670248339,,,,
HEDOB,45,conductometry,,CCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C14H32NO2.BrH/c1-4-5-6-7-8-9-10-15(2,3)11-13-17-14-12-16;/h16H,4-14H2,1-3H3;1H/q+1;/p-1",326.31899999999996,0.0025830000000000002,2.587875593826683,,,,
HEDOB,65,conductometry,,CCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C14H32NO2.BrH/c1-4-5-6-7-8-9-10-15(2,3)11-13-17-14-12-16;/h16H,4-14H2,1-3H3;1H/q+1;/p-1",326.31899999999996,0.001433,2.8437538096026556,,,,
HEDDB,25,conductometry,,CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C18H40NO2.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-19(2,3)15-17-21-18-16-20;/h20H,4-18H2,1-3H3;1H/q+1;/p-1",382.427,0.0017410000000000001,2.759201228882669,,,,
HEDDB,45,conductometry,,CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C18H40NO2.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-19(2,3)15-17-21-18-16-20;/h20H,4-18H2,1-3H3;1H/q+1;/p-1",382.427,0.001116,2.95233580539844,,,,
HEDDB,65,conductometry,,CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C18H40NO2.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-19(2,3)15-17-21-18-16-20;/h20H,4-18H2,1-3H3;1H/q+1;/p-1",382.427,0.00087,3.0604807473813813,,,,
HEDHB,25,conductometry,,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C22H48NO2.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(2,3)19-21-25-22-20-24;/h24H,4-22H2,1-3H3;1H/q+1;/p-1",438.53500000000014,0.000828,3.0819696632151197,,,,
HEDHB,45,conductometry,,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C22H48NO2.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(2,3)19-21-25-22-20-24;/h24H,4-22H2,1-3H3;1H/q+1;/p-1",438.53500000000014,0.0006979999999999999,3.156144577376839,,,,
HEDHB,65,conductometry,,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,,"InChI=1S/C22H48NO2.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(2,3)19-21-25-22-20-24;/h24H,4-22H2,1-3H3;1H/q+1;/p-1",438.53500000000014,0.000554,3.25649023527157,,,,
