Comp.,Temp. °C,CMC (mM·L−1),method,α,C20 ∗ 10−5 (mol·L−1),πCMC (mN·m−1),Гmax ∗ 10−10 (mol·cm−2),Amin A2,CMC/C20,SMILES,source_doi,reference_doi
HEDOB,25,3.981,tensiometry,,6.31,35.93,0.8,207.69,63.1,CCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDOB,45,2.581,tensiometry,,4.44,34.59,0.67,246.09,58.17,CCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDOB,65,1.422,tensiometry,,2.29,32.35,0.54,306.75,62.01,CCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDDB,25,1.719,tensiometry,,2.62,36.83,0.82,202.01,65.57,CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDDB,45,1.056,tensiometry,,1.21,34.88,0.68,244.88,87.53,CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDDB,65,0.85,tensiometry,,0.87,33.25,0.56,298.91,97.33,CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDHB,25,0.827,tensiometry,,1.21,37.79,0.85,195.27,68.59,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDHB,45,0.684,tensiometry,,0.54,36.35,0.69,241.64,127.61,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDHB,65,0.537,tensiometry,,0.42,34.04,0.58,288.26,128.82,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDOB,25,3.984,conductometry,0.41,,,,,,CCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDOB,45,2.583,conductometry,0.43,,,,,,CCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDOB,65,1.433,conductometry,0.44,,,,,,CCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDDB,25,1.741,conductometry,0.39,,,,,,CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDDB,45,1.116,conductometry,0.41,,,,,,CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDDB,65,0.87,conductometry,0.42,,,,,,CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDHB,25,0.828,conductometry,0.38,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDHB,45,0.698,conductometry,0.4,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
HEDHB,65,0.554,conductometry,0.41,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],10.1016/j.molliq.2016.05.088,
