Comp.,Temp. C,CMC (mM),method,α,C20 (μmol),πCMC/ (mN m−1),Гmax *10−10 (mol.cm−2),Amin/ A2,CMC/C20,source_doi,reference_doi,SMILES
DBAO,25,0.805,tensiometry,,29.6,37.07,1.01,164.92,27.25,10.1002/jsde.12318,,C[N+](CCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAO,45,0.57,tensiometry,,20.1,35.47,0.78,213.04,28.41,10.1002/jsde.12318,,C[N+](CCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAO,65,0.338,tensiometry,,12.7,31.47,0.68,243.86,26.59,10.1002/jsde.12318,,C[N+](CCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAD,25,0.468,tensiometry,,11.7,38.97,0.99,167.93,39.89,10.1002/jsde.12318,,C[N+](CCCCCCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAD,45,0.304,tensiometry,,7.6,36.32,0.74,223.22,39.81,10.1002/jsde.12318,,C[N+](CCCCCCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAD,65,0.167,tensiometry,,5.5,33.75,0.67,247.62,30.15,10.1002/jsde.12318,,C[N+](CCCCCCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAH,25,0.219,tensiometry,,8.3,35.15,0.83,199.11,26.46,10.1002/jsde.12318,,C[N+](CCCCCCCCCCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAH,45,0.111,tensiometry,,4.6,33.71,0.68,243.59,24.45,10.1002/jsde.12318,,C[N+](CCCCCCCCCCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAH,65,0.074,tensiometry,,3.3,30.96,0.64,258.82,22.32,10.1002/jsde.12318,,C[N+](CCCCCCCCCCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAO,25,0.815,conductometry,0.397,,,,,,10.1002/jsde.12318,,C[N+](CCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAO,45,0.583,conductometry,0.414,,,,,,10.1002/jsde.12318,,C[N+](CCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAO,65,0.351,conductometry,0.438,,,,,,10.1002/jsde.12318,,C[N+](CCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAD,25,0.479,conductometry,0.372,,,,,,10.1002/jsde.12318,,C[N+](CCCCCCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAD,45,0.583,conductometry,0.391,,,,,,10.1002/jsde.12318,,C[N+](CCCCCCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAD,65,0.315,conductometry,0.415,,,,,,10.1002/jsde.12318,,C[N+](CCCCCCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAH,25,0.23,conductometry,0.358,,,,,,10.1002/jsde.12318,,C[N+](CCCCCCCCCCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAH,45,0.133,conductometry,0.373,,,,,,10.1002/jsde.12318,,C[N+](CCCCCCCCCCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
DBAH,65,0.078,conductometry,0.401,,,,,,10.1002/jsde.12318,,C[N+](CCCCCCCCCCCCCCCC)(C)CCN=CC1=CC(OC)=C(OC)C=C1.[Br-]
