No.,Compound,∏cmc mN/m,106 Γ mol/m2,1020A (m2),1020 Av m2,ΔG0ds kJ/mol,Temp_Celsius,source_doi,reference_doi,SMILES
Ia,C9-D-TAB,40.4,1.71,97,98.3,-65.92,25,10.1016/0927-7757(95)03093-S,,C1(CCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
Ib,C11-D-TAB,41.2,1.69,98,,-73.28,25,10.1016/0927-7757(95)03093-S,,C1(CCCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
Ic,C13-D-TAB,41.5,1.66,100,,-80.1,25,10.1016/0927-7757(95)03093-S,,C1(CCCCCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIa,C8C1-D-TAB,38.4,1.93,86,84.3,-59.35,25,10.1016/0927-7757(95)03093-S,,CC1(CCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIb,C10C1-D-TAB,37.3,1.99,83,,-65.48,25,10.1016/0927-7757(95)03093-S,,CC1(CCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIc,C6C6-D-TAB,42.6,1.98,84,,-65.48,25,10.1016/0927-7757(95)03093-S,,CCCCCCC1(CCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIIa,C12-TAB,,3.17,52,,-51.86,25,10.1016/0927-7757(95)03093-S,,C1(CCCCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIIa,C12-TAB,,,,,-51.86,25,10.1016/0927-7757(95)03093-S,,C1(CCCCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIIa,C12-TAB,,,74,,-51.86,25,10.1016/0927-7757(95)03093-S,10.1007/BF01550555,C1(CCCCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIIb,C14-TAB,34,,,51,-58.98,25,10.1016/0927-7757(95)03093-S,,C1(CCCCCCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIIb,C14-TAB,,3.18,52,,,25,10.1016/0927-7757(95)03093-S,,C1(CCCCCCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIIb,C14-TAB,,,46,,,25,10.1016/0927-7757(95)03093-S,10.1021/j100182a066,C1(CCCCCCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIIb,C14-TAB,,,60,,,25,10.1016/0927-7757(95)03093-S,10.1021/j100182a066,C1(CCCCCCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIIc,C16-TAB,34.4,,,,-65.26,25,10.1016/0927-7757(95)03093-S,,C1(CCCCCCCCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IIIc,C16-TAB,,3.39,49,,,25,10.1016/0927-7757(95)03093-S,,C1(CCCCCCCCCCCCCCCC)OC(C[N+](C)(C)C)CO1.[Br-]
IV,C12-EO1-TAB,,,,,-61.44,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCCOCC[N+](C)(C)C.[Br-]
IV,C12-EO1-TAB,31.2,,85,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF01550555,CCCCCCCCCCCCOCC[N+](C)(C)C.[Br-]
Va,C10-EO2-TAB,,,,95,-56.87,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
Va,C10-EO2-TAB,28.5,,91,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF01550555,CCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
Vb,C12-E02-TAB,,,,,-65.64,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
Vb,C12-E02-TAB,29.6,,99,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF01550555,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
Vc,C14-EO2-TAB,,,,,-70.62,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
Vc,C14-EO2-TAB,28.3,,93,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
Vd,C16-EO2-TAB,,,,,-77.81,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
Vd,C16-EO2-TAB,27.9,,97,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
VI,C12-EO3-TAB,,,,,-68.58,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCCOCCOCCOCC[N+](C)(C)C.[Br-]
VI,C12-EO3-TAB,27.7,,121,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF01550555,CCCCCCCCCCCCOCCOCCOCC[N+](C)(C)C.[Br-]
