identifier,source_doi,reference_doi,SMILES,method,InChI,Molecular_Weight,Temp_Celsius,CMC,pCMC,Gamma_max,Area_min,AW_ST_CMC,C20
diC8GQ,10.1016/j.colsurfa.2012.11.004,,CCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCC.[Cl-].[Cl-],tensiometry,"InChI=1S/C23H52N2.2ClH/c1-7-9-11-13-15-17-20-24(3,4)22-19-23-25(5,6)21-18-16-14-12-10-8-2;;/h7-23H2,1-6H3;2*1H/q+2;;/p-2",427.5890000000003,25.850000000000023,0.00902,2.0447934624580584,1.2e-06,1.38,28.1,0.0006760829753919819
diC10GQ,10.1016/j.colsurfa.2012.11.004,,CCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-],tensiometry,"InChI=1S/C27H60N2.2ClH/c1-7-9-11-13-15-17-19-21-24-28(3,4)26-23-27-29(5,6)25-22-20-18-16-14-12-10-8-2;;/h7-27H2,1-6H3;2*1H/q+2;;/p-2",483.69700000000034,25.850000000000023,0.0008100000000000001,3.09151498112135,1.28e-06,1.3,28.5,6.456542290346549e-05
diC12GQ,10.1016/j.colsurfa.2012.11.004,,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],tensiometry,"InChI=1S/C31H68N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-28-32(3,4)30-27-31-33(5,6)29-26-24-22-20-18-16-14-12-10-8-2;;/h7-31H2,1-6H3;2*1H/q+2;;/p-2",539.8050000000004,25.850000000000023,0.00013000000000000002,3.886056647693163,1.6299999999999999e-06,1.02,29.4,1.9054607179632484e-05
DTAC,10.1016/j.colsurfa.2012.11.004,,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],tensiometry,"InChI=1S/C15H34N.ClH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1",263.89699999999993,25.850000000000023,0.0155,1.8096683018297086,2.99e-06,0.556,40.5,0.0022908676527677724
diC08GQ,10.1016/j.colsurfa.2012.11.004,,CCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCC.[Cl-].[Cl-],conductometry,"InChI=1S/C23H52N2.2ClH/c1-7-9-11-13-15-17-20-24(3,4)22-19-23-25(5,6)21-18-16-14-12-10-8-2;;/h7-23H2,1-6H3;2*1H/q+2;;/p-2",427.5890000000003,25.850000000000023,0.01081,1.9661743060466896,,,,
diC08GQ,10.1016/j.colsurfa.2012.11.004,,CCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCC.[Cl-].[Cl-],conductometry,"InChI=1S/C23H52N2.2ClH/c1-7-9-11-13-15-17-20-24(3,4)22-19-23-25(5,6)21-18-16-14-12-10-8-2;;/h7-23H2,1-6H3;2*1H/q+2;;/p-2",427.5890000000003,30.850000000000023,0.011359999999999999,1.944621668625,,,,
diC08GQ,10.1016/j.colsurfa.2012.11.004,,CCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCC.[Cl-].[Cl-],conductometry,"InChI=1S/C23H52N2.2ClH/c1-7-9-11-13-15-17-20-24(3,4)22-19-23-25(5,6)21-18-16-14-12-10-8-2;;/h7-23H2,1-6H3;2*1H/q+2;;/p-2",427.5890000000003,35.85000000000002,0.0115,1.9393021596463884,,,,
diC08GQ,10.1016/j.colsurfa.2012.11.004,,CCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCC.[Cl-].[Cl-],conductometry,"InChI=1S/C23H52N2.2ClH/c1-7-9-11-13-15-17-20-24(3,4)22-19-23-25(5,6)21-18-16-14-12-10-8-2;;/h7-23H2,1-6H3;2*1H/q+2;;/p-2",427.5890000000003,40.85000000000002,0.01157,1.9366666410482505,,,,
diC10GQ,10.1016/j.colsurfa.2012.11.004,,CCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-],conductometry,"InChI=1S/C27H60N2.2ClH/c1-7-9-11-13-15-17-19-21-24-28(3,4)26-23-27-29(5,6)25-22-20-18-16-14-12-10-8-2;;/h7-27H2,1-6H3;2*1H/q+2;;/p-2",483.69700000000034,25.850000000000023,0.00091,3.0409586076789066,,,,
diC10GQ,10.1016/j.colsurfa.2012.11.004,,CCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-],conductometry,"InChI=1S/C27H60N2.2ClH/c1-7-9-11-13-15-17-19-21-24-28(3,4)26-23-27-29(5,6)25-22-20-18-16-14-12-10-8-2;;/h7-27H2,1-6H3;2*1H/q+2;;/p-2",483.69700000000034,30.850000000000023,0.00093,3.0315170514460648,,,,
