XMEGA10,CMC/ mmol/kg,γCMC/ mN/m,pC20,CMC/C20,σ,Γt/ 10^6 mol/m2,Am /A2/molecule,Gmin(S)/ kJ/mol,Temp_Celsius,source_doi,reference_doi,SMILES,method
0.0,0.728,35.3,3.77,4.28,5.63,1.88,88.4,18.8,30.0,10.5650/jos.52.449,,CCCCCCCCCCCCC(C[N+](C)(C)C)C(CCCCCCCCCCCC)C[N+](C)(C)C.[Br-].[Br-],tensiometry
0.1,0.759,35.5,3.79,4.5,5.28,1.82,91.2,19.5,30.0,10.5650/jos.52.449,,CCCCCCCCCCCCC(C[N+](C)(C)C)C(CCCCCCCCCCCC)C[N+](C)(C)C.[Br-].[Br-].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CN(C)C(CCCCCCCCCC)=O,tensiometry
0.2,0.842,35.7,3.74,4.63,5.18,1.84,90.3,19.4,30.0,10.5650/jos.52.449,,CCCCCCCCCCCCC(C[N+](C)(C)C)C(CCCCCCCCCCCC)C[N+](C)(C)C.[Br-].[Br-].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CN(C)C(CCCCCCCCCC)=O,tensiometry
0.3,0.904,35.4,3.69,4.69,5.16,1.88,88.4,18.8,30.0,10.5650/jos.52.449,,CCCCCCCCCCCCC(C[N+](C)(C)C)C(CCCCCCCCCCCC)C[N+](C)(C)C.[Br-].[Br-].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CN(C)C(CCCCCCCCCC)=O,tensiometry
0.4,1.02,35.3,3.66,4.67,5.14,1.91,87.0,18.5,30.0,10.5650/jos.52.449,,CCCCCCCCCCCCC(C[N+](C)(C)C)C(CCCCCCCCCCCC)C[N+](C)(C)C.[Br-].[Br-].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CN(C)C(CCCCCCCCCC)=O,tensiometry
0.5,1.17,34.9,3.74,6.43,4.26,1.66,100.0,21.0,30.0,10.5650/jos.52.449,,CCCCCCCCCCCCC(C[N+](C)(C)C)C(CCCCCCCCCCCC)C[N+](C)(C)C.[Br-].[Br-].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CN(C)C(CCCCCCCCCC)=O,tensiometry
0.6,1.31,35.0,3.68,6.36,4.28,1.75,94.9,20.0,30.0,10.5650/jos.52.449,,CCCCCCCCCCCCC(C[N+](C)(C)C)C(CCCCCCCCCCCC)C[N+](C)(C)C.[Br-].[Br-].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CN(C)C(CCCCCCCCCC)=O,tensiometry
0.7,1.57,33.3,3.65,6.53,4.23,1.86,89.3,17.9,30.0,10.5650/jos.52.449,,CCCCCCCCCCCCC(C[N+](C)(C)C)C(CCCCCCCCCCCC)C[N+](C)(C)C.[Br-].[Br-].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CN(C)C(CCCCCCCCCC)=O,tensiometry
0.8,1.94,34.5,3.6,7.61,3.91,1.9,87.4,18.2,30.0,10.5650/jos.52.449,,CCCCCCCCCCCCC(C[N+](C)(C)C)C(CCCCCCCCCCCC)C[N+](C)(C)C.[Br-].[Br-].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CN(C)C(CCCCCCCCCC)=O,tensiometry
0.9,2.55,35.1,3.52,8.16,3.78,2.15,77.3,16.3,30.0,10.5650/jos.52.449,,CCCCCCCCCCCCC(C[N+](C)(C)C)C(CCCCCCCCCCCC)C[N+](C)(C)C.[Br-].[Br-].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CN(C)C(CCCCCCCCCC)=O,tensiometry
1.0,5.91,29.7,3.1,7.52,3.77,3.77,44.1,7.9,30.0,10.5650/jos.52.449,,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CN(C)C(CCCCCCCCCC)=O,tensiometry
