SMILES,name,CMC/ mmol/dm^{-3},AW_ST/ mN/m,CMC/ mmol/dm^{-3},\delta G_{mic}^0}/ kJ/mol,pC_{20},CMC/C_{20},\Gamma_{max}/ μmol/m^2,A_{min}/ nm^2,DOI
O=C(C[N+](C)(C)CC[N+](C)(C)CC(NC1=CC=C(O(CCCCCCCC))C=C1)=O)NC2=CC=C(O(CCCCCCCC))C=C2.[Br-].[Br-],Gem 8-2-8,0.251,30.4,0.322,-39.94,4.6,9.99,1.11,1.49,10.1016/j.molliq.2017.06.008
O=C(C[N+](C)(C)CCCC[N+](C)(C)CC(NC1=CC=C(O(CCCCCCCC))C=C1)=O)NC2=CC=C(O(CCCCCCCC))C=C2.[Br-].[Br-],Gem 8-4-8,0.208,32,0.213,-36.95,4.67,9.73,1.14,1.46,10.1016/j.molliq.2017.06.008
O=C(C[N+](C)(C)CCCCCC[N+](C)(C)CC(NC1=CC=C(O(CCCCCCCC))C=C1)=O)NC2=CC=C(O(CCCCCCCC))C=C2.[Br-].[Br-],Gem 8-6-8,0.109,36,0.117,-38.85,4.92,9.07,0.99,1.66,10.1016/j.molliq.2017.06.008
O=C(C[N+](C)(C)CC[N+](C)(C)CC(NC1=CC=C(O(CCCCCCCCCC))C=C1)=O)NC2=CC=C(O(CCCCCCCCCC))C=C2.[Br-].[Br-],Gem 10-2-10,0.0407,33.1,0.0482,-43.22,5.53,1.38,1.13,1.47,10.1016/j.molliq.2017.06.008
O=C(C[N+](C)(C)CCCC[N+](C)(C)CC(NC1=CC=C(O(CCCCCCCCCC))C=C1)=O)NC2=CC=C(O(CCCCCCCCCC))C=C2.[Br-].[Br-],Gem 10-4-10,0.0207,41.6,0.0437,-37.22,5.31,4.23,1.06,1.57,10.1016/j.molliq.2017.06.008
O=C(C[N+](C)(C)CCCCCC[N+](C)(C)CC(NC1=CC=C(O(CCCCCCCCCC))C=C1)=O)NC2=CC=C(O(CCCCCCCCCC))C=C2.[Br-].[Br-],Gem 10-6-10,0.0109,45,0.0204,-38.26,5.02,1.15,1.22,1.36,10.1016/j.molliq.2017.06.008
O=C(C[N+](C)(C)CC[N+](C)(C)CC(NC1=CC=C(O(CCCCCCCCCCCC))C=C1)=O)NC2=CC=C(O(CCCCCCCCCCCC))C=C2.[Br-].[Br-],Gem 12-2-12,0.0371,44.6,0.0344,-35.76,4.69,1.82,1.8,0.92,10.1016/j.molliq.2017.06.008
O=C(C[N+](C)(C)CCCC[N+](C)(C)CC(NC1=CC=C(O(CCCCCCCCCCCC))C=C1)=O)NC2=CC=C(O(CCCCCCCCCCCC))C=C2.[Br-].[Br-],Gem 12-4-12,0.0142,44.8,0.0216,-39.09,4.97,1.33,1.65,1.01,10.1016/j.molliq.2017.06.008
O=C(C[N+](C)(C)CCCCCC[N+](C)(C)CC(NC1=CC=C(O(CCCCCCCCCCCC))C=C1)=O)NC2=CC=C(O(CCCCCCCCCCCC))C=C2.[Br-].[Br-],Gem 12-6-12,0.0104,49,0.00829,-40.26,5.06,1.19,2.01,0.83,10.1016/j.molliq.2017.06.008
O=C(C[N+](C)(C)CC[N+](C)(C)CC(NC1=CC=C(O(CCCCCCCCCCCCCC))C=C1)=O)NC2=CC=C(O(CCCCCCCCCCCCCC))C=C2.[Br-].[Br-],Gem 14-2-14,0.0208,47,0.0234,-34.04,4.8,1.31,2.36,0.7,10.1016/j.molliq.2017.06.008
O=C(C[N+](C)(C)CCCC[N+](C)(C)CC(NC1=CC=C(O(CCCCCCCCCCCCCC))C=C1)=O)NC2=CC=C(O(CCCCCCCCCCCCCC))C=C2.[Br-].[Br-],Gem 14-4-14,0.0118,46,0.0251,-36.52,4.97,1.1,1.96,0.84,10.1016/j.molliq.2017.06.008
O=C(C[N+](C)(C)CCCCCC[N+](C)(C)CC(NC1=CC=C(O(CCCCCCCCCCCCCC))C=C1)=O)NC2=CC=C(O(CCCCCCCCCCCCCC))C=C2.[Br-].[Br-],Gem 14-6-14,0.0275,51.1,0.025,-38.23,4.86,1.99,1.81,0.92,10.1016/j.molliq.2017.06.008
O=C(C[N+](C)(C)CC[N+](C)(C)CC(NC1=CC=C(O(CCCCCCCCCCCCCCCC))C=C1)=O)NC2=CC=C(O(CCCCCCCCCCCCCCCC))C=C2.[Br-].[Br-],Gem 16-2-16,0.014,46,nd.,nd.,5.35,3.13,0.87,1.91,10.1016/j.molliq.2017.06.008
O=C(C[N+](C)(C)CCCC[N+](C)(C)CC(NC1=CC=C(O(CCCCCCCCCCCCCCCC))C=C1)=O)NC2=CC=C(O(CCCCCCCCCCCCCCCC))C=C2.[Br-].[Br-],Gem 16-4-16,0.009,48,0.0198,-35.67,5.49,2.78,1.24,1.34,10.1016/j.molliq.2017.06.008
O=C(C[N+](C)(C)CCCCCC[N+](C)(C)CC(NC1=CC=C(O(CCCCCCCCCCCCCCCC))C=C1)=O)NC2=CC=C(O(CCCCCCCCCCCCCCCC))C=C2.[Br-].[Br-],Gem 16-6-16,0.0288,45,0.0234,-35.42,4.87,2.13,1.72,0.97,10.1016/j.molliq.2017.06.008
