identifier,CMC,AW_ST_CMC,method,pC20,Γmax (μmol/m2),Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,Gamma_max,pCMC,C20,Molecular_Weight,InChI
8-2-8,0.000251,30.4,tensiometry,4.6,1.11,1.49,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCC)cc2)cc1.[Br-].[Br-],1.1100000000000002e-06,3.600326278518962,2.5118864315095822e-05,784.7630000000001,"InChI=1S/C38H62N4O3.2BrH/c1-7-9-11-13-15-17-19-33-20-22-34(23-21-33)39-37(43)31-41(3,4)28-29-42(5,6)32-38(44)40-35-24-26-36(27-25-35)45-30-18-16-14-12-10-8-2;;/h20-27H,7-19,28-32H2,1-6H3;2*1H"
8-4-8,0.000208,32.0,tensiometry,4.67,1.14,1.46,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCC)cc2)cc1.[Br-].[Br-],1.1399999999999999e-06,3.6819366650372385,2.1379620895022323e-05,812.817,"InChI=1S/C40H66N4O3.2BrH/c1-7-9-11-13-15-17-21-35-22-24-36(25-23-35)41-39(45)33-43(3,4)30-18-19-31-44(5,6)34-40(46)42-37-26-28-38(29-27-37)47-32-20-16-14-12-10-8-2;;/h22-29H,7-21,30-34H2,1-6H3;2*1H"
8-6-8,0.000109,36.0,tensiometry,4.92,0.99,1.66,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCC)cc2)cc1.[Br-].[Br-],9.9e-07,3.962573502059376,1.2022644346174132e-05,840.871,"InChI=1S/C42H70N4O3.2BrH/c1-7-9-11-13-15-19-23-37-24-26-38(27-25-37)43-41(47)35-45(3,4)32-20-16-17-21-33-46(5,6)36-42(48)44-39-28-30-40(31-29-39)49-34-22-18-14-12-10-8-2;;/h24-31H,7-23,32-36H2,1-6H3;2*1H"
10-2-10,4.07e-05,33.1,tensiometry,5.53,1.13,1.47,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCC)cc2)cc1.[Br-].[Br-],1.13e-06,4.39040559077478,2.951209226666384e-06,840.8709999999999,"InChI=1S/C42H70N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-37-24-26-38(27-25-37)43-41(47)35-45(3,4)32-33-46(5,6)36-42(48)44-39-28-30-40(31-29-39)49-34-22-20-18-16-14-12-10-8-2;;/h24-31H,7-23,32-36H2,1-6H3;2*1H"
10-4-10,2.07e-05,41.6,tensiometry,5.31,1.06,1.57,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCC)cc2)cc1.[Br-].[Br-],1.06e-06,4.684029654543083,4.897788193684467e-06,868.9249999999997,"InChI=1S/C44H74N4O3.2BrH/c1-7-9-11-13-15-17-19-21-25-39-26-28-40(29-27-39)45-43(49)37-47(3,4)34-22-23-35-48(5,6)38-44(50)46-41-30-32-42(33-31-41)51-36-24-20-18-16-14-12-10-8-2;;/h26-33H,7-25,34-38H2,1-6H3;2*1H"
10-6-10,1.09e-05,45.0,tensiometry,5.02,1.22,1.36,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCC)cc2)cc1.[Br-].[Br-],1.22e-06,4.962573502059376,9.549925860214369e-06,896.9789999999998,"InChI=1S/C46H78N4O3.2BrH/c1-7-9-11-13-15-17-19-23-27-41-28-30-42(31-29-41)47-45(51)39-49(3,4)36-24-20-21-25-37-50(5,6)40-46(52)48-43-32-34-44(35-33-43)53-38-26-22-18-16-14-12-10-8-2;;/h28-35H,7-27,36-40H2,1-6H3;2*1H"
12-2-12,3.71e-05,44.6,tensiometry,4.69,1.8,0.92,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],1.8000000000000001e-06,4.430626090384954,2.0417379446695274e-05,896.9789999999996,"InChI=1S/C46H78N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-41-28-30-42(31-29-41)47-45(51)39-49(3,4)36-37-50(5,6)40-46(52)48-43-32-34-44(35-33-43)53-38-26-24-22-20-18-16-14-12-10-8-2;;/h28-35H,7-27,36-40H2,1-6H3;2*1H"
12-4-12,1.42e-05,44.8,tensiometry,4.97,1.65,1.01,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],1.6499999999999999e-06,4.847711655616943,1.071519305237607e-05,925.0329999999997,"InChI=1S/C48H82N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-29-43-30-32-44(33-31-43)49-47(53)41-51(3,4)38-26-27-39-52(5,6)42-48(54)50-45-34-36-46(37-35-45)55-40-28-24-22-20-18-16-14-12-10-8-2;;/h30-37H,7-29,38-42H2,1-6H3;2*1H"
12-6-12,1.04e-05,49.0,tensiometry,5.06,2.01,0.83,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],2.01e-06,4.982966660701219,8.709635899560814e-06,953.0869999999996,"InChI=1S/C50H86N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-27-31-45-32-34-46(35-33-45)51-49(55)43-53(3,4)40-28-24-25-29-41-54(5,6)44-50(56)52-47-36-38-48(39-37-47)57-42-30-26-22-20-18-16-14-12-10-8-2;;/h32-39H,7-31,40-44H2,1-6H3;2*1H"
14-2-14,2.08e-05,47.0,tensiometry,4.8,2.36,0.7,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],2.36e-06,4.681936665037238,1.584893192461114e-05,953.0869999999994,"InChI=1S/C50H86N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-45-32-34-46(35-33-45)51-49(55)43-53(3,4)40-41-54(5,6)44-50(56)52-47-36-38-48(39-37-47)57-42-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h32-39H,7-31,40-44H2,1-6H3;2*1H"
14-4-14,1.18e-05,46.0,tensiometry,4.97,1.96,0.84,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],1.96e-06,4.928117992693875,1.071519305237607e-05,981.1409999999994,"InChI=1S/C52H90N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-33-47-34-36-48(37-35-47)53-51(57)45-55(3,4)42-30-31-43-56(5,6)46-52(58)54-49-38-40-50(41-39-49)59-44-32-28-26-24-22-20-18-16-14-12-10-8-2;;/h34-41H,7-33,42-46H2,1-6H3;2*1H"
