Surfactant,cmc (mol/L),γcmc (mN/m),method,β,ΔG0mic (kJ/mol),pC20,cmc/C20,Γmax (μmol/m2),Amin (nm2),Temp_Celsius,source_doi,reference_doi,SMILES
8-2-8,0.000251,30.4,tensiometry,,-39.94,4.6,9.99,1.11,1.49,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1.[Br-].[Br-]
8-4-8,0.000208,32,tensiometry,,-36.95,4.67,9.73,1.14,1.46,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1.[Br-].[Br-]
8-6-8,0.000109,36,tensiometry,,-38.85,4.92,9.07,0.99,1.66,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1.[Br-].[Br-]
10-2-10,4.07E-05,33.1,tensiometry,,-43.22,5.53,1.38,1.13,1.47,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
10-4-10,2.07E-05,41.6,tensiometry,,-37.22,5.31,4.23,1.06,1.57,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
10-6-10,1.09E-05,45,tensiometry,,-38.26,5.02,1.15,1.22,1.36,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
12-2-12,3.71E-05,44.6,tensiometry,,-35.76,4.69,1.82,1.8,0.92,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
12-4-12,1.42E-05,44.8,tensiometry,,-39.09,4.97,1.33,1.65,1.01,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
12-6-12,1.04E-05,49,tensiometry,,-40.26,5.06,1.19,2.01,0.83,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
14-2-14,2.08E-05,47,tensiometry,,-34.04,4.8,1.31,2.36,0.7,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
14-4-14,1.18E-05,46,tensiometry,,-36.52,4.97,1.1,1.96,0.84,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCC(=O)Nc2ccc(OCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
14-6-14,2.75E-05,51.1,tensiometry,,-38.23,4.86,1.99,1.81,0.92,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC(=O)Nc2ccc(OCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
16-2-16,1.40E-05,46,tensiometry,,,5.35,3.13,0.87,1.91,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
16-4-16,9.00E-06,48,tensiometry,,-35.67,5.49,2.78,1.24,1.34,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
16-6-16,2.88E-05,45,tensiometry,,-35.42,4.87,2.13,1.72,0.97,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
8-2-8,0.000322,,conductometry,0.81,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1.[Br-].[Br-]
8-4-8,0.000213,,conductometry,0.69,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1.[Br-].[Br-]
8-6-8,0.000117,,conductometry,0.7,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1.[Br-].[Br-]
10-2-10,4.82E-05,,conductometry,0.75,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
10-4-10,4.37E-05,,conductometry,0.57,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
10-6-10,2.04E-05,,conductometry,0.5,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
12-2-12,3.44E-05,,conductometry,0.51,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
12-4-12,2.16E-05,,conductometry,0.57,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
12-6-12,8.29E-06,,conductometry,0.53,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
14-2-14,2.34E-05,,conductometry,0.44,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
14-4-14,2.51E-05,,conductometry,0.51,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCC(=O)Nc2ccc(OCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
14-6-14,2.50E-05,,conductometry,0.56,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC(=O)Nc2ccc(OCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
16-2-16,,,,,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
16-4-16,1.98E-05,,conductometry,0.47,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
16-6-16,2.34E-05,,conductometry,0.47,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-]
