identifier,source_doi,reference_doi,SMILES,Temp_Celsius,AW_ST_CMC,Pi_CMC,Amin (Å2),Area_min,CMC,Gamma_max,pCMC,Molecular_Weight,InChI
Si4mam-OHCl,10.1016/j.colsurfa.2012.10.041,,C[N+](C)(CCO)CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C.[Cl-],25.0,,,,,0.0116,,1.9355420107730816,462.3280000000002,"InChI=1S/C16H44NO4Si4.ClH/c1-17(2,14-15-18)13-12-16-25(19-22(3,4)5,20-23(6,7)8)21-24(9,10)11;/h18H,12-16H2,1-11H3;1H/q+1;/p-1"
Si4mimCl,10.1016/j.colsurfa.2012.10.041,,Cn1cc[n+](CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)c1.[Cl-],25.0,,,,,0.0075,,2.1249387366083,455.2960000000003,"InChI=1S/C16H39N2O3Si4.ClH/c1-17-13-14-18(16-17)12-11-15-25(19-22(2,3)4,20-23(5,6)7)21-24(8,9)10;/h13-14,16H,11-12,15H2,1-10H3;1H/q+1;/p-1"
Si4pyCl,10.1016/j.colsurfa.2012.10.041,,C[N+]1(CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)CCCC1.[Cl-],25.0,,,,,0.0055,,2.2596373105057563,458.3400000000004,"InChI=1S/C17H44NO3Si4.ClH/c1-18(14-11-12-15-18)16-13-17-25(19-22(2,3)4,20-23(5,6)7)21-24(8,9)10;/h11-17H2,1-10H3;1H/q+1;/p-1"
Si4mam-OHCl,10.1016/j.colsurfa.2012.10.041,,C[N+](C)(CCO)CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C.[Cl-],25.0,21.2,51.3,164.5,1.645,,1.01e-06,,462.3280000000002,"InChI=1S/C16H44NO4Si4.ClH/c1-17(2,14-15-18)13-12-16-25(19-22(3,4)5,20-23(6,7)8)21-24(9,10)11;/h18H,12-16H2,1-11H3;1H/q+1;/p-1"
Si4mimCl,10.1016/j.colsurfa.2012.10.041,,Cn1cc[n+](CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)c1.[Cl-],25.0,20.4,52.1,197.5,1.975,,8.4e-07,,455.2960000000003,"InChI=1S/C16H39N2O3Si4.ClH/c1-17-13-14-18(16-17)12-11-15-25(19-22(2,3)4,20-23(5,6)7)21-24(8,9)10;/h13-14,16H,11-12,15H2,1-10H3;1H/q+1;/p-1"
Si4pyCl,10.1016/j.colsurfa.2012.10.041,,C[N+]1(CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)CCCC1.[Cl-],25.0,20.0,52.5,134.0,1.34,,1.24e-06,,458.3400000000004,"InChI=1S/C17H44NO3Si4.ClH/c1-18(14-11-12-15-18)16-13-17-25(19-22(2,3)4,20-23(5,6)7)21-24(8,9)10;/h11-17H2,1-10H3;1H/q+1;/p-1"
Si4mam-OHCl,10.1016/j.colsurfa.2012.10.041,,C[N+](C)(CCO)CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C.[Cl-],15.0,,,,,0.0103,,1.9871627752948278,462.3280000000002,"InChI=1S/C16H44NO4Si4.ClH/c1-17(2,14-15-18)13-12-16-25(19-22(3,4)5,20-23(6,7)8)21-24(9,10)11;/h18H,12-16H2,1-11H3;1H/q+1;/p-1"
Si4mam-OHCl,10.1016/j.colsurfa.2012.10.041,,C[N+](C)(CCO)CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C.[Cl-],20.0,,,,,0.0109,,1.9625735020593764,462.3280000000002,"InChI=1S/C16H44NO4Si4.ClH/c1-17(2,14-15-18)13-12-16-25(19-22(3,4)5,20-23(6,7)8)21-24(9,10)11;/h18H,12-16H2,1-11H3;1H/q+1;/p-1"
Si4mam-OHCl,10.1016/j.colsurfa.2012.10.041,,C[N+](C)(CCO)CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C.[Cl-],30.0,,,,,0.0121,,1.91721462968355,462.3280000000002,"InChI=1S/C16H44NO4Si4.ClH/c1-17(2,14-15-18)13-12-16-25(19-22(3,4)5,20-23(6,7)8)21-24(9,10)11;/h18H,12-16H2,1-11H3;1H/q+1;/p-1"
Si4mam-OHCl,10.1016/j.colsurfa.2012.10.041,,C[N+](C)(CCO)CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C.[Cl-],35.0,,,,,0.0127,,1.8961962790440432,462.3280000000002,"InChI=1S/C16H44NO4Si4.ClH/c1-17(2,14-15-18)13-12-16-25(19-22(3,4)5,20-23(6,7)8)21-24(9,10)11;/h18H,12-16H2,1-11H3;1H/q+1;/p-1"
