Surfactants,T (◦C),CMC conductivity (mM),β,source_doi,reference_doi,SMILES
Si4mam-OHCl,15,10.3,0.31,10.1016/j.colsurfa.2012.10.041,,OCC[N+](C)(C)CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C.[Cl-]
Si4mam-OHCl,20,10.9,0.32,10.1016/j.colsurfa.2012.10.041,,OCC[N+](C)(C)CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C.[Cl-]
Si4mam-OHCl,25,11.6,0.34,10.1016/j.colsurfa.2012.10.041,,OCC[N+](C)(C)CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C.[Cl-]
Si4mam-OHCl,30,12.1,0.35,10.1016/j.colsurfa.2012.10.041,,OCC[N+](C)(C)CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C.[Cl-]
Si4mam-OHCl,35,12.7,0.36,10.1016/j.colsurfa.2012.10.041,,OCC[N+](C)(C)CCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C.[Cl-]
Si4mimCl,15,6.6,0.32,10.1016/j.colsurfa.2012.10.041,,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)CCC[N+]1=CN(C)C=C1.[Cl-]
Si4mimCl,20,6.9,0.3,10.1016/j.colsurfa.2012.10.041,,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)CCC[N+]1=CN(C)C=C1.[Cl-]
Si4mimCl,25,7.5,0.27,10.1016/j.colsurfa.2012.10.041,,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)CCC[N+]1=CN(C)C=C1.[Cl-]
Si4mimCl,30,8.2,0.25,10.1016/j.colsurfa.2012.10.041,,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)CCC[N+]1=CN(C)C=C1.[Cl-]
Si4mimCl,35,9.0,0.22,10.1016/j.colsurfa.2012.10.041,,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)CCC[N+]1=CN(C)C=C1.[Cl-]
Si4pyCl,15,4.8,0.24,10.1016/j.colsurfa.2012.10.041,,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)CCC[N+]1(C)CCCC1.[Cl-]
Si4pyCl,20,5.0,0.27,10.1016/j.colsurfa.2012.10.041,,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)CCC[N+]1(C)CCCC1.[Cl-]
Si4pyCl,25,5.5,0.3,10.1016/j.colsurfa.2012.10.041,,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)CCC[N+]1(C)CCCC1.[Cl-]
Si4pyCl,30,5.9,0.33,10.1016/j.colsurfa.2012.10.041,,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)CCC[N+]1(C)CCCC1.[Cl-]
Si4pyCl,35,6.6,0.35,10.1016/j.colsurfa.2012.10.041,,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)CCC[N+]1(C)CCCC1.[Cl-]
