code,CMC/10−5 M,method,I1/I3,CMC M,pCMC M,source_doi,reference_doi
Si3-PG,12.5,tensiometry,,0.000125,3.903089987,10.1021/acs.jpcb.8b10727,
Et-Si3-PG,8.12,tensiometry,,8.12E-05,4.090443971,10.1021/acs.jpcb.8b10727,
Pro-Si3-PG,7.24,tensiometry,,7.24E-05,4.140261434,10.1021/acs.jpcb.8b10727,
But-Si3-PG,6.46,tensiometry,,6.46E-05,4.189767482,10.1021/acs.jpcb.8b10727,
Et2-Si3-PG,7.08,tensiometry,,7.08E-05,4.149966742,10.1021/acs.jpcb.8b10727,
Et3-Si3-PG,6.61,tensiometry,,6.61E-05,4.179798541,10.1021/acs.jpcb.8b10727,
Si4-PG,9.33,tensiometry,,9.33E-05,4.030118356,10.1021/acs.jpcb.8b10727,
Si3-PG,12.6,fluorimetry,1.32,0.000126,3.899629455,10.1021/acs.jpcb.8b10727,
Et-Si3-PG,8.13,fluorimetry,1.55,8.13E-05,4.089909454,10.1021/acs.jpcb.8b10727,
Pro-Si3-PG,7.24,fluorimetry,1.19,7.24E-05,4.140261434,10.1021/acs.jpcb.8b10727,
But-Si3-PG,6.45,fluorimetry,1.2,6.45E-05,4.190440285,10.1021/acs.jpcb.8b10727,
Et2-Si3-PG,7.07,fluorimetry,1.45,7.07E-05,4.150580586,10.1021/acs.jpcb.8b10727,
Et3-Si3-PG,6.61,fluorimetry,1.35,6.61E-05,4.179798541,10.1021/acs.jpcb.8b10727,
Si4-PG,9.33,fluorimetry,1.25,9.33E-05,4.030118356,10.1021/acs.jpcb.8b10727,
