Compound,Tkp (°C),CMC (mM),γCMC (mN/m),Foam 0 min (mL),Foam 10 min (mL),Temp_Celsius,source_doi,reference_doi,SMILES,method
II-10-2,<0,1.09,30.0,260.0,220.0,20,10.1007/s11743-000-0121-4,,CCCCCCCCCC(OCC[N+](C)(CC(C[N+](C)(CCOC(CCCCCCCCCC)=O)C)O)C)=O.[Cl-].[Cl-],tensiometry
II-12-2,<0,0.082,32.0,270.0,260.0,20,10.1007/s11743-000-0121-4,,CCCCCCCCCCCC(OCC[N+](C)(CC(C[N+](C)(CCOC(CCCCCCCCCCCC)=O)C)O)C)=O.[Cl-].[Cl-],tensiometry
II-14-2,<0,0.021,30.0,140.0,80.0,20,10.1007/s11743-000-0121-4,,CCCCCCCCCCCCCC(OCC[N+](C)(CC(C[N+](C)(CCOC(CCCCCCCCCCCCCC)=O)C)O)C)=O.[Cl-].[Cl-],tensiometry
II-16-2,28,,,,,20,10.1007/s11743-000-0121-4,,CCCCCCCCCCCCCCCC(OCC[N+](C)(CC(C[N+](C)(CCOC(CCCCCCCCCCCCCCCC)=O)C)O)C)=O.[Cl-].[Cl-],tensiometry
II-10-4,<0,0.17,34.0,50.0,0.0,20,10.1007/s11743-000-0121-4,,CCCCCCCCCC(OCCCC[N+](CC(O)C[N+](CCCCOC(CCCCCCCCC)=O)(C)C)(C)C)=O.[Cl-].[Cl-],tensiometry
II-8-6,<0,0.79,34.0,50.0,0.0,20,10.1007/s11743-000-0121-4,,CCCCCCCC(OCCCCCC[N+](C)(C)CC(C[N+](C)(C)CCCCCCOC(CCCCCCC)=O)O)=O.[Cl-].[Cl-],tensiometry
I-12-2,<0,0.69,30.0,20.0,0.0,20,10.1007/s11743-000-0121-4,,CCCCCCCCCCCC(=O)OCC[N+](C)(C)C.[Cl-],tensiometry
II-12-2(amide),<0,0.19,33.0,260.0,240.0,20,10.1007/s11743-000-0121-4,10.5650/JOS1996.46.747,CCCCCCCCCCCC(NCC[N+](CC(O)C[N+](CCNC(CCCCCCCCCCCC)=O)(C)C)(C)C)=O.[Cl-].[Cl-],
I-12-2(amide),<0,6.1,35.0,20.0,0.0,20,10.1007/s11743-000-0121-4,10.5650/JOS1996.46.747,CCCCCCCCCCCCC(=O)NCC[N+](C)(C)C.[Cl-],
II-12,<0,0.14,39.0,270.0,270.0,20,10.1007/s11743-000-0121-4,10.1007/BF02517994,C[N+](C)(CCCCCCCCCCCC)CC(O)C[N+](CCCCCCCCCCCC)(C)C.[Cl-].[Cl-],
I-12,<0,4.5,,20.0,0.0,20,10.1007/s11743-000-0121-4,978-0-471-83651-3,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],tensiometry
