identifier,CMC (mM),AW_ST_CMC,Temp_Celsius,source_doi,reference_doi,SMILES,method,CMC,pCMC,Molecular_Weight,InChI
2.0,0.79,35.0,20.0,10.1007/s11743-001-0180-6,,CCCCCCCCCCC(=O)OCC[N+](C)(C)C/C=C/C[N+](C)(C)CCOC(=O)CCCCCCCCC.[Cl-].[Cl-],tensiometry,0.00079,3.1023729087095586,625.8070000000005,"InChI=1S/C33H66N2O4.2ClH/c1-7-9-11-13-15-17-19-21-25-33(37)39-31-29-35(5,6)27-23-22-26-34(3,4)28-30-38-32(36)24-20-18-16-14-12-10-8-2;;/h22-23H,7-21,24-31H2,1-6H3;2*1H/q+2;;/p-2/b23-22+;;"
2.0,0.13,33.0,20.0,10.1007/s11743-001-0180-6,,CCCCCCCCCCCCC(=O)OCC[N+](C)(C)C/C=C/C[N+](C)(C)CCOC(=O)CCCCCCCCCCC.[Cl-].[Cl-],tensiometry,0.00013000000000000002,3.886056647693163,681.9150000000002,"InChI=1S/C37H74N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-29-37(41)43-35-33-39(5,6)31-27-26-30-38(3,4)32-34-42-36(40)28-24-22-20-18-16-14-12-10-8-2;;/h26-27H,7-25,28-35H2,1-6H3;2*1H/q+2;;/p-2/b27-26+;;"
4.0,0.4,34.0,20.0,10.1007/s11743-001-0180-6,,CCCCCCCCCCC(=O)OCCCC[N+](C)(C)C/C=C/C[N+](C)(C)CCCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],tensiometry,0.0004,3.3979400086720375,681.9150000000002,"InChI=1S/C37H74N2O4.2ClH/c1-7-9-11-13-15-17-19-21-29-37(41)43-35-27-25-33-39(5,6)31-23-22-30-38(3,4)32-24-26-34-42-36(40)28-20-18-16-14-12-10-8-2;;/h22-23H,7-21,24-35H2,1-6H3;2*1H/q+2;;/p-2/b23-22+;;"
6.0,0.42,35.0,20.0,10.1007/s11743-001-0180-6,,CCCCCCCCCCC(=O)OCCCCCC[N+](C)(C)C/C=C/C[N+](C)(C)CCCCCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],tensiometry,0.00041999999999999996,3.3767507096020997,738.0229999999999,"InChI=1S/C41H82N2O4.2ClH/c1-7-9-11-13-15-17-19-25-33-41(45)47-39-31-23-21-27-35-43(5,6)37-29-28-36-42(3,4)34-26-20-22-30-38-46-40(44)32-24-18-16-14-12-10-8-2;;/h28-29H,7-27,30-39H2,1-6H3;2*1H/q+2;;/p-2/b29-28+;;"
2.0,0.025,31.0,20.0,10.1007/s11743-001-0180-6,,CCCCCCCCCCCCCCC(=O)OCC[N+](C)(C)C/C=C/C[N+](C)(C)CCOC(=O)CCCCCCCCCCCCCC.[Cl-].[Cl-],tensiometry,2.5e-05,4.6020599913279625,752.0499999999998,"InChI=1S/C42H84N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-33-41(45)47-39-37-43(3,4)35-31-32-36-44(5,6)38-40-48-42(46)34-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h31-32H,7-30,33-40H2,1-6H3;2*1H/q+2;;/p-2/b32-31+;;"
6.0,0.27,39.0,20.0,10.1007/s11743-001-0180-6,,CCCCCCCCCCC(=O)OCCCCCC[N+](C)(C)C/C=C/C[N+](C)(C)CCCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],tensiometry,0.00027,3.5686362358410126,709.969,"InChI=1S/C39H78N2O4.2ClH/c1-7-9-11-13-15-17-19-23-30-38(42)44-36-28-21-20-24-32-40(3,4)33-25-26-34-41(5,6)35-27-29-37-45-39(43)31-22-18-16-14-12-10-8-2;;/h25-26H,7-24,27-37H2,1-6H3;2*1H/q+2;;/p-2/b26-25+;;"
2.0,0.0052,35.0,20.0,10.1007/s11743-001-0180-6,,CCCCCCCCCCCCCCCCC(=O)OCC[N+](C)(C)C/C=C/C[N+](C)(C)CCOC(=O)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],tensiometry,5.199999999999999e-06,5.2839966563652006,808.1579999999996,"InChI=1S/C46H92N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-45(49)51-43-41-47(3,4)39-35-36-40-48(5,6)42-44-52-46(50)38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h35-36H,7-34,37-44H2,1-6H3;2*1H/q+2;;/p-2/b36-35+;;"
2.0,,,20.0,10.1007/s11743-001-0180-6,,CCCCCCCCCCCCCCCCCCC(=O)OCC[N+](C)(C)C/C=C/C[N+](C)(C)CCOC(=O)CCCCCCCCCCCCCCCCCC.[Cl-].[Cl-],tensiometry,,,864.2659999999993,"InChI=1S/C50H100N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-41-49(53)55-47-45-51(3,4)43-39-40-44-52(5,6)46-48-56-50(54)42-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h39-40H,7-38,41-48H2,1-6H3;2*1H/q+2;;/p-2/b40-39+;;"
2.0,0.14,36.0,20.0,10.1007/s11743-001-0180-6,,CCCCCCCCCCCCC(=O)OCC[N+](C)(C)C/C=C\C[N+](C)(C)CCOC(=O)CCCCCCCCCCCC.[Cl-].[Cl-],tensiometry,0.00014000000000000001,3.853871964321762,695.9420000000001,"InChI=1S/C38H76N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-29-37(41)43-35-33-39(3,4)31-27-28-32-40(5,6)34-36-44-38(42)30-26-24-22-20-18-16-14-12-10-8-2;;/h27-28H,7-26,29-36H2,1-6H3;2*1H/q+2;;/p-2/b28-27-;;"
2.0,0.4,35.0,20.0,10.1007/s11743-001-0180-6,,CCCCCCCCCCCCC(=O)OCC[N+](C)(C)CC#CC[N+](C)(C)CCOC(=O)CCCCCCCCCCCC.[Cl-].[Cl-],tensiometry,0.0004,3.3979400086720375,693.9260000000002,"InChI=1S/C38H74N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-29-37(41)43-35-33-39(3,4)31-27-28-32-40(5,6)34-36-44-38(42)30-26-24-22-20-18-16-14-12-10-8-2;;/h7-26,29-36H2,1-6H3;2*1H/q+2;;/p-2"
