identifier,TKp,CMC (mM),γCMC (mN/m),Foam 0min (mL),Foam 10 min (mL),Temp_Celsius,source_doi,reference_doi,SMILES
2.0,<0,0.79,35.0,210.0,0.0,20.0,10.1007/s11743-001-0180-6,,C[N+](C)(C/C=C/C[N+](C)(CCOC(CCCCCCCCCC)=O)C)CCOC(CCCCCCCCC)=O.[Cl-].[Cl-]
2.0,<0,0.13,33.0,250.0,250.0,20.0,10.1007/s11743-001-0180-6,,C[N+](C)(C/C=C/C[N+](C)(CCOC(CCCCCCCCCCCC)=O)C)CCOC(CCCCCCCCCCC)=O.[Cl-].[Cl-]
4.0,<0,0.4,34.0,250.0,240.0,20.0,10.1007/s11743-001-0180-6,,C[N+](C)(C/C=C/C[N+](C)(CCCCOC(CCCCCCCCCC)=O)C)CCCCOC(CCCCCCCCC)=O.[Cl-].[Cl-]
6.0,<0,0.42,35.0,50.0,0.0,20.0,10.1007/s11743-001-0180-6,,C[N+](C)(C/C=C/C[N+](C)(CCCCCCOC(CCCCCCCCCC)=O)C)CCCCCCOC(CCCCCCCCC)=O.[Cl-].[Cl-]
2.0,<0,0.025,31.0,250.0,250.0,20.0,10.1007/s11743-001-0180-6,,C[N+](C)(C/C=C/C[N+](C)(CCOC(CCCCCCCCCCCCCC)=O)C)CCOC(CCCCCCCCCCCCCC)=O.[Cl-].[Cl-]
6.0,<0,0.27,39.0,250.0,120.0,20.0,10.1007/s11743-001-0180-6,,C[N+](C)(C/C=C/C[N+](C)(CCCCCCOC(CCCCCCCCCC)=O)C)CCCCOC(CCCCCCCCC)=O.[Cl-].[Cl-]
2.0,7,0.0052,35.0,20.0,0.0,20.0,10.1007/s11743-001-0180-6,,C[N+](C)(C/C=C/C[N+](C)(CCOC(CCCCCCCCCCCCCCCC)=O)C)CCOC(CCCCCCCCCCCCCCCC)=O.[Cl-].[Cl-]
2.0,46,,,,,20.0,10.1007/s11743-001-0180-6,,C[N+](C)(C/C=C/C[N+](C)(CCOC(CCCCCCCCCCCCCCCCCC)=O)C)CCOC(CCCCCCCCCCCCCCCCCC)=O.[Cl-].[Cl-]
2.0,<0,0.14,36.0,250.0,250.0,20.0,10.1007/s11743-001-0180-6,,C[N+](C)(C/C=C\C[N+](C)(CCOC(CCCCCCCCCCCC)=O)C)CCOC(CCCCCCCCCCCC)=O.[Cl-].[Cl-]
2.0,<0,0.4,35.0,250.0,250.0,20.0,10.1007/s11743-001-0180-6,,C[N+](C)(CC#CC[N+](C)(CCOC(CCCCCCCCCCCC)=O)C)CCOC(CCCCCCCCCCCC)=O.[Cl-].[Cl-]
2.0,<0,0.11,34.0,250.0,60.0,20.0,10.1007/s11743-001-0180-6,,C[N+](C)(CCCC[N+](C)(CCOC(CCCCCCCCCCCC)=O)C)CCOC(CCCCCCCCCCCC)=O.[Cl-].[Cl-]
2.0,<0,0.082,32.0,250.0,250.0,20.0,10.1007/s11743-001-0180-6,10.1007/s11743-000-0121-4,C[N+](C)(CC(O)C[N+](C)(CCOC(CCCCCCCCCCCC)=O)C)CCOC(CCCCCCCCCCCC)=O.[Cl-].[Cl-]
2.0,<0,0.69,30.0,20.0,0.0,20.0,10.1007/s11743-001-0180-6,10.1007/s11743-000-0121-4,CCCCCCCCCCCCC(=O)OCC[N+](C)(C)C.[Cl-]
,<0,0.86,41.0,230.0,90.0,20.0,10.1007/s11743-001-0180-6,10.1007/s11743-001-0179-z,CCCCCCCCCCCC[N+](C)(C/C=C/C[N+](C)(CCCCCCCCCCCC)C)C.[Cl-].[Cl-]
,<0,0.067,41.0,250.0,250.0,20.0,10.1007/s11743-001-0180-6,10.1007/s11743-001-0179-z,CCCCCCCCCCCCCC[N+](C)(C/C=C/C[N+](C)(CCCCCCCCCCCCCC)C)C.[Cl-].[Cl-]
