identifier,AW_ST_CMC,pC20,Temp_Celsius,source_doi,reference_doi,SMILES,method,CMC,pCMC,C20,Molecular_Weight,InChI
3a,40.0,2.7,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCC[N+](C)(C)C/C=C/C[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-],tensiometry,0.0072,2.1426675035687315,0.001995262314968879,495.7080000000004,"InChI=1S/C28H60N2.2ClH/c1-7-9-11-13-15-17-19-21-25-29(3,4)27-23-24-28-30(5,6)26-22-20-18-16-14-12-10-8-2;;/h23-24H,7-22,25-28H2,1-6H3;2*1H/q+2;;/p-2/b24-23+;;"
3b,41.0,3.9,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCC[N+](C)(C)C/C=C/C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],tensiometry,0.00086,3.065501548756432,0.00012589254117941674,551.8160000000005,"InChI=1S/C32H68N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-29-33(3,4)31-27-28-32-34(5,6)30-26-24-22-20-18-16-14-12-10-8-2;;/h27-28H,7-26,29-32H2,1-6H3;2*1H/q+2;;/p-2/b28-27+;;"
3c,41.0,5.2,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCCCC[N+](C)(C)C/C=C/C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],tensiometry,6.7e-05,4.173925197299174,6.30957344480193e-06,607.9240000000005,"InChI=1S/C36H76N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-33-37(3,4)35-31-32-36-38(5,6)34-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h31-32H,7-30,33-36H2,1-6H3;2*1H/q+2;;/p-2/b32-31+;;"
3d,42.0,6.3,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCCCCCC[N+](C)(C)C/C=C/C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],tensiometry,7.2e-06,5.142667503568732,5.011872336272725e-07,664.0320000000003,"InChI=1S/C40H84N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-41(3,4)39-35-36-40-42(5,6)38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h35-36H,7-34,37-40H2,1-6H3;2*1H/q+2;;/p-2/b36-35+;;"
4a,39.0,2.7,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCC[N+](C)(C)C/C=C\C[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-],tensiometry,0.0047,2.3279021420642825,0.001995262314968879,495.7080000000004,"InChI=1S/C28H60N2.2ClH/c1-7-9-11-13-15-17-19-21-25-29(3,4)27-23-24-28-30(5,6)26-22-20-18-16-14-12-10-8-2;;/h23-24H,7-22,25-28H2,1-6H3;2*1H/q+2;;/p-2/b24-23-;;"
4b,39.0,3.7,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCC[N+](C)(C)C/C=C\C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],tensiometry,0.00088,3.0555173278498313,0.00019952623149688788,551.8160000000005,"InChI=1S/C32H68N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-29-33(3,4)31-27-28-32-34(5,6)30-26-24-22-20-18-16-14-12-10-8-2;;/h27-28H,7-26,29-32H2,1-6H3;2*1H/q+2;;/p-2/b28-27-;;"
4c,41.0,4.8,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCCCC[N+](C)(C)C/C=C\C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],tensiometry,8.999999999999999e-05,4.045757490560675,1.584893192461114e-05,607.9240000000005,"InChI=1S/C36H76N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-33-37(3,4)35-31-32-36-38(5,6)34-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h31-32H,7-30,33-36H2,1-6H3;2*1H/q+2;;/p-2/b32-31-;;"
4d,41.0,5.9,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCCCCCC[N+](C)(C)C/C=C\C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],tensiometry,1.9e-05,4.721246399047171,1.2589254117941661e-06,664.0320000000003,"InChI=1S/C40H84N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-41(3,4)39-35-36-40-42(5,6)38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h35-36H,7-34,37-40H2,1-6H3;2*1H/q+2;;/p-2/b36-35-;;"
5a,38.0,2.8,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCC[N+](C)(C)CC#CC[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-],tensiometry,0.0050999999999999995,2.2924298239020637,0.001584893192461114,493.69200000000035,"InChI=1S/C28H58N2.2ClH/c1-7-9-11-13-15-17-19-21-25-29(3,4)27-23-24-28-30(5,6)26-22-20-18-16-14-12-10-8-2;;/h7-22,25-28H2,1-6H3;2*1H/q+2;;/p-2"
5b,38.0,3.9,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCC[N+](C)(C)CC#CC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],tensiometry,0.00067,3.1739251972991736,0.00012589254117941674,549.8000000000005,"InChI=1S/C32H66N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-29-33(3,4)31-27-28-32-34(5,6)30-26-24-22-20-18-16-14-12-10-8-2;;/h7-26,29-32H2,1-6H3;2*1H/q+2;;/p-2"
