Compound,R,TKp (°C),CMC (mM),γCMC (mN/m),pC20,Foam 0 min (mL),Foam 5 min (mL),Temp_Celsius,source_doi,reference_doi,SMILES,method
3a,C10H21,<0,7.2,40.0,2.7,25.0,0.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCC[N+](C)(C/C=C/C[N+](C)(CCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
3b,C12H25,<0,0.86,41.0,3.9,230.0,90.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCC[N+](C)(C/C=C/C[N+](C)(CCCCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
3c,C14H29,<0,0.067,41.0,5.2,250.0,250.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCCCC[N+](C)(C/C=C/C[N+](C)(CCCCCCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
3d,C16H33,<0,0.0072,42.0,6.3,100.0,20.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCCCCCC[N+](C)(C/C=C/C[N+](C)(CCCCCCCCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
4a,C10H21,<0,4.7,39.0,2.7,35.0,0.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCC[N+](C)(C/C=C\C[N+](C)(CCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
4b,C12H25,<0,0.88,39.0,3.7,230.0,40.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCC[N+](C)(C/C=C\C[N+](C)(CCCCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
4c,C14H29,<0,0.09,41.0,4.8,250.0,240.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCCCC[N+](C)(C/C=C\C[N+](C)(CCCCCCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
4d,C16H33,<0,0.019,41.0,5.9,140.0,90.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCCCCCC[N+](C)(C/C=C\C[N+](C)(CCCCCCCCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
5a,C10H21,<0,5.1,38.0,2.8,30.0,0.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCC[N+](C)(CC#CC[N+](C)(CCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
5b,C12H25,<0,0.67,38.0,3.9,250.0,250.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCC[N+](C)(CC#CC[N+](C)(CCCCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
5c,C14H29,<0,0.066,39.0,5.1,250.0,250.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCCCC[N+](C)(CC#CC[N+](C)(CCCCCCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
5d,C16H33,<0,0.011,41.0,6.0,90.0,40.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCCCCCC[N+](C)(CC#CC[N+](C)(CCCCCCCCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
6a,C10H21,<0,5.0,40.0,2.7,20.0,0.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCC[N+](C)(CCCC[N+](C)(CCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
6b,C12H25,<0,0.98,41.0,3.7,180.0,0.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCC[N+](C)(CCCC[N+](C)(CCCCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
6c,C14H29,<0,0.082,42.0,4.9,240.0,40.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCCCC[N+](C)(CCCC[N+](C)(CCCCCCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
6d,C16H33,<0,0.014,43.0,5.5,80.0,20.0,20.0,10.1007/s11743-001-0179-z,,CCCCCCCCCCCCCCCC[N+](C)(CCCC[N+](C)(CCCCCCCCCCCCCCCC)C)C.[Cl-].[Cl-],tensiometry
C12H25N+(CH3)3Cl–,C12H25N+(CH3)3Cl–,<0,12.0,39.0,2.6,20.0,0.0,20.0,10.1007/s11743-001-0179-z,10.1007/BF02517994,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],
C14H29N+(CH3)3Cl–,C14H29N+(CH3)3Cl–,,4.5,,,,,25.0,10.1007/s11743-001-0179-z,978-0-471-83651-3,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],
