compd,cmc (mM),β (%),method,γlim (mN/m),Γc (mol/Å2) (×10-10),Aminc (Å2),pC20c,C20c (mM),cmc/C20c,SMILES,source_doi,reference_doi,Temp_Celsius
1,9.8,90,conductometry,,,,,,,CCCCCCCCCCCCC1=CC=[N+](CCC[N+](CC)(CC)CC)C=C1.[Br-].[Br-],10.1021/jo0006425,,25
1,,,conductometry,,,,,,,CCCCCCCCCCCCC1=CC=[N+](CCC[N+](CC)(CC)CC)C=C1.[Br-].[Br-],10.1021/jo0006425,,25
3α,4.1,49,conductometry,,,,,,,O[C@H]([C@@H](CO)O[C@@H]([N+]1=CC=C(CCCCCCCCCCCC)C=C1)[C@@H]2O)[C@@H]2O.[Br-],10.1021/jo0006425,,25
3α,0.39,10,conductometry,,,,,,,O[C@H]([C@@H](CO)O[C@@H]([N+]1=CC=C(CCCCCCCCCCCC)C=C1)[C@@H]2O)[C@@H]2O.[Br-],10.1021/jo0006425,,25
3β,4.8,73,conductometry,,,,,,,O[C@H]([C@@H](CO)O[C@H](C[N+]1=CC=C(CCCCCCCCCCCC)C=C1)[C@@H]2O)[C@@H]2O.[Br-],10.1021/jo0006425,,25
3β,0.32,13,conductometry,,,,,,,O[C@H]([C@@H](CO)O[C@H](C[N+]1=CC=C(CCCCCCCCCCCC)C=C1)[C@@H]2O)[C@@H]2O.[Br-],10.1021/jo0006425,,25
4,4.2,80,conductometry,,,,,,,CCCCCCCCCCCCC1=CC=[N+](C)C=C1.[Br-],10.1021/jo0006425,,25
4,0.051,17,conductometry,,,,,,,CCCCCCCCCCCCC1=CC=[N+](C)C=C1.[Br-],10.1021/jo0006425,,25
5,9.1,79,conductometry,,,,,,,CC1=CC=[N+](CCCCCCCCCCCC)C=C1.[Br-],10.1021/jo0006425,,25
5,0.28,20,conductometry,,,,,,,CC1=CC=[N+](CCCCCCCCCCCC)C=C1.[Br-],10.1021/jo0006425,,25
6,4.9,68,conductometry,,,,,,,CC1=CC=[N+](CCCCCCCCCCCC)C2=C1C=CC=C2.[Br-],10.1021/jo0006425,,25
6,0.27,26,conductometry,,,,,,,CC1=CC=[N+](CCCCCCCCCCCC)C2=C1C=CC=C2.[Br-],10.1021/jo0006425,,25
6,0.12,9,conductometry,,,,,,,CC1=CC=[N+](CCCCCCCCCCCC)C2=C1C=CC=C2.[Br-],10.1021/jo0006425,,25
7,5.3,80,conductometry,,,,,,,C[N+](C)(CCCCCCCCCCCC)CC1=CC=CC=C1.[Br-],10.1021/jo0006425,,25
7,0.3,23,conductometry,,,,,,,C[N+](C)(CCCCCCCCCCCC)CC1=CC=CC=C1.[Br-],10.1021/jo0006425,,25
1,9.5,,tensiometry,49.7,2.96,56,2.1,7.94,1.2,CCCCCCCCCCCCC1=CC=[N+](CCC[N+](CC)(CC)CC)C=C1.[Br-].[Br-],10.1021/jo0006425,,25
1,,,tensiometry,,1.98,84,,,,CCCCCCCCCCCCC1=CC=[N+](CCC[N+](CC)(CC)CC)C=C1.[Br-].[Br-],10.1021/jo0006425,,25
3α,4.1,43,tensiometry,38.3,4.51,37,2.68,2.11,1.96,O[C@H]([C@@H](CO)O[C@@H]([N+]1=CC=C(CCCCCCCCCCCC)C=C1)[C@@H]2O)[C@@H]2O.[Br-],10.1021/jo0006425,,25
3α,0.4,,tensiometry,66.1,1.49,111,,,,O[C@H]([C@@H](CO)O[C@@H]([N+]1=CC=C(CCCCCCCCCCCC)C=C1)[C@@H]2O)[C@@H]2O.[Br-],10.1021/jo0006425,,25
3β,5.2,69,tensiometry,39.9,3.31,50,2.67,2.12,2.44,O[C@H]([C@@H](CO)O[C@H](C[N+]1=CC=C(CCCCCCCCCCCC)C=C1)[C@@H]2O)[C@@H]2O.[Br-],10.1021/jo0006425,,25
3β,0.33,,tensiometry,66.7,1.15,145,,,,O[C@H]([C@@H](CO)O[C@H](C[N+]1=CC=C(CCCCCCCCCCCC)C=C1)[C@@H]2O)[C@@H]2O.[Br-],10.1021/jo0006425,,25
4,4.7,77,tensiometry,39.7,2.94,56,2.72,1.9,2.45,CCCCCCCCCCCCC1=CC=[N+](C)C=C1.[Br-],10.1021/jo0006425,,25
4,,,tensiometry,,,,,,,CCCCCCCCCCCCC1=CC=[N+](C)C=C1.[Br-],10.1021/jo0006425,,25
5,8.8,74,tensiometry,40.7,2.43,68,2.5,3.15,2.79,CC1=CC=[N+](CCCCCCCCCCCC)C=C1.[Br-],10.1021/jo0006425,,25
5,0.32,,tensiometry,64.5,1.67,100,,,,CC1=CC=[N+](CCCCCCCCCCCC)C=C1.[Br-],10.1021/jo0006425,,25
6,4.3,57,tensiometry,42.3,1.96,85,2.83,1.48,2.88,CC1=CC=[N+](CCCCCCCCCCCC)C2=C1C=CC=C2.[Br-],10.1021/jo0006425,,25
6,0.1,,tensiometry,65.4,0.61,271,,,,CC1=CC=[N+](CCCCCCCCCCCC)C2=C1C=CC=C2.[Br-],10.1021/jo0006425,,25
6,0.019,,tensiometry,68.5,0.31,541,,,,CC1=CC=[N+](CCCCCCCCCCCC)C2=C1C=CC=C2.[Br-],10.1021/jo0006425,,25
7,5.5,74,tensiometry,34.9,2.69,62,2.84,1.44,3.86,C[N+](C)(CCCCCCCCCCCC)CC1=CC=CC=C1.[Br-],10.1021/jo0006425,,25
7,0.25,,tensiometry,65,1.4,118,,,,C[N+](C)(CCCCCCCCCCCC)CC1=CC=CC=C1.[Br-],10.1021/jo0006425,,25
