identifier,AW_ST_CMC,Temp_Celsius,source_doi,reference_doi,SMILES,Molecular_Weight,InChI
C6H13[(OC2H4)6OH],32.0,25.0,10.1081/DIS-200054572,,CCCCCCOCCOCCOCCOCCOCCOCCO,366.4950000000002,"InChI=1S/C18H38O7/c1-2-3-4-5-7-20-9-11-22-13-15-24-17-18-25-16-14-23-12-10-21-8-6-19/h19H,2-18H2,1H3"
C10H21[(OC2H4)6OH],30.0,25.0,10.1081/DIS-200054572,,CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,422.60300000000035,"InChI=1S/C22H46O7/c1-2-3-4-5-6-7-8-9-11-24-13-15-26-17-19-28-21-22-29-20-18-27-16-14-25-12-10-23/h23H,2-22H2,1H3"
C10H21[(OC2H4)8OH],35.6,25.0,10.1081/DIS-200054572,,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,510.7090000000006,"InChI=1S/C26H54O9/c1-2-3-4-5-6-7-8-9-11-28-13-15-30-17-19-32-21-23-34-25-26-35-24-22-33-20-18-31-16-14-29-12-10-27/h27H,2-26H2,1H3"
C12H25[(OC2H4)3OH],27.9,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCOCCOCCOCCO,318.49800000000005,"InChI=1S/C18H38O4/c1-2-3-4-5-6-7-8-9-10-11-13-20-15-17-22-18-16-21-14-12-19/h19H,2-18H2,1H3"
C12H25[(OC2H4)4OH],28.6,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCOCCOCCOCCOCCO,362.55100000000016,"InChI=1S/C20H42O5/c1-2-3-4-5-6-7-8-9-10-11-13-22-15-17-24-19-20-25-18-16-23-14-12-21/h21H,2-20H2,1H3"
C12H25[(OC2H4)5OH],30.5,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCOCCOCCOCCOCCOCCO,406.60400000000027,"InChI=1S/C22H46O6/c1-2-3-4-5-6-7-8-9-10-11-13-24-15-17-26-19-21-28-22-20-27-18-16-25-14-12-23/h23H,2-22H2,1H3"
C12H25[(OC2H4)6OH],31.0,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,450.6570000000004,"InChI=1S/C24H50O7/c1-2-3-4-5-6-7-8-9-10-11-13-26-15-17-28-19-21-30-23-24-31-22-20-29-18-16-27-14-12-25/h25H,2-24H2,1H3"
C12H25[(OC2H4)7OH],33.7,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,494.7100000000005,"InChI=1S/C26H54O8/c1-2-3-4-5-6-7-8-9-10-11-13-28-15-17-30-19-21-32-23-25-34-26-24-33-22-20-31-18-16-29-14-12-27/h27H,2-26H2,1H3"
C12H25[(OC2H4)8OH],34.8,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,538.7630000000006,"InChI=1S/C28H58O9/c1-2-3-4-5-6-7-8-9-10-11-13-30-15-17-32-19-21-34-23-25-36-27-28-37-26-24-35-22-20-33-18-16-31-14-12-29/h29H,2-28H2,1H3"
C12H25[(OC2H4)9OH],36.0,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,582.8160000000005,"InChI=1S/C30H62O10/c1-2-3-4-5-6-7-8-9-10-11-13-32-15-17-34-19-21-36-23-25-38-27-29-40-30-28-39-26-24-37-22-20-35-18-16-33-14-12-31/h31H,2-30H2,1H3"
C12H25[(OC2H4)12OH],40.0,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,714.9750000000001,"InChI=1S/C36H74O13/c1-2-3-4-5-6-7-8-9-10-11-13-38-15-17-40-19-21-42-23-25-44-27-29-46-31-33-48-35-36-49-34-32-47-30-28-45-26-24-43-22-20-41-18-16-39-14-12-37/h37H,2-36H2,1H3"
C13H27[(OC2H4)8OH],35.3,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,552.7900000000005,"InChI=1S/C29H60O9/c1-2-3-4-5-6-7-8-9-10-11-12-14-31-16-18-33-20-22-35-24-26-37-28-29-38-27-25-36-23-21-34-19-17-32-15-13-30/h30H,2-29H2,1H3"
C14H29[(OC2H4)8OH],34.0,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,566.8170000000005,"InChI=1S/C30H62O9/c1-2-3-4-5-6-7-8-9-10-11-12-13-15-32-17-19-34-21-23-36-25-27-38-29-30-39-28-26-37-24-22-35-20-18-33-16-14-31/h31H,2-30H2,1H3"
C15H31[(OC2H4)8OH],34.6,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,580.8440000000004,"InChI=1S/C31H64O9/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-33-18-20-35-22-24-37-26-28-39-30-31-40-29-27-38-25-23-36-21-19-34-17-15-32/h32H,2-31H2,1H3"
C16H33[(OC2H4)6OH],32.0,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,506.7650000000005,"InChI=1S/C28H58O7/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-30-19-21-32-23-25-34-27-28-35-26-24-33-22-20-31-18-16-29/h29H,2-28H2,1H3"
