Structure (Tail [Head]),NO, DHf/  kJ.mol-1 ,KH0  ,γobs.0/ mN.m-1,  γcal.0/  mN.m-1,source,Temp_Celsius,source_doi,reference_doi,method
C6H13[(OC2H4)6OH],7,21299.0,4.54,32.0,31.5,rosen1989,25.0,10.1081/DIS-200054572,,
C10H21[(OC2H4)6OH],7,21320.0,7.36,30.0,30.7,rosen1989,25.0,10.1081/DIS-200054572,,
C10H21[(OC2H4)8OH],9,21714.0,7.36,35.6,35.2,rosen1989,25.0,10.1081/DIS-200054572,,
C12H25[(OC2H4)3OH],4,2950.8,8.78,27.9,27.5,rosen1989,25.0,10.1081/DIS-200054572,,
C12H25[(OC2H4)4OH],5,21112.0,8.78,28.6,28.9,rosen1989,25.0,10.1081/DIS-200054572,,
C12H25[(OC2H4)5OH],6,21274.0,8.78,30.5,30.5,rosen1989,25.0,10.1081/DIS-200054572,,
C12H25[(OC2H4)6OH],7,21436.0,8.78,31.0,31.9,rosen1989,25.0,10.1081/DIS-200054572,,
C12H25[(OC2H4)7OH],8,21597.0,8.78,33.7,33.5,rosen1989,25.0,10.1081/DIS-200054572,,
C12H25[(OC2H4)8OH],9,21759.0,8.78,34.8,34.9,rosen1989,25.0,10.1081/DIS-200054572,,
C12H25[(OC2H4)9OH],10,21921.0,8.78,36.0,36.4,measured,25.0,10.1081/DIS-200054572,,
C12H25[(OC2H4)12OH],13,22413.0,8.78,40.0,40.1,measured,25.0,10.1081/DIS-200054572,,
C13H27[(OC2H4)8OH],9,21782.0,9.49,35.3,34.9,rosen1989,25.0,10.1081/DIS-200054572,,
C14H29[(OC2H4)8OH],9,21804.0,10.19,34.0,34.7,rosen1989,25.0,10.1081/DIS-200054572,,
C15H31[(OC2H4)8OH],9,21827.0,10.9,34.6,34.6,rosen1989,25.0,10.1081/DIS-200054572,,
C16H33[(OC2H4)6OH],7,21527.0,11.61,32.0,32.3,rosen1989,25.0,10.1081/DIS-200054572,,
C16H33[(OC2H4)7OH],8,21688.0,11.61,33.0,33.3,rosen1989,25.0,10.1081/DIS-200054572,,
C16H33[(OC2H4)9OH],10,22012.0,11.61,35.8,35.6,rosen1989,25.0,10.1081/DIS-200054572,,
C16H33[(OC2H4)12OH],13,22504.0,11.61,38.9,39.0,rosen1989,25.0,10.1081/DIS-200054572,,
p-t-C8H17C6H4[(OC2H4)7OH],8,21396.0,10.02,30.0,30.3,rosen1989,25.0,10.1081/DIS-200054572,,
p-t-C8H17C6H4[(OC2H4)8OH],9,21558.0,10.02,32.0,31.8,rosen1989,25.0,10.1081/DIS-200054572,,
p-t-C8H17C6H4[(OC2H4)9OH],10,21720.0,10.02,33.5,33.1,rosen1989,25.0,10.1081/DIS-200054572,,
p-t-C8H17C6H4[(OC2H4)10OH],11,21881.0,10.02,35.0,34.4,rosen1989,25.0,10.1081/DIS-200054572,,
C12H25[(OC2H4)3(OC3H6)6OH],10,21689.0,8.78,33.5,33.5,measured,25.0,10.1081/DIS-200054572,,
C12H25[(OC2H4)4(OC3H6)5OH],10,21657.0,8.78,32.2,33.1,measured,25.0,10.1081/DIS-200054572,,
C12H25[(OC2H4)5(OC3H6)4OH],10,21633.0,8.78,32.1,32.8,measured,25.0,10.1081/DIS-200054572,,
C8H17[CHOHCH2OH],2,2585.9,5.95,23.4,22.8,rosen1989,25.0,10.1081/DIS-200054572,,
C8H17[CHOHCH2CH2OH],2,2605.9,5.95,23.6,23.4,rosen1989,25.0,10.1081/DIS-200054572,,
C10H21[CHOHCH2OH],2,2631.3,7.36,22.7,23.6,rosen1989,25.0,10.1081/DIS-200054572,,
C10H21[CHOHCH2CH2OH],2,2650.6,7.36,23.7,24.1,rosen1989,25.0,10.1081/DIS-200054572,,
C12H25[CHOHCH2CH2OH],2,2696.1,8.78,26.5,25.4,rosen1989,25.0,10.1081/DIS-200054572,,
