Surfactant,CMC mM/l,method,γcmc mN/m,Γcmc mmol/ m2,Acmc nm2/molecule,I1/I3,Temp_Celsius,source_doi,reference_doi,SMILES
AA12DB,8.84,tensiometry,39.48,2.93,0.56,,25,10.1080/01932690701688458,,C=CC[N+](C)(C)CCCCCCCCCCCC.[Br-]
AA16DB,0.64,tensiometry,34,2.64,0.63,,25,10.1080/01932690701688458,,C=CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-]
AA18DB,0.19,tensiometry,33.17,1.44,1.14,,25,10.1080/01932690701688458,,C=CC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-]
C12H25(CH3)3Brc,5,tensiometry,42,2.93,0.57,,25,10.1080/01932690701688458,10.1016/S0927-7757(01)01106-2,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
C12H25(CH3)3Brc,,tensiometry,,,,,25,10.1080/01932690701688458,10.1021/jp9506494,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
AA12DB,9.85,fluorimetry,,,,1.15,25,10.1080/01932690701688458,,C=CC[N+](C)(C)CCCCCCCCCCCC.[Br-]
AA16DB,0.25,fluorimetry,,,,1.16,25,10.1080/01932690701688458,,C=CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-]
AA18DB,0.15,fluorimetry,,,,1.16,25,10.1080/01932690701688458,,C=CC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-]
C12H25(CH3)3Brc,,fluorimetry,,,,1.42,25,10.1080/01932690701688458,10.1016/S0927-7757(01)01106-2,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
C12H25(CH3)3Brc,,fluorimetry,,,,1.42,25,10.1080/01932690701688458,10.1021/jp9506494,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
