identifier,method,Temp_Celsius,AW_ST_CMC,Pi_CMC,source_doi,reference_doi,SMILES,CMC,pCMC,Molecular_Weight,InChI
C12mimBF4,tensiometry,25,28.4,43.0,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.00347,2.4596705252091264,338.24199999999996,"InChI=1S/C16H31N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;2-1(3,4)5/h14-16H,3-13H2,1-2H3;/q+1;-1"
C14mimBF4,tensiometry,25,28.1,43.8,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.00124,2.906578314837765,366.29599999999994,"InChI=1S/C18H35N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;2-1(3,4)5/h16-18H,3-15H2,1-2H3;/q+1;-1"
C16mimBF4,tensiometry,25,35.4,36.8,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,7.5e-05,4.1249387366083,394.3499999999999,"InChI=1S/C20H39N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;2-1(3,4)5/h18-20H,3-17H2,1-2H3;/q+1;-1"
C12mimCl,tensiometry,25,38.7,33.6,10.1021/je400861g,10.1016/j.jcis.2009.03.017,CCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],,,286.89099999999996,"InChI=1S/C16H31N2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;/h14-16H,3-13H2,1-2H3;1H/q+1;/p-1"
C12mimCl,tensiometry,25,,,10.1021/je400861g,10.1039/b615406a,CCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],,,286.89099999999996,"InChI=1S/C16H31N2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;/h14-16H,3-13H2,1-2H3;1H/q+1;/p-1"
C14mimCl,tensiometry,25,,,10.1021/je400861g,10.1039/b615406a,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],,,314.94499999999994,"InChI=1S/C18H35N2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;/h16-18H,3-15H2,1-2H3;1H/q+1;/p-1"
C14mimCl,tensiometry,25,37.5,34.3,10.1021/je400861g,10.1016/j.jcis.2009.03.017,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],,,314.94499999999994,"InChI=1S/C18H35N2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;/h16-18H,3-15H2,1-2H3;1H/q+1;/p-1"
C16mimCl,tensiometry,25,,,10.1021/je400861g,10.1021/ar700068x,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],,,342.9989999999999,"InChI=1S/C20H39N2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;/h18-20H,3-17H2,1-2H3;1H/q+1;/p-1"
C16mimCl,tensiometry,25,37.0,34.8,10.1021/je400861g,10.1016/j.jcis.2009.03.017,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],,,342.9989999999999,"InChI=1S/C20H39N2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;/h18-20H,3-17H2,1-2H3;1H/q+1;/p-1"
C12mimBr,tensiometry,25,,,10.1021/je400861g,10.1021/je900290w,CCCCCCCCCCCCn1cc[n+](C)c1.[Br-],,,331.342,"InChI=1S/C16H31N2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;/h14-16H,3-13H2,1-2H3;1H/q+1;/p-1"
C12mimBr,tensiometry,25,39.4,33.6,10.1021/je400861g,10.1016/j.colsurfa.2006.11.049,CCCCCCCCCCCCn1cc[n+](C)c1.[Br-],,,331.342,"InChI=1S/C16H31N2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;/h14-16H,3-13H2,1-2H3;1H/q+1;/p-1"
C14mimBr,tensiometry,25,,,10.1021/je400861g,10.1021/je900290w,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],,,359.39599999999996,"InChI=1S/C18H35N2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;/h16-18H,3-15H2,1-2H3;1H/q+1;/p-1"
C14mimBr,tensiometry,25,39.2,33.8,10.1021/je400861g,10.1016/j.colsurfa.2006.11.049,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],,,359.39599999999996,"InChI=1S/C18H35N2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;/h16-18H,3-15H2,1-2H3;1H/q+1;/p-1"
C16mimBr,tensiometry,25,,,10.1021/je400861g,10.1021/je900290w,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],,,387.44999999999993,"InChI=1S/C20H39N2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;/h18-20H,3-17H2,1-2H3;1H/q+1;/p-1"
C16mimBr,tensiometry,25,39.1,33.9,10.1021/je400861g,10.1016/j.colsurfa.2006.11.049,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],,,387.44999999999993,"InChI=1S/C20H39N2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;/h18-20H,3-17H2,1-2H3;1H/q+1;/p-1"
C12mimBF4,tensiometry,30,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,,,338.24199999999996,"InChI=1S/C16H31N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;2-1(3,4)5/h14-16H,3-13H2,1-2H3;/q+1;-1"
C12mimBF4,tensiometry,35,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,,,338.24199999999996,"InChI=1S/C16H31N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;2-1(3,4)5/h14-16H,3-13H2,1-2H3;/q+1;-1"
C12mimBF4,tensiometry,40,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,,,338.24199999999996,"InChI=1S/C16H31N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;2-1(3,4)5/h14-16H,3-13H2,1-2H3;/q+1;-1"
C14mimBF4,tensiometry,30,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,,,366.29599999999994,"InChI=1S/C18H35N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;2-1(3,4)5/h16-18H,3-15H2,1-2H3;/q+1;-1"
C14mimBF4,tensiometry,35,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,,,366.29599999999994,"InChI=1S/C18H35N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;2-1(3,4)5/h16-18H,3-15H2,1-2H3;/q+1;-1"
C14mimBF4,tensiometry,40,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,,,366.29599999999994,"InChI=1S/C18H35N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;2-1(3,4)5/h16-18H,3-15H2,1-2H3;/q+1;-1"
C16mimBF4,tensiometry,30,,,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,,,394.3499999999999,"InChI=1S/C20H39N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;2-1(3,4)5/h18-20H,3-17H2,1-2H3;/q+1;-1"
C16mimBF4,tensiometry,35,,,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,,,394.3499999999999,"InChI=1S/C20H39N2.BF4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;2-1(3,4)5/h18-20H,3-17H2,1-2H3;/q+1;-1"
