ILs,CMC mmol/kg,method,Temp_Celsius,γCMC/ mN/m,∏CMC/ mN/m,source_doi,reference_doi,SMILES
C12mimBF4,3.47,tensiometry,25,28.4,43,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C14mimBF4,1.24,tensiometry,25,28.1,43.8,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C16mimBF4,0.075,tensiometry,25,35.4,36.8,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C12mimCl,,tensiometry,25,38.7,33.6,10.1021/je400861g,10.1016/j.jcis.2009.03.017,CCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
C12mimCl,,tensiometry,25,,,10.1021/je400861g,10.1039/b615406a,CCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
C14mimCl,,tensiometry,25,,,10.1021/je400861g,10.1039/b615406a,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
C14mimCl,,tensiometry,25,37.5,34.3,10.1021/je400861g,10.1016/j.jcis.2009.03.017,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
C16mimCl,,tensiometry,25,,,10.1021/je400861g,10.1021/ar700068x,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
C16mimCl,,tensiometry,25,37,34.8,10.1021/je400861g,10.1016/j.jcis.2009.03.017,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
C12mimBr,,tensiometry,25,,,10.1021/je400861g,10.1021/je900290w,CCCCCCCCCCCCn1cc[n+](C)c1.[Br-]
C12mimBr,,tensiometry,25,39.4,33.6,10.1021/je400861g,10.1016/j.colsurfa.2006.11.049,CCCCCCCCCCCCn1cc[n+](C)c1.[Br-]
C14mimBr,,tensiometry,25,,,10.1021/je400861g,10.1021/je900290w,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-]
C14mimBr,,tensiometry,25,39.2,33.8,10.1021/je400861g,10.1016/j.colsurfa.2006.11.049,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-]
C16mimBr,,tensiometry,25,,,10.1021/je400861g,10.1021/je900290w,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-]
C16mimBr,,tensiometry,25,39.1,33.9,10.1021/je400861g,10.1016/j.colsurfa.2006.11.049,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-]
C12mimBF4,,tensiometry,30,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C12mimBF4,,tensiometry,35,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C12mimBF4,,tensiometry,40,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C14mimBF4,,tensiometry,30,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C14mimBF4,,tensiometry,35,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C14mimBF4,,tensiometry,40,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C16mimBF4,,tensiometry,30,,,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C16mimBF4,,tensiometry,35,,,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C16mimBF4,,tensiometry,40,,,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C12mimBF4,3.58,conductometry,25,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C14mimBF4,1.03,conductometry,25,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C16mimBF4,0.121,conductometry,25,,,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C12mimCl,,conductometry,25,,,10.1021/je400861g,10.1016/j.jcis.2009.03.017,CCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
C12mimCl,15,conductometry,25,,,10.1021/je400861g,10.1039/b615406a,CCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
C14mimCl,4,conductometry,25,,,10.1021/je400861g,10.1039/b615406a,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
C14mimCl,,conductometry,25,,,10.1021/je400861g,10.1016/j.jcis.2009.03.017,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
C16mimCl,0.87,conductometry,25,,,10.1021/je400861g,10.1021/ar700068x,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
C16mimCl,,conductometry,25,,,10.1021/je400861g,10.1016/j.jcis.2009.03.017,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
C12mimBr,9.68,conductometry,25,,,10.1021/je400861g,10.1021/je900290w,CCCCCCCCCCCCn1cc[n+](C)c1.[Br-]
C12mimBr,,conductometry,25,,,10.1021/je400861g,10.1016/j.colsurfa.2006.11.049,CCCCCCCCCCCCn1cc[n+](C)c1.[Br-]
C14mimBr,2.69,conductometry,25,,,10.1021/je400861g,10.1021/je900290w,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-]
C14mimBr,,conductometry,25,,,10.1021/je400861g,10.1016/j.colsurfa.2006.11.049,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-]
C16mimBr,0.51,conductometry,25,,,10.1021/je400861g,10.1021/je900290w,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-]
C16mimBr,,conductometry,25,,,10.1021/je400861g,10.1016/j.colsurfa.2006.11.049,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-]
C12mimBF4,3.75,conductometry,30,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C12mimBF4,4.22,conductometry,35,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C12mimBF4,4.39,conductometry,40,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C14mimBF4,1.27,conductometry,30,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C14mimBF4,1.81,conductometry,35,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C14mimBF4,2.22,conductometry,40,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C16mimBF4,0.156,conductometry,30,,,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C16mimBF4,0.176,conductometry,35,,,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C16mimBF4,0.129,conductometry,40,,,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C12mimBF4,3.61,fluorimetry,25,,,10.1021/je400861g,,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C14mimBF4,0.858,fluorimetry,25,,,10.1021/je400861g,,CCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
C16mimBF4,0.073,fluorimetry,25,,,10.1021/je400861g,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
