identifier,AW_ST_CMC,Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,method,CMC,Gamma_max,pCMC,Molecular_Weight,InChI
C10qbdenG(–0.5),27.1,0.683,25,10.5650/jos.62.213,,CCCCCCCCCC[N+](C)(C)CCN(CCC(=O)OC)CCC(=O)OC.[Br-],tensiometry,0.00126,2.43e-06,2.899629454882437,481.5160000000002,"InChI=1S/C22H45N2O4.BrH/c1-6-7-8-9-10-11-12-13-19-24(2,3)20-18-23(16-14-21(25)27-4)17-15-22(26)28-5;/h6-20H2,1-5H3;1H/q+1;/p-1"
C14qbdenG(–0.5),27.8,0.466,25,10.5650/jos.62.213,,CCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)OC)CCC(=O)OC.[Br-],tensiometry,7.92e-05,3.5600000000000002e-06,4.101274818410507,537.6240000000003,"InChI=1S/C26H53N2O4.BrH/c1-6-7-8-9-10-11-12-13-14-15-16-17-23-28(2,3)24-22-27(20-18-25(29)31-4)21-19-26(30)32-5;/h6-24H2,1-5H3;1H/q+1;/p-1"
C18qbdenG(–0.5),38.2,0.77,25,10.5650/jos.62.213,,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)OC)CCC(=O)OC.[Br-],tensiometry,5.0099999999999995e-06,2.16e-06,5.300162274132754,593.7320000000003,"InChI=1S/C30H61N2O4.BrH/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-27-32(2,3)28-26-31(24-22-29(33)35-4)25-23-30(34)36-5;/h6-28H2,1-5H3;1H/q+1;/p-1"
C10qbdenG0.5,31.7,1.13,25,10.5650/jos.62.213,,CCCCCCCCCC[N+](C)(C)CCN(CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC)CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC.[Br-],tensiometry,0.00272,1.46e-06,2.5654310959658013,881.9919999999997,"InChI=1S/C40H76N6O10.BrH/c1-8-9-10-11-12-13-14-15-33-46(2,3)34-32-45(24-16-35(47)41-22-30-43(26-18-37(49)53-4)27-19-38(50)54-5)25-17-36(48)42-23-31-44(28-20-39(51)55-6)29-21-40(52)56-7;/h8-34H2,1-7H3,(H-,41,42,47,48);1H"
C14qbdenG0.5,32.0,0.672,25,10.5650/jos.62.213,,CCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC)CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC.[Br-],tensiometry,9.3e-05,2.47e-06,4.031517051446065,938.0999999999998,"InChI=1S/C44H84N6O10.BrH/c1-8-9-10-11-12-13-14-15-16-17-18-19-37-50(2,3)38-36-49(28-20-39(51)45-26-34-47(30-22-41(53)57-4)31-23-42(54)58-5)29-21-40(52)46-27-35-48(32-24-43(55)59-6)33-25-44(56)60-7;/h8-38H2,1-7H3,(H-,45,46,51,52);1H"
C18qbdenG0.5,41.2,1.58,25,10.5650/jos.62.213,,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC)CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC.[Br-],tensiometry,3.2800000000000004e-05,1.0500000000000001e-06,4.484126156288321,994.2079999999995,"InChI=1S/C48H92N6O10.BrH/c1-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-41-54(2,3)42-40-53(32-24-43(55)49-30-38-51(34-26-45(57)61-4)35-27-46(58)62-5)33-25-44(56)50-31-39-52(36-28-47(59)63-6)37-29-48(60)64-7;/h8-42H2,1-7H3,(H-,49,50,55,56);1H"
C10qbdenG1.5,31.9,1.92,25,10.5650/jos.62.213,,CCCCCCCCCC[N+](C)(C)CCN(CCC(=O)NCCN(CCC(=O)NCCC(=O)OC)CCC(=O)NCCC(=O)OC)CCC(=O)NCCN(CCC(=O)NCCC(=O)OC)CCC(=O)NCCC(=O)OC.[Br-],tensiometry,0.00249,8.65e-07,2.6038006529042637,1166.307999999999,"InChI=1S/C52H96N10O14.BrH/c1-8-9-10-11-12-13-14-15-41-62(2,3)42-40-61(36-24-47(67)57-30-38-59(32-20-43(63)53-26-16-49(69)73-4)33-21-44(64)54-27-17-50(70)74-5)37-25-48(68)58-31-39-60(34-22-45(65)55-28-18-51(71)75-6)35-23-46(66)56-29-19-52(72)76-7;/h8-42H2,1-7H3,(H5-,53,54,55,56,57,58,63,64,65,66,67,68);1H"
C14qbdenG1.5,29.6,1.25,25,10.5650/jos.62.213,,CCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)NCCN(CCC(=O)NCCC(=O)OC)CCC(=O)NCCC(=O)OC)CCC(=O)NCCN(CCC(=O)NCCC(=O)OC)CCC(=O)NCCC(=O)OC.[Br-],tensiometry,0.00014199999999999998,1.33e-06,3.8477116556169437,1222.415999999999,"InChI=1S/C56H104N10O14.BrH/c1-8-9-10-11-12-13-14-15-16-17-18-19-45-66(2,3)46-44-65(40-28-51(71)61-34-42-63(36-24-47(67)57-30-20-53(73)77-4)37-25-48(68)58-31-21-54(74)78-5)41-29-52(72)62-35-43-64(38-26-49(69)59-32-22-55(75)79-6)39-27-50(70)60-33-23-56(76)80-7;/h8-46H2,1-7H3,(H5-,57,58,59,60,61,62,67,68,69,70,71,72);1H"
C18qbdenG1.5,43.6,1.79,25,10.5650/jos.62.213,,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)NCCN(CCC(=O)NCCC(=O)OC)CCC(=O)NCCC(=O)OC)CCC(=O)NCCN(CCC(=O)NCCC(=O)OC)CCC(=O)NCCC(=O)OC.[Br-],tensiometry,5.1e-05,9.26e-07,4.292429823902063,1278.5239999999994,"InChI=1S/C60H112N10O14.BrH/c1-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-49-70(2,3)50-48-69(44-32-55(75)65-38-46-67(40-28-51(71)61-34-24-57(77)81-4)41-29-52(72)62-35-25-58(78)82-5)45-33-56(76)66-39-47-68(42-30-53(73)63-36-26-59(79)83-6)43-31-54(74)64-37-27-60(80)84-7;/h8-50H2,1-7H3,(H5-,61,62,63,64,65,66,71,72,73,74,75,76);1H"
C10qbdenG(–0.5),,,25,10.5650/jos.62.213,,CCCCCCCCCC[N+](C)(C)CCN(CCC(=O)OC)CCC(=O)OC.[Br-],conductometry,,,,481.5160000000002,"InChI=1S/C22H45N2O4.BrH/c1-6-7-8-9-10-11-12-13-19-24(2,3)20-18-23(16-14-21(25)27-4)17-15-22(26)28-5;/h6-20H2,1-5H3;1H/q+1;/p-1"
C14qbdenG(–0.5),,,25,10.5650/jos.62.213,,CCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)OC)CCC(=O)OC.[Br-],conductometry,,,,537.6240000000003,"InChI=1S/C26H53N2O4.BrH/c1-6-7-8-9-10-11-12-13-14-15-16-17-23-28(2,3)24-22-27(20-18-25(29)31-4)21-19-26(30)32-5;/h6-24H2,1-5H3;1H/q+1;/p-1"
C18qbdenG(–0.5),,,25,10.5650/jos.62.213,,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)OC)CCC(=O)OC.[Br-],conductometry,,,,593.7320000000003,"InChI=1S/C30H61N2O4.BrH/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-27-32(2,3)28-26-31(24-22-29(33)35-4)25-23-30(34)36-5;/h6-28H2,1-5H3;1H/q+1;/p-1"
C10qbdenG0.5,,,25,10.5650/jos.62.213,,CCCCCCCCCC[N+](C)(C)CCN(CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC)CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC.[Br-],conductometry,,,,881.9919999999997,"InChI=1S/C40H76N6O10.BrH/c1-8-9-10-11-12-13-14-15-33-46(2,3)34-32-45(24-16-35(47)41-22-30-43(26-18-37(49)53-4)27-19-38(50)54-5)25-17-36(48)42-23-31-44(28-20-39(51)55-6)29-21-40(52)56-7;/h8-34H2,1-7H3,(H-,41,42,47,48);1H"
C14qbdenG0.5,,,25,10.5650/jos.62.213,,CCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC)CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC.[Br-],conductometry,,,,938.0999999999998,"InChI=1S/C44H84N6O10.BrH/c1-8-9-10-11-12-13-14-15-16-17-18-19-37-50(2,3)38-36-49(28-20-39(51)45-26-34-47(30-22-41(53)57-4)31-23-42(54)58-5)29-21-40(52)46-27-35-48(32-24-43(55)59-6)33-25-44(56)60-7;/h8-38H2,1-7H3,(H-,45,46,51,52);1H"
