Surfactant,cmc (mmol dm-3),γcmc (mN m-1),106Γ (mol m-2),A (nm2/molecule),α,Temp_Celsius,source_doi,reference_doi,SMILES,method
C10qbdenG(–0.5),1.26,27.1,2.43,0.683,,25,10.5650/jos.62.213,,CCCCCCCCCC[N+](C)(C)CCN(CCC(=O)OC)CCC(=O)OC.[Br-],tensiometry
C14qbdenG(–0.5),0.0792,27.8,3.56,0.466,,25,10.5650/jos.62.213,,CCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)OC)CCC(=O)OC.[Br-],tensiometry
C18qbdenG(–0.5),0.00501,38.2,2.16,0.77,,25,10.5650/jos.62.213,,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)OC)CCC(=O)OC.[Br-],tensiometry
C10qbdenG0.5,2.72,31.7,1.46,1.13,,25,10.5650/jos.62.213,,CCCCCCCCCC[N+](C)(C)CCN(CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC)CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC.[Br-],tensiometry
C14qbdenG0.5,0.093,32,2.47,0.672,,25,10.5650/jos.62.213,,CCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC)CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC.[Br-],tensiometry
C18qbdenG0.5,0.0328,41.2,1.05,1.58,,25,10.5650/jos.62.213,,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC)CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC.[Br-],tensiometry
C10qbdenG1.5,2.49,31.9,0.865,1.92,,25,10.5650/jos.62.213,,CCCCCCCCCC[N+](C)(CCN(CCC(NCCN(CCC(NCCC(OC)=O)=O)CCC(NCCC(OC)=O)=O)=O)CCC(NCCN(CCC(NCCC(OC)=O)=O)CCC(NCCC(OC)=O)=O)=O)C.[Br-],tensiometry
C14qbdenG1.5,0.142,29.6,1.33,1.25,,25,10.5650/jos.62.213,,CCCCCCCCCCCCCC[N+](C)(CCN(CCC(NCCN(CCC(NCCC(OC)=O)=O)CCC(NCCC(OC)=O)=O)=O)CCC(NCCN(CCC(NCCC(OC)=O)=O)CCC(NCCC(OC)=O)=O)=O)C.[Br-],tensiometry
C18qbdenG1.5,0.051,43.6,0.926,1.79,,25,10.5650/jos.62.213,,CCCCCCCCCCCCCCCCCC[N+](C)(CCN(CCC(NCCN(CCC(NCCC(OC)=O)=O)CCC(NCCC(OC)=O)=O)=O)CCC(NCCN(CCC(NCCC(OC)=O)=O)CCC(NCCC(OC)=O)=O)=O)C.[Br-],tensiometry
C10qbdenG(–0.5),,,,,0.751,25,10.5650/jos.62.213,,CCCCCCCCCC[N+](C)(C)CCN(CCC(=O)OC)CCC(=O)OC.[Br-],conductometry
C14qbdenG(–0.5),,,,,0.98,25,10.5650/jos.62.213,,CCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)OC)CCC(=O)OC.[Br-],conductometry
C18qbdenG(–0.5),,,,,0.869,25,10.5650/jos.62.213,,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)OC)CCC(=O)OC.[Br-],conductometry
C10qbdenG0.5,,,,,0.924,25,10.5650/jos.62.213,,CCCCCCCCCC[N+](C)(C)CCN(CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC)CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC.[Br-],conductometry
C14qbdenG0.5,,,,,0.892,25,10.5650/jos.62.213,,CCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC)CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC.[Br-],conductometry
C18qbdenG0.5,,,,,0.86,25,10.5650/jos.62.213,,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCN(CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC)CCC(=O)NCCN(CCC(=O)OC)CCC(=O)OC.[Br-],conductometry
C10qbdenG1.5,,,,,0.928,25,10.5650/jos.62.213,,CCCCCCCCCC[N+](C)(CCN(CCC(NCCN(CCC(NCCC(OC)=O)=O)CCC(NCCC(OC)=O)=O)=O)CCC(NCCN(CCC(NCCC(OC)=O)=O)CCC(NCCC(OC)=O)=O)=O)C.[Br-],conductometry
C14qbdenG1.5,,,,,0.92,25,10.5650/jos.62.213,,CCCCCCCCCCCCCC[N+](C)(CCN(CCC(NCCN(CCC(NCCC(OC)=O)=O)CCC(NCCC(OC)=O)=O)=O)CCC(NCCN(CCC(NCCC(OC)=O)=O)CCC(NCCC(OC)=O)=O)=O)C.[Br-],conductometry
C18qbdenG1.5,,,,,0.972,25,10.5650/jos.62.213,,CCCCCCCCCCCCCCCCCC[N+](C)(CCN(CCC(NCCN(CCC(NCCC(OC)=O)=O)CCC(NCCC(OC)=O)=O)=O)CCC(NCCN(CCC(NCCC(OC)=O)=O)CCC(NCCC(OC)=O)=O)=O)C.[Br-],conductometry
