surfactant,I1/I/3,CMC (mM),CMC (g/100mL),α,Temp_Celsius,source_doi,reference_doi,SMILES,method
DTAB,,15,0.463,0.26,25,10.1021/la00010a018,,CCCCCCCCCCCC[N+](C)(C)C.[Br-],conductometry
DTAC,,22,0.581,0.34,25,10.1021/la00010a018,,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],conductometry
12-2-12 2Br-,,0.84,0.0518,0.22,25,10.1021/la00010a018,,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],conductometry
12-3-12 2Br-,,0.96,0.0603,0.22,25,10.1021/la00010a018,,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],conductometry
12-3-12 2Cl-,,1.85,0.1,0.33,25,10.1021/la00010a018,,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],conductometry
12-3-12-3-12 3Br-,,0.16,0.0152,0.24,25,10.1021/la00010a018,,CCCCCCCCCCCC[N+](C)(CCC[N+](C)(C)CCCCCCCCCCCC)(CCC[N+](C)(C)CCCCCCCCCCCC).[Br-].[Br-].[Br-],conductometry
12-3-12-3-12 3Cl-,,0.33,0.0269,0.34,25,10.1021/la00010a018,,CCCCCCCCCCCC[N+](C)(CCC[N+](C)(C)CCCCCCCCCCCC)(CCC[N+](C)(C)CCCCCCCCCCCC).[Cl-].[Cl-].[Cl-],conductometry
DTAB,1.42,,,,25,10.1021/la00010a018,,CCCCCCCCCCCC[N+](C)(C)C.[Br-],fluorimetry
DTAC,1.43,,,,25,10.1021/la00010a018,,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],fluorimetry
12-2-12 2Br-,1.28,,,,25,10.1021/la00010a018,,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],fluorimetry
12-3-12 2Br-,1.5,,,,25,10.1021/la00010a018,,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],fluorimetry
12-3-12 2Cl-,1.59,,,,25,10.1021/la00010a018,,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],fluorimetry
12-3-12-3-12 3Br-,1.44,,,,25,10.1021/la00010a018,,CCCCCCCCCCCC[N+](C)(CCC[N+](C)(C)CCCCCCCCCCCC)(CCC[N+](C)(C)CCCCCCCCCCCC).[Br-].[Br-].[Br-],fluorimetry
12-3-12-3-12 3Cl-,1.48,,,,25,10.1021/la00010a018,,CCCCCCCCCCCC[N+](C)(CCC[N+](C)(C)CCCCCCCCCCCC)(CCC[N+](C)(C)CCCCCCCCCCCC).[Cl-].[Cl-].[Cl-],fluorimetry
