identifier,CMC,method,AW_ST_CMC,C20,Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,Gamma_max,pCMC,pC20,Molecular_Weight,InChI
C10,0.00672,tensiometry,45.62,0.00252,1.23,25,10.1021/la3011212,,CCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCC.[Cl-].[Cl-],1.35e-06,2.1726307269461747,2.598599459218456,639.8820000000002,"InChI=1S/C34H70N4O2.2ClH/c1-7-13-15-17-19-21-23-25-29-37(9-3,10-4)31-33(39)35-27-28-36-34(40)32-38(11-5,12-6)30-26-24-22-20-18-16-14-8-2;;/h7-32H2,1-6H3;2*1H"
C12,0.00105,tensiometry,46.13,0.0004,1.32,25,10.1021/la3011212,,CCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCC.[Cl-].[Cl-],1.26e-06,2.978810700930062,3.3979400086720375,695.9899999999999,"InChI=1S/C38H78N4O2.2ClH/c1-7-13-15-17-19-21-23-25-27-29-33-41(9-3,10-4)35-37(43)39-31-32-40-38(44)36-42(11-5,12-6)34-30-28-26-24-22-20-18-16-14-8-2;;/h7-36H2,1-6H3;2*1H"
C14,0.00019,tensiometry,47.21,6.73e-05,1.75,25,10.1021/la3011212,,CCCCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCC.[Cl-].[Cl-],9.499999999999999e-07,3.721246399047171,4.171984935776023,752.0979999999996,"InChI=1S/C42H86N4O2.2ClH/c1-7-13-15-17-19-21-23-25-27-29-31-33-37-45(9-3,10-4)39-41(47)43-35-36-44-42(48)40-46(11-5,12-6)38-34-32-30-28-26-24-22-20-18-16-14-8-2;;/h7-40H2,1-6H3;2*1H"
C16,3.8e-05,tensiometry,52.22,4.42e-05,2.35,25,10.1021/la3011212,,CCCCCCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],7.1e-07,4.42021640338319,4.354577730650908,808.2059999999992,"InChI=1S/C46H94N4O2.2ClH/c1-7-13-15-17-19-21-23-25-27-29-31-33-35-37-41-49(9-3,10-4)43-45(51)47-39-40-48-46(52)44-50(11-5,12-6)42-38-36-34-32-30-28-26-24-22-20-18-16-14-8-2;;/h7-44H2,1-6H3;2*1H"
C10,0.00707,conductometry,,,,25,10.1021/la3011212,,CCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCC.[Cl-].[Cl-],,2.1505805862031004,,639.8820000000002,"InChI=1S/C34H70N4O2.2ClH/c1-7-13-15-17-19-21-23-25-29-37(9-3,10-4)31-33(39)35-27-28-36-34(40)32-38(11-5,12-6)30-26-24-22-20-18-16-14-8-2;;/h7-32H2,1-6H3;2*1H"
C12,0.00103,conductometry,,,,25,10.1021/la3011212,,CCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCC.[Cl-].[Cl-],,2.9871627752948275,,695.9899999999999,"InChI=1S/C38H78N4O2.2ClH/c1-7-13-15-17-19-21-23-25-27-29-33-41(9-3,10-4)35-37(43)39-31-32-40-38(44)36-42(11-5,12-6)34-30-28-26-24-22-20-18-16-14-8-2;;/h7-36H2,1-6H3;2*1H"
C14,0.000215,conductometry,,,,25,10.1021/la3011212,,CCCCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCC.[Cl-].[Cl-],,3.6675615400843946,,752.0979999999996,"InChI=1S/C42H86N4O2.2ClH/c1-7-13-15-17-19-21-23-25-27-29-31-33-37-45(9-3,10-4)39-41(47)43-35-36-44-42(48)40-46(11-5,12-6)38-34-32-30-28-26-24-22-20-18-16-14-8-2;;/h7-40H2,1-6H3;2*1H"
C16,4.75e-05,conductometry,,,,25,10.1021/la3011212,,CCCCCCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],,4.323306390375134,,808.2059999999992,"InChI=1S/C46H94N4O2.2ClH/c1-7-13-15-17-19-21-23-25-27-29-31-33-35-37-41-49(9-3,10-4)43-45(51)47-39-40-48-46(52)44-50(11-5,12-6)42-38-36-34-32-30-28-26-24-22-20-18-16-14-8-2;;/h7-44H2,1-6H3;2*1H"
C10,,conductometry,,,,20,10.1021/la3011212,,CCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCC.[Cl-].[Cl-],,,,639.8820000000002,"InChI=1S/C34H70N4O2.2ClH/c1-7-13-15-17-19-21-23-25-29-37(9-3,10-4)31-33(39)35-27-28-36-34(40)32-38(11-5,12-6)30-26-24-22-20-18-16-14-8-2;;/h7-32H2,1-6H3;2*1H"
C12,,conductometry,,,,20,10.1021/la3011212,,CCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCC.[Cl-].[Cl-],,,,695.9899999999999,"InChI=1S/C38H78N4O2.2ClH/c1-7-13-15-17-19-21-23-25-27-29-33-41(9-3,10-4)35-37(43)39-31-32-40-38(44)36-42(11-5,12-6)34-30-28-26-24-22-20-18-16-14-8-2;;/h7-36H2,1-6H3;2*1H"
C14,,conductometry,,,,20,10.1021/la3011212,,CCCCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCC.[Cl-].[Cl-],,,,752.0979999999996,"InChI=1S/C42H86N4O2.2ClH/c1-7-13-15-17-19-21-23-25-27-29-31-33-37-45(9-3,10-4)39-41(47)43-35-36-44-42(48)40-46(11-5,12-6)38-34-32-30-28-26-24-22-20-18-16-14-8-2;;/h7-40H2,1-6H3;2*1H"
C16,,conductometry,,,,20,10.1021/la3011212,,CCCCCCCCCCCCCCCC[N+](CC)(CC)CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],,,,808.2059999999992,"InChI=1S/C46H94N4O2.2ClH/c1-7-13-15-17-19-21-23-25-27-29-31-33-35-37-41-49(9-3,10-4)43-45(51)47-39-40-48-46(52)44-50(11-5,12-6)42-38-36-34-32-30-28-26-24-22-20-18-16-14-8-2;;/h7-44H2,1-6H3;2*1H"
