ratio_SLG,CMC (mmol/L),γCMC,Amin,Aideal min,Γmax,Temp_Celsius,SMILES,∏CMC (mN/m),DG0m (kJ/mol),DG0 ads (kJ/mol),source_doi,reference_doi
0,3.0221,21.8,0.765,0.765,2.17,25,[Cl-].CCCCCCCCCCCC[N+](C)(C)C,50.2,-14.4,-37.5,10.1080/01932691.2021.1929289,
1,0.2214,20.6,0.686,0.743,2.42,25,CCCCCCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)[O-].[Na+],51.4,-20.9,-42.1,10.1080/01932691.2021.1929289,
2,0.1704,19.2,0.629,0.721,2.64,25,[Cl-].CCCCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)[O-].[Na+],52.8,-21.5,-41.5,10.1080/01932691.2021.1929289,
3,0.1659,18.7,0.597,0.698,2.78,25,[Cl-].CCCCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)[O-].[Na+],53.3,-21.6,-40.7,10.1080/01932691.2021.1929289,
4,0.1517,18.4,0.532,0.676,3.12,25,[Cl-].CCCCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)[O-].[Na+],53.6,-21.8,-39.0,10.1080/01932691.2021.1929289,
5,0.1312,17.5,0.445,0.654,3.73,25,[Cl-].CCCCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)[O-].[Na+],54.5,-22.16,-36.8,10.1080/01932691.2021.1929289,
6,0.1122,17.4,0.404,0.632,4.11,25,[Cl-].CCCCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)[O-].[Na+],54.6,-22.5,-35.8,10.1080/01932691.2021.1929289,
7,0.1479,18.3,0.43,0.61,3.86,25,[Cl-].CCCCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)[O-].[Na+],53.7,-21.9,-35.8,10.1080/01932691.2021.1929289,
8,0.1737,19.9,0.47,0.587,3.53,25,[Cl-].CCCCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)[O-].[Na+],52.1,-21.5,-36.2,10.1080/01932691.2021.1929289,
9,0.1995,21.6,0.516,0.565,3.22,25,[Cl-].CCCCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)[O-].[Na+],50.4,-21.1,-36.8,10.1080/01932691.2021.1929289,
10,1.0016,24.2,0.543,0.543,3.06,25,[Cl-].CCCCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)[O-].[Na+],47.8,-17.1,-32.7,10.1080/01932691.2021.1929289,
