identifier,Temp_Celsius,source_doi,reference_doi,SMILES,CMC,pCMC,Molecular_Weight,InChI
CTAB,,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],,,364.45599999999996,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1"
CTAB,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.00115,2.939302159646388,364.45599999999996,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1"
CTAB,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.0011200000000000001,2.9507819773298185,364.45599999999996,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1"
CTAB,25.0,10.1021/jp982131g,10.1039/ft9908603623,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.0009350000000000001,3.0291883891274822,364.45599999999996,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1"
12-2-12,,10.1021/jp982131g,,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],,,614.6800000000005,"InChI=1S/C30H66N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31(3,4)29-30-32(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2"
12-2-12,46.5,10.1021/jp982131g,,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.00138,2.8601209135987635,614.6800000000005,"InChI=1S/C30H66N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31(3,4)29-30-32(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2"
12-2-12,46.5,10.1021/jp982131g,,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.00131,2.8827287043442356,614.6800000000005,"InChI=1S/C30H66N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31(3,4)29-30-32(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2"
12-2-12,25.0,10.1021/jp982131g,10.1021/la00054a008,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],0.0008399999999999999,3.0757207139381184,614.6800000000005,"InChI=1S/C30H66N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31(3,4)29-30-32(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2"
14-2-14,,10.1021/jp982131g,,CCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],,,670.7880000000006,"InChI=1S/C34H74N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-35(3,4)33-34-36(5,6)32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2"
14-2-14,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],0.0002,3.6989700043360187,670.7880000000006,"InChI=1S/C34H74N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-35(3,4)33-34-36(5,6)32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2"
14-2-14,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],0.00020999999999999998,3.677780705266081,670.7880000000006,"InChI=1S/C34H74N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-35(3,4)33-34-36(5,6)32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2"
16-2-16,,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],,,726.8960000000004,"InChI=1S/C38H82N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-39(3,4)37-38-40(5,6)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H/q+2;;/p-2"
16-2-16,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],3.4e-05,4.468521082957745,726.8960000000004,"InChI=1S/C38H82N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-39(3,4)37-38-40(5,6)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H/q+2;;/p-2"
16-2-16,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],3.2e-05,4.494850021680094,726.8960000000004,"InChI=1S/C38H82N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-39(3,4)37-38-40(5,6)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H/q+2;;/p-2"
16-2-16,25.0,10.1021/jp982131g,10.1021/la00054a008,CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],2.1000000000000002e-05,4.6777807052660805,726.8960000000004,"InChI=1S/C38H82N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-39(3,4)37-38-40(5,6)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H/q+2;;/p-2"
16-4-16,,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],,,754.9500000000003,"InChI=1S/C40H86N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-41(3,4)39-35-36-40-42(5,6)38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-40H2,1-6H3;2*1H/q+2;;/p-2"
