identifier,AW_ST_CMC,pC20,Area_min,source_doi,reference_doi,SMILES,method,CMC,Gamma_max,Temp_Celsius,pCMC,C20,Molecular_Weight,InChI
(Mor)12,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCC[NH+]1CCOCC1.[Br-],tensiometry,0.021,,25.0,1.6777807052660807,,336.35799999999995,"InChI=1S/C16H33NO.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-17-13-15-18-16-14-17;/h2-16H2,1H3;1H"
(Mor)16,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCCCC[NH+]1CCOCC1.[Br-],tensiometry,0.00038,,25.0,3.42021640338319,,392.46600000000007,"InChI=1S/C20H41NO.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-21-17-19-22-20-18-21;/h2-20H2,1H3;1H"
(Mor)10-P-10,39.9,2.56,1.02,10.1016/j.molliq.2021.115781,,CCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],tensiometry,0.006487,1.6299999999999999e-06,25.0,2.1879561020697733,0.002754228703338166,629.8420000000004,"InChI=1S/C36H66N2O2.2ClH/c1-3-5-7-9-11-13-15-17-23-37(25-29-39-30-26-37)33-35-19-21-36(22-20-35)34-38(27-31-40-32-28-38)24-18-16-14-12-10-8-6-4-2;;/h19-22H,3-18,23-34H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)12-P-12,38.24,3.35,1.26,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],tensiometry,0.001312,1.31e-06,25.0,2.8820661649603587,0.00044668359215096305,685.9500000000003,"InChI=1S/C40H74N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-27-41(29-33-43-34-30-41)37-39-23-25-40(26-24-39)38-42(31-35-44-36-32-42)28-22-20-18-16-14-12-10-8-6-4-2;;/h23-26H,3-22,27-38H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)14-P-14,42.45,4.18,1.29,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],tensiometry,0.000171,1.29e-06,25.0,3.767003889607846,6.606934480075965e-05,742.0580000000001,"InChI=1S/C44H82N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-23-25-31-45(33-37-47-38-34-45)41-43-27-29-44(30-28-43)42-46(35-39-48-40-36-46)32-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h27-30H,3-26,31-42H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)16-P-16,49.06,4.49,1.77,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],tensiometry,5.1e-05,9.399999999999999e-07,25.0,4.292429823902063,3.235936569296281e-05,798.1659999999998,"InChI=1S/C48H90N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-35-49(37-41-51-42-38-49)45-47-31-33-48(34-32-47)46-50(39-43-52-44-40-50)36-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-34H,3-30,35-46H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)10-BP-10,35.99,3.3,1.26,10.1016/j.molliq.2021.115781,,CCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-],tensiometry,0.002859,1.32e-06,25.0,2.543785844642011,0.0005011872336272725,705.9400000000004,"InChI=1S/C42H70N2O2.2ClH/c1-3-5-7-9-11-13-15-17-27-43(29-33-45-34-30-43)37-39-19-23-41(24-20-39)42-25-21-40(22-26-42)38-44(31-35-46-36-32-44)28-18-16-14-12-10-8-6-4-2;;/h19-26H,3-18,27-38H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)12-BP-12,35.4,4.29,1.68,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-],tensiometry,0.0005480000000000001,9.9e-07,25.0,3.261219441515631,5.128613839913648e-05,762.0480000000001,"InChI=1S/C46H78N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-31-47(33-37-49-38-34-47)41-43-23-27-45(28-24-43)46-29-25-44(26-30-46)42-48(35-39-50-40-36-48)32-22-20-18-16-14-12-10-8-6-4-2;;/h23-30H,3-22,31-42H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)14-BP-14,41.67,4.53,1.93,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-],tensiometry,0.000153,8.6e-07,25.0,3.815308569182401,2.951209226666384e-05,818.1559999999998,"InChI=1S/C50H86N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-23-25-35-51(37-41-53-42-38-51)45-47-27-31-49(32-28-47)50-33-29-48(30-34-50)46-52(39-43-54-44-40-52)36-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h27-34H,3-26,35-46H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)10-P-10,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.010411,,15.0,1.9825075535227248,,629.8420000000004,"InChI=1S/C36H66N2O2.2ClH/c1-3-5-7-9-11-13-15-17-23-37(25-29-39-30-26-37)33-35-19-21-36(22-20-35)34-38(27-31-40-32-28-38)24-18-16-14-12-10-8-6-4-2;;/h19-22H,3-18,23-34H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)10-P-10,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.010504,,20.0,1.978645286918577,,629.8420000000004,"InChI=1S/C36H66N2O2.2ClH/c1-3-5-7-9-11-13-15-17-23-37(25-29-39-30-26-37)33-35-19-21-36(22-20-35)34-38(27-31-40-32-28-38)24-18-16-14-12-10-8-6-4-2;;/h19-22H,3-18,23-34H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)10-P-10,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.010768000000000002,,25.0,1.9678649531200982,,629.8420000000004,"InChI=1S/C36H66N2O2.2ClH/c1-3-5-7-9-11-13-15-17-23-37(25-29-39-30-26-37)33-35-19-21-36(22-20-35)34-38(27-31-40-32-28-38)24-18-16-14-12-10-8-6-4-2;;/h19-22H,3-18,23-34H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)10-P-10,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.01102,,30.0,1.9578184054842338,,629.8420000000004,"InChI=1S/C36H66N2O2.2ClH/c1-3-5-7-9-11-13-15-17-23-37(25-29-39-30-26-37)33-35-19-21-36(22-20-35)34-38(27-31-40-32-28-38)24-18-16-14-12-10-8-6-4-2;;/h19-22H,3-18,23-34H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)10-P-10,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.011284,,35.0,1.9475369225166712,,629.8420000000004,"InChI=1S/C36H66N2O2.2ClH/c1-3-5-7-9-11-13-15-17-23-37(25-29-39-30-26-37)33-35-19-21-36(22-20-35)34-38(27-31-40-32-28-38)24-18-16-14-12-10-8-6-4-2;;/h19-22H,3-18,23-34H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)12-P-12,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.002159,,15.0,2.665747357665769,,685.9500000000003,"InChI=1S/C40H74N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-27-41(29-33-43-34-30-41)37-39-23-25-40(26-24-39)38-42(31-35-44-36-32-42)28-22-20-18-16-14-12-10-8-6-4-2;;/h23-26H,3-22,27-38H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)12-P-12,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.002254,,20.0,2.6470460882899123,,685.9500000000003,"InChI=1S/C40H74N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-27-41(29-33-43-34-30-41)37-39-23-25-40(26-24-39)38-42(31-35-44-36-32-42)28-22-20-18-16-14-12-10-8-6-4-2;;/h23-26H,3-22,27-38H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)12-P-12,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.0022280000000000004,,25.0,2.6520848134983086,,685.9500000000003,"InChI=1S/C40H74N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-27-41(29-33-43-34-30-41)37-39-23-25-40(26-24-39)38-42(31-35-44-36-32-42)28-22-20-18-16-14-12-10-8-6-4-2;;/h23-26H,3-22,27-38H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)12-P-12,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.002317,,30.0,2.635073966210024,,685.9500000000003,"InChI=1S/C40H74N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-27-41(29-33-43-34-30-41)37-39-23-25-40(26-24-39)38-42(31-35-44-36-32-42)28-22-20-18-16-14-12-10-8-6-4-2;;/h23-26H,3-22,27-38H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)12-P-12,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.0023490000000000004,,35.0,2.629116983222394,,685.9500000000003,"InChI=1S/C40H74N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-27-41(29-33-43-34-30-41)37-39-23-25-40(26-24-39)38-42(31-35-44-36-32-42)28-22-20-18-16-14-12-10-8-6-4-2;;/h23-26H,3-22,27-38H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)14-P-14,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.00033,,15.0,3.4814860601221125,,742.0580000000001,"InChI=1S/C44H82N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-23-25-31-45(33-37-47-38-34-45)41-43-27-29-44(30-28-43)42-46(35-39-48-40-36-46)32-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h27-30H,3-26,31-42H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)14-P-14,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.00035999999999999997,,20.0,3.4436974992327127,,742.0580000000001,"InChI=1S/C44H82N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-23-25-31-45(33-37-47-38-34-45)41-43-27-29-44(30-28-43)42-46(35-39-48-40-36-46)32-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h27-30H,3-26,31-42H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)14-P-14,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.00037,,25.0,3.431798275933005,,742.0580000000001,"InChI=1S/C44H82N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-23-25-31-45(33-37-47-38-34-45)41-43-27-29-44(30-28-43)42-46(35-39-48-40-36-46)32-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h27-30H,3-26,31-42H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)14-P-14,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.00038,,30.0,3.42021640338319,,742.0580000000001,"InChI=1S/C44H82N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-23-25-31-45(33-37-47-38-34-45)41-43-27-29-44(30-28-43)42-46(35-39-48-40-36-46)32-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h27-30H,3-26,31-42H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)14-P-14,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.0004,,35.0,3.3979400086720375,,742.0580000000001,"InChI=1S/C44H82N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-23-25-31-45(33-37-47-38-34-45)41-43-27-29-44(30-28-43)42-46(35-39-48-40-36-46)32-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h27-30H,3-26,31-42H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)16-P-16,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.00011899999999999999,,15.0,3.9244530386074694,,798.1659999999998,"InChI=1S/C48H90N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-35-49(37-41-51-42-38-49)45-47-31-33-48(34-32-47)46-50(39-43-52-44-40-50)36-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-34H,3-30,35-46H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)16-P-16,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.000126,,20.0,3.899629454882437,,798.1659999999998,"InChI=1S/C48H90N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-35-49(37-41-51-42-38-49)45-47-31-33-48(34-32-47)46-50(39-43-52-44-40-50)36-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-34H,3-30,35-46H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)16-P-16,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.000129,,25.0,3.889410289700751,,798.1659999999998,"InChI=1S/C48H90N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-35-49(37-41-51-42-38-49)45-47-31-33-48(34-32-47)46-50(39-43-52-44-40-50)36-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-34H,3-30,35-46H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)16-P-16,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.00013700000000000002,,30.0,3.8632794328435933,,798.1659999999998,"InChI=1S/C48H90N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-35-49(37-41-51-42-38-49)45-47-31-33-48(34-32-47)46-50(39-43-52-44-40-50)36-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-34H,3-30,35-46H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)16-P-16,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.00013900000000000002,,35.0,3.856985199745905,,798.1659999999998,"InChI=1S/C48H90N2O2.2ClH/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-35-49(37-41-51-42-38-49)45-47-31-33-48(34-32-47)46-50(39-43-52-44-40-50)36-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-34H,3-30,35-46H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)10-BP-10,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.00553,,15.0,2.2572748686953017,,705.9400000000004,"InChI=1S/C42H70N2O2.2ClH/c1-3-5-7-9-11-13-15-17-27-43(29-33-45-34-30-43)37-39-19-23-41(24-20-39)42-25-21-40(22-26-42)38-44(31-35-46-36-32-44)28-18-16-14-12-10-8-6-4-2;;/h19-26H,3-18,27-38H2,1-2H3;2*1H/q+2;;/p-2"
(Mor)10-BP-10,,,,10.1016/j.molliq.2021.115781,,CCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-],conductometry,0.00556,,20.0,2.2549252084179425,,705.9400000000004,"InChI=1S/C42H70N2O2.2ClH/c1-3-5-7-9-11-13-15-17-27-43(29-33-45-34-30-43)37-39-19-23-41(24-20-39)42-25-21-40(22-26-42)38-44(31-35-46-36-32-44)28-18-16-14-12-10-8-6-4-2;;/h19-26H,3-18,27-38H2,1-2H3;2*1H/q+2;;/p-2"
