Surfactant,CMC (mM/L),γcmc (mN/M),pC20,Γ (μmol/m2),Amin (nm2),Temperature (K),source_doi,reference_doi,SMILES,method
(Mor)12,21,,,,,298.15,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCC[NH+]1CCOCC1.[Br-],tensiometry
(Mor)16,0.38,,,,,298.15,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCCCC[NH+]1CCOCC1.[Br-],tensiometry
10-P-10,7.27,,,,,298.15,10.1016/j.molliq.2021.115782,,,tensiometry
12-P-12,1.2,,,,,298.15,10.1016/j.molliq.2021.115783,,,tensiometry
14-P-14,0.92,,,,,298.15,10.1016/j.molliq.2021.115784,,,tensiometry
16-P-16,0.48,,,,,298.15,10.1016/j.molliq.2021.115785,,,tensiometry
(Mor)10-P-10,6.487,39.9,2.56,1.63,1.02,298.15,10.1016/j.molliq.2021.115781,,CCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],tensiometry
(Mor)12-P-12,1.312,38.24,3.35,1.31,1.26,298.15,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],tensiometry
(Mor)14-P-14,0.171,42.45,4.18,1.29,1.29,298.15,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],tensiometry
(Mor)16-P-16,0.051,49.06,4.49,0.94,1.77,298.15,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-],tensiometry
(Mor)10-BP-10,2.859,35.99,3.3,1.32,1.26,298.15,10.1016/j.molliq.2021.115781,,CCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-],tensiometry
(Mor)12-BP-12,0.548,35.4,4.29,0.99,1.68,298.15,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-],tensiometry
(Mor)14-BP-14,0.153,41.67,4.53,0.86,1.93,298.15,10.1016/j.molliq.2021.115781,,CCCCCCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-],tensiometry
