Surfactant,Temperature (K),CMC (mM/L),β,ΔGmic (kJ/mol),ΔGads (kJ/mol),ΔHmic (kJ/mol),-TΔSmic (kJ/mol),source_doi,reference_doi,method,SMILES
(Mor)10-P-10,288.15,10.411,0.3618,−17.71,,−8.05,−9.66,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)10-P-10,293.15,10.504,0.3581,−17.93,,−8.81,−9.12,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)10-P-10,298.15,10.768,0.3530,−18.07,−50.16,−9.58,−8.49,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)10-P-10,303.15,11.020,0.3509,−18.28,,−10.4,−7.88,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)10-P-10,308.15,11.284,0.3379,−18.25,,−11.2,−7.05,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)12-P-12,288.15,2.159,0.5716,−26.06,,−48.36,22.30,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)12-P-12,293.15,2.254,0.5376,−25.56,,−48.54,22.98,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)12-P-12,298.15,2.228,0.4871,−24.71,−58.46,−48.83,24.12,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)12-P-12,303.15,2.317,0.4602,−24.40,,−49.18,24.79,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)12-P-12,308.15,2.349,0.4565,−24.67,,−49.58,24.91,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)14-P-14,288.15,0.330,0.4575,−27.60,,−69.65,42.26,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)14-P-14,293.15,0.360,0.4322,−27.14,,−70.03,42.89,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)14-P-14,298.15,0.370,0.3491,−25.08,−54.62,−70.33,45.25,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)14-P-14,303.15,0.380,0.3286,−24.83,,−71.11,46.28,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)14-P-14,308.15,0.400,0.3252,−25.03,,−71.82,46.79,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)16-P-16,288.15,0.119,0.4591,−29.99,,−103.20,73.21,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)16-P-16,293.15,0.126,0.3835,−27.98,,−104.92,76.94,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)16-P-16,298.15,0.129,0.3814,−28.34,−51.27,−107.42,79.08,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)16-P-16,303.15,0.137,0.3465,−27.54,,−109.45,81.91,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)16-P-16,308.15,0.139,0.2107,−23.48,,−111.49,88.01,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCCCCCCCC[N+]1(Cc2ccc(C[N+]3(CCCCCCCCCCCCCCCC)CCOCC3)cc2)CCOCC1.[Cl-].[Cl-]
(Mor)10-BP-10,288.15,5.530,0.5528,−23.23,,−6.93,−16.30,10.1016/j.molliq.2021.115781,,conductometry,CCCCCCCCCC[N+]1(Cc2ccc(-c3ccc(C[N+]4(CCCCCCCCCC)CCOCC4)cc3)cc2)CCOCC1.[Cl-].[Cl-]
