identifier,AW_ST_CMC,pC20,Area_min,reference_doi,source_doi,method,SMILES,InChI,Molecular_Weight,Temp_Celsius,CMC,pCMC,Gamma_max,C20
C14DGPB,30.26,4.16,0.835,,10.1016/j.colsurfa.2013.08.009,tensiometry,CCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Br-],"InChI=1S/C25H52N2O6.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-18-27(2,3)19-16-17-26-25(33)24(32)23(31)22(30)21(29)20-28;/h21-24,28-32H,4-20H2,1-3H3;1H/t21-,22-,23+,24-;/m1./s1",557.6110000000001,26.0,0.0007,3.154901959985743,1.99e-06,6.918309709189363e-05
C12DGPB,28.36,3.69,1.146,,10.1016/j.colsurfa.2013.08.009,tensiometry,CCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Br-],"InChI=1S/C23H48N2O6.BrH/c1-4-5-6-7-8-9-10-11-12-13-16-25(2,3)17-14-15-24-23(31)22(30)21(29)20(28)19(27)18-26;/h19-22,26-30H,4-18H2,1-3H3;1H/t19-,20-,21+,22-;/m1./s1",529.557,26.0,0.00475,2.3233063903751336,1.4499999999999999e-06,0.00020417379446695296
C14DLPB,34.59,3.57,0.898,,10.1016/j.colsurfa.2013.08.009,tensiometry,CCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Br-],"InChI=1S/C31H62N2O11.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-18-33(2,3)19-16-17-32-30(42)27(40)26(39)29(22(36)20-34)44-31-28(41)25(38)24(37)23(21-35)43-31;/h22-29,31,34-41H,4-21H2,1-3H3;1H/t22-,23-,24+,25+,26-,27-,28-,29-,31+;/m1./s1",719.7520000000009,26.0,0.00183,2.7375489102695707,1.85e-06,0.00026915348039269167
C12DLPB,27.42,3.68,1.216,,10.1016/j.colsurfa.2013.08.009,tensiometry,CCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Br-],"InChI=1S/C29H58N2O11.BrH/c1-4-5-6-7-8-9-10-11-12-13-16-31(2,3)17-14-15-30-28(40)25(38)24(37)27(20(34)18-32)42-29-26(39)23(36)22(35)21(19-33)41-29;/h20-27,29,32-39H,4-19H2,1-3H3;1H/t20-,21-,22+,23+,24-,25-,26-,27-,29+;/m1./s1",691.6980000000007,26.0,0.004889999999999999,2.3106911408763797,1.37e-06,0.00020892961308540387
C10DLPB,25.7,3.46,1.224,,10.1016/j.colsurfa.2013.08.009,tensiometry,CCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Br-],"InChI=1S/C27H54N2O11.BrH/c1-4-5-6-7-8-9-10-11-14-29(2,3)15-12-13-28-26(38)23(36)22(35)25(18(32)16-30)40-27-24(37)21(34)20(33)19(17-31)39-27;/h18-25,27,30-37H,4-17H2,1-3H3;1H/t18-,19-,20+,21+,22-,23-,24-,25-,27+;/m1./s1",663.6440000000006,26.0,0.01262,1.8989406450918844,1.36e-06,0.0003467368504525317
MAL-C12,,4.4,0.43,10.1006/jcis.1996.0054,10.1016/j.colsurfa.2013.08.009,tensiometry,CCCCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,"InChI=1S/C24H47NO11/c1-2-3-4-5-6-7-8-9-10-11-12-25-23(34)20(32)19(31)22(15(28)13-26)36-24-21(33)18(30)17(29)16(14-27)35-24/h15-22,24,26-33H,2-14H2,1H3,(H,25,34)/t15-,16-,17-,18+,19-,20-,21-,22-,24-/m1/s1",525.6360000000003,26.0,0.00031,3.5086383061657274,3.830000000000001e-06,3.9810717055349695e-05
DEX9-C12,,4.0,0.6,10.1006/jcis.1996.0054,10.1016/j.colsurfa.2013.08.009,tensiometry,CCCCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COC1O[C@H](COC2O[C@H](COC3O[C@H](COC4O[C@H](COC5O[C@H](COC6O[C@H](COC7O[C@H](COC8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@@H](O)[C@H](O)[C@H]7O)[C@@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C66H117NO46/c1-2-3-4-5-6-7-8-9-10-11-12-67-58(97)49(88)40(79)31(70)22(69)14-98-59-51(90)42(81)33(72)24(107-59)16-100-61-53(92)44(83)35(74)26(109-61)18-102-63-55(94)46(85)37(76)28(111-63)20-104-65-57(96)48(87)39(78)30(113-65)21-105-66-56(95)47(86)38(77)29(112-66)19-103-64-54(93)45(84)36(75)27(110-64)17-101-62-52(91)43(82)34(73)25(108-62)15-99-60-50(89)41(80)32(71)23(13-68)106-60/h22-57,59-66,68-96H,2-21H2,1H3,(H,67,97)/t22-,23-,24-,25-,26-,27-,28-,29-,30-,31-,32-,33-,34-,35-,36-,37-,38-,39-,40+,41+,42+,43+,44+,45+,46+,47+,48+,49-,50-,51-,52-,53-,54-,55-,56-,57-,59?,60?,61?,62?,63?,64?,65?,66?/m1/s1",1660.623000000002,26.0,0.00033,3.4814860601221125,2.75e-06,0.0001
C14DGPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Br-],"InChI=1S/C25H52N2O6.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-18-27(2,3)19-16-17-26-25(33)24(32)23(31)22(30)21(29)20-28;/h21-24,28-32H,4-20H2,1-3H3;1H/t21-,22-,23+,24-;/m1./s1",557.6110000000001,26.0,0.00085,3.070581074285707,,
C14DGPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Br-],"InChI=1S/C25H52N2O6.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-18-27(2,3)19-16-17-26-25(33)24(32)23(31)22(30)21(29)20-28;/h21-24,28-32H,4-20H2,1-3H3;1H/t21-,22-,23+,24-;/m1./s1",557.6110000000001,31.0,0.00087,3.0604807473813813,,
C14DGPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Br-],"InChI=1S/C25H52N2O6.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-18-27(2,3)19-16-17-26-25(33)24(32)23(31)22(30)21(29)20-28;/h21-24,28-32H,4-20H2,1-3H3;1H/t21-,22-,23+,24-;/m1./s1",557.6110000000001,36.0,0.00091,3.0409586076789066,,
C14DGPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Br-],"InChI=1S/C25H52N2O6.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-15-18-27(2,3)19-16-17-26-25(33)24(32)23(31)22(30)21(29)20-28;/h21-24,28-32H,4-20H2,1-3H3;1H/t21-,22-,23+,24-;/m1./s1",557.6110000000001,41.0,0.00094,3.0268721464003012,,
C12DGPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Br-],"InChI=1S/C23H48N2O6.BrH/c1-4-5-6-7-8-9-10-11-12-13-16-25(2,3)17-14-15-24-23(31)22(30)21(29)20(28)19(27)18-26;/h19-22,26-30H,4-18H2,1-3H3;1H/t19-,20-,21+,22-;/m1./s1",529.557,26.0,0.00481,2.317854923626168,,
C12DGPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Br-],"InChI=1S/C23H48N2O6.BrH/c1-4-5-6-7-8-9-10-11-12-13-16-25(2,3)17-14-15-24-23(31)22(30)21(29)20(28)19(27)18-26;/h19-22,26-30H,4-18H2,1-3H3;1H/t19-,20-,21+,22-;/m1./s1",529.557,31.0,0.004849999999999999,2.3142582613977365,,
C12DGPB,,,,,10.1016/j.colsurfa.2013.08.009,conductometry,CCCCCCCCCCCC[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Br-],"InChI=1S/C23H48N2O6.BrH/c1-4-5-6-7-8-9-10-11-12-13-16-25(2,3)17-14-15-24-23(31)22(30)21(29)20(28)19(27)18-26;/h19-22,26-30H,4-18H2,1-3H3;1H/t19-,20-,21+,22-;/m1./s1",529.557,36.0,0.00492,2.30803489723264,,
