Surfactant,T (K),cmc (mmol/L),G0mic (kJ/mol),H0mic (kJ/mol),S0mic (J/mol),β,reference_doi,source_doi
C14DGPB,298.15,0.85,-34.6,-5.78,96.67,0.26,,10.1016/j.colsurfa.2013.08.009
C14DGPB,303.15,0.87,-34.9,-5.93,95.56,0.25,,10.1016/j.colsurfa.2013.08.009
C14DGPB,308.15,0.91,-35.0,-6.08,93.85,0.24,,10.1016/j.colsurfa.2013.08.009
C14DGPB,313.15,0.94,-35.5,-6.28,93.31,0.24,,10.1016/j.colsurfa.2013.08.009
C12DGPB,298.15,4.81,-26.4,-2.89,78.85,0.14,,10.1016/j.colsurfa.2013.08.009
C12DGPB,303.15,4.85,-26.6,-2.96,77.98,0.13,,10.1016/j.colsurfa.2013.08.009
C12DGPB,308.15,4.92,-26.8,-3.03,77.14,0.12,,10.1016/j.colsurfa.2013.08.009
C12DGPB,313.15,5.01,-26.9,-3.1,76.0,0.11,,10.1016/j.colsurfa.2013.08.009
C14DLPB,298.15,1.87,-30.9,-8.1,76.47,0.21,,10.1016/j.colsurfa.2013.08.009
C14DLPB,303.15,1.95,-31.0,-8.31,74.85,0.2,,10.1016/j.colsurfa.2013.08.009
C14DLPB,308.15,2.09,-31.1,-8.51,73.31,0.19,,10.1016/j.colsurfa.2013.08.009
C14DLPB,313.15,2.13,-31.2,-8.72,71.79,0.18,,10.1016/j.colsurfa.2013.08.009
C12DLPB,298.15,5.03,-27.6,-5.98,72.51,0.2,,10.1016/j.colsurfa.2013.08.009
C12DLPB,303.15,5.21,-27.4,-6.03,70.49,0.17,,10.1016/j.colsurfa.2013.08.009
C12DLPB,308.15,5.49,-27.4,-6.17,68.9,0.16,,10.1016/j.colsurfa.2013.08.009
C12DLPB,313.15,5.62,-27.3,-6.26,67.19,0.14,,10.1016/j.colsurfa.2013.08.009
C10DLPB,298.15,12.69,-25.6,-3.75,73.29,0.23,,10.1016/j.colsurfa.2013.08.009
C10DLPB,303.15,12.95,-25.9,-3.87,72.67,0.23,,10.1016/j.colsurfa.2013.08.009
C10DLPB,308.15,13.02,-26.1,-3.97,71.82,0.22,,10.1016/j.colsurfa.2013.08.009
C10DLPB,313.15,13.57,-26.2,-4.06,70.7,0.21,,10.1016/j.colsurfa.2013.08.009
