AW_ST_CMC,Area_min,SMILES,source_doi,reference_doi,Molecular_Weight,InChI,CMC,pCMC,Gamma_max,C20,pC20
,,CCCCCCCCc1cccc[n+]1CCCC[n+]1ccccc1CCCCCCCC.[Br-].[Br-],10.1021/la701154w,,598.5520000000004,"InChI=1S/C30H50N2.2BrH/c1-3-5-7-9-11-13-21-29-23-15-17-25-31(29)27-19-20-28-32-26-18-16-24-30(32)22-14-12-10-8-6-4-2;;/h15-18,23-26H,3-14,19-22,27-28H2,1-2H3;2*1H/q+2;;/p-2",,,,,
38.5,0.6,CCCCCCCCCCc1cccc[n+]1CCCC[n+]1ccccc1CCCCCCCCCC.[Br-].[Br-],10.1021/la701154w,,654.6600000000005,"InChI=1S/C34H58N2.2BrH/c1-3-5-7-9-11-13-15-17-25-33-27-19-21-29-35(33)31-23-24-32-36-30-22-20-28-34(36)26-18-16-14-12-10-8-6-4-2;;/h19-22,27-30H,3-18,23-26,31-32H2,1-2H3;2*1H/q+2;;/p-2",0.00269,2.570247719997592,2.76e-06,0.00076,1.0017514967524157
40.5,0.94,CCCCCCCCCCCCc1cccc[n+]1CCCC[n+]1ccccc1CCCCCCCCCCCC.[Br-].[Br-],10.1021/la701154w,,710.7680000000005,"InChI=1S/C38H66N2.2BrH/c1-3-5-7-9-11-13-15-17-19-21-29-37-31-23-25-33-39(37)35-27-28-36-40-34-26-24-32-38(40)30-22-20-18-16-14-12-10-8-6-4-2;;/h23-26,31-34H,3-22,27-30,35-36H2,1-2H3;2*1H/q+2;;/p-2",0.0005600000000000001,3.2518119729937993,1.77e-06,0.00023,1.0005297348313529
,,CCCCCCCCc1cccc[n+]1CCCCCC[n+]1ccccc1CCCCCCCC.[Br-].[Br-],10.1021/la701154w,,626.6060000000004,"InChI=1S/C32H54N2.2BrH/c1-3-5-7-9-11-15-23-31-25-17-21-29-33(31)27-19-13-14-20-28-34-30-22-18-26-32(34)24-16-12-10-8-6-4-2;;/h17-18,21-22,25-26,29-30H,3-16,19-20,23-24,27-28H2,1-2H3;2*1H/q+2;;/p-2",,,,,
41.6,0.74,CCCCCCCCCCc1cccc[n+]1CCCCCC[n+]1ccccc1CCCCCCCCCC.[Br-].[Br-],10.1021/la701154w,,682.7140000000006,"InChI=1S/C36H62N2.2BrH/c1-3-5-7-9-11-13-15-19-27-35-29-21-25-33-37(35)31-23-17-18-24-32-38-34-26-22-30-36(38)28-20-16-14-12-10-8-6-4-2;;/h21-22,25-26,29-30,33-34H,3-20,23-24,27-28,31-32H2,1-2H3;2*1H/q+2;;/p-2",0.002,2.6989700043360187,2.25e-06,0.00074,1.00170536545337
43.7,0.99,CCCCCCCCCCCCc1cccc[n+]1CCCCCC[n+]1ccccc1CCCCCCCCCCCC.[Br-].[Br-],10.1021/la701154w,,738.8220000000003,"InChI=1S/C40H70N2.2BrH/c1-3-5-7-9-11-13-15-17-19-23-31-39-33-25-29-37-41(39)35-27-21-22-28-36-42-38-30-26-34-40(42)32-24-20-18-16-14-12-10-8-6-4-2;;/h25-26,29-30,33-34,37-38H,3-24,27-28,31-32,35-36H2,1-2H3;2*1H/q+2;;/p-2",0.00054,3.2676062401770314,1.68e-06,0.00020999999999999998,1.0004836597952276
54.7,,CCCCCCCCCCc1cccc[n+]1CC.[Br-],10.1021/la701154w,,328.33799999999985,"InChI=1S/C17H30N.BrH/c1-3-5-6-7-8-9-10-11-14-17-15-12-13-16-18(17)4-2;/h12-13,15-16H,3-11,14H2,1-2H3;1H/q+1;/p-1",0.008060000000000001,2.093664958194909,,,
53.7,,CCCCCCCCCCc1cccc[n+]1CCC.[Br-],10.1021/la701154w,,342.36499999999984,"InChI=1S/C18H32N.BrH/c1-3-5-6-7-8-9-10-11-14-18-15-12-13-17-19(18)16-4-2;/h12-13,15,17H,3-11,14,16H2,1-2H3;1H/q+1;/p-1",0.00609,2.215382707367125,,,
47.3,,CCCCCCCCCCCCc1cccc[n+]1CC.[Br-],10.1021/la701154w,,356.39199999999994,"InChI=1S/C19H34N.BrH/c1-3-5-6-7-8-9-10-11-12-13-16-19-17-14-15-18-20(19)4-2;/h14-15,17-18H,3-13,16H2,1-2H3;1H/q+1;/p-1",0.00362,2.441291429466834,,0.0029,1.0066998409579648
47.2,,CCCCCCCCCCCCc1cccc[n+]1CCC.[Br-],10.1021/la701154w,,370.4189999999999,"InChI=1S/C20H36N.BrH/c1-3-5-6-7-8-9-10-11-12-13-16-20-17-14-15-19-21(20)18-4-2;/h14-15,17,19H,3-13,16,18H2,1-2H3;1H/q+1;/p-1",0.00281,2.55129368009492,,0.00225,1.0051942600951387
