Compound,R,-Y-,CMC (M),γCMC (mN/m),Temp_Celsius,source_doi,reference_doi,SMILES
IIIa,C8H17,-(CH2]2-,0.0006,29.2,20.0,10.1007/BF02638962,,O=S(OC(COCCOCC(OS(=O)([O-])=O)COCCCCCCCC)COCCCCCCCC)([O-])=O.[Na+].[Na+]
IIIb,CsHI7,-{CH2)4-,0.0015,32.0,20.0,10.1007/BF02638962,,O=S(OC(COCCCCOCC(OS(=O)([O-])=O)COCCCCCCCC)COCCCCCCCC)([O-])=O.[Na+].[Na+]
IIIc,C8H17,-CH2(CH2OCH2)2CH2-,0.00018,32.5,20.0,10.1007/BF02638962,,O=S(OC(COCCOCCOCCOCC(OS(=O)([O-])=O)COCCCCCCCC)COCCCCCCCC)([O-])=O.[Na+].[Na+]
IIId,C8H17,"1,4-phenylene",0.0003,41.8,20.0,10.1007/BF02638962,,O=S(OC(COC1=CC=C(OCC(OS(=O)([O-])=O)COCCCCCCCC)C=C1)COCCCCCCCC)([O-])=O.[Na+].[Na+]
IIIe,CsH17,"1,2-phenylene",0.00017,42.0,20.0,10.1007/BF02638962,,O=S(OC(COC1=CC=CC=C1OCC(OS(=O)([O-])=O)COCCCCCCCC)COCCCCCCCC)([O-])=O.[Na+].[Na+]
IIIf,C10H21,-(CH2)2-,1.3e-05,27.0,20.0,10.1007/BF02638962,,O=S(OC(COCCOCC(OS(=O)([O-])=O)COCCCCCCCCCC)COCCCCCCCCCC)([O-])=O.[Na+].[Na+]
IIIg,C10H21,-{CH2}4-,0.0006,32.5,20.0,10.1007/BF02638962,,O=S(OC(COCCCCOCC(OS(=O)([O-])=O)COCCCCCCCCCC)COCCCCCCCCCC)([O-])=O.[Na+].[Na+]
IIIh,CmH21,-CHa(CH2OCH2}2CH2-,3.2e-05,32.0,20.0,10.1007/BF02638962,,O=S(OC(COCCOCCOCCOCC(OS(=O)([O-])=O)COCCCCCCCCCC)COCCCCCCCCCC)([O-])=O.[Na+].[Na+]
IIIi,C10H21,"1,4-phenylene",3.5e-05,38.8,20.0,10.1007/BF02638962,,O=S(OC(COC1=CC=C(OCC(OS(=O)([O-])=O)COCCCCCCCCCC)C=C1)COCCCCCCCCCC)([O-])=O.[Na+].[Na+]
IIIj,C10H21,"1,2-phenylene",3.5e-05,39.5,20.0,10.1007/BF02638962,,O=S(OC(COC1=CC=CC=C1OCC(OS(=O)([O-])=O)COCCCCCCCCCC)COCCCCCCCCCC)([O-])=O.[Na+].[Na+]
,C12H25SO4Na,,0.0082,39.5,25.0,10.1007/BF02638962,978-0-471-83651-3,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
,C18H37SO4Na,,0.00023,,50.0,10.1007/BF02638962,978-0-471-83651-3,CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
