identifier,AW_ST_CMC,pC20,Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,method,CMC,Gamma_max,pCMC,C20,Molecular_Weight,InChI
I,37.8,3.19,1.51,20.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],tensiometry,0.00065,1.0900000000000002e-06,3.1870866433571443,0.0006456542290346556,689.894,"InChI=1S/C38H70N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-31-39(3,4)33-37(41)43-35-27-29-36(30-28-35)44-38(42)34-40(5,6)32-26-24-22-20-18-16-14-12-10-8-2;;/h27-30H,7-26,31-34H2,1-6H3;2*1H/q+2;;/p-2"
II,37.7,4.04,1.31,20.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],tensiometry,0.0001,1.2700000000000001e-06,4.0,9.120108393559096e-05,746.0019999999997,"InChI=1S/C42H78N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-35-43(3,4)37-41(45)47-39-31-33-40(34-32-39)48-42(46)38-44(5,6)36-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h31-34H,7-30,35-38H2,1-6H3;2*1H/q+2;;/p-2"
III,41.1,3.24,1.86,20.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],tensiometry,0.00058,8.900000000000001e-07,3.2365720064370627,0.0005754399373371566,717.9479999999999,"InChI=1S/C40H74N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-31-41(3,4)33-39(43)45-35-37-27-29-38(30-28-37)36-46-40(44)34-42(5,6)32-26-24-22-20-18-16-14-12-10-8-2;;/h27-30H,7-26,31-36H2,1-6H3;2*1H/q+2;;/p-2"
IV,40.9,3.99,1.34,20.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],tensiometry,8.999999999999999e-05,1.24e-06,4.045757490560675,0.00010232929922807536,774.0559999999996,"InChI=1S/C44H82N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-35-45(3,4)37-43(47)49-39-41-31-33-42(34-32-41)40-50-44(48)38-46(5,6)36-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h31-34H,7-30,35-40H2,1-6H3;2*1H/q+2;;/p-2"
DTAB,,,0.66,20.0,10.1007/s11743-015-1777-4,10.1021/jp802243f,CCCCCCCCCCCC[N+](C)(C)C.[Br-],,,,,,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
DTAB,39.0,2.1,,20.0,10.1007/s11743-015-1777-4,10.1021/la060156y,CCCCCCCCCCCC[N+](C)(C)C.[Br-],,0.016,,1.7958800173440752,0.007943282347242814,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
TTAB,37.8,2.9,,20.0,10.1007/s11743-015-1777-4,10.1021/la060156y,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],,0.0037,,2.431798275933005,0.0012589254117941675,336.40199999999993,"InChI=1S/C17H38N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18(2,3)4;/h5-17H2,1-4H3;1H/q+1;/p-1"
TTAB,,,0.62,20.0,10.1007/s11743-015-1777-4,10.1021/jp802243f,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],,,,,,336.40199999999993,"InChI=1S/C17H38N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18(2,3)4;/h5-17H2,1-4H3;1H/q+1;/p-1"
I,,,,20.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.001067,,2.97183558057553,,689.894,"InChI=1S/C38H70N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-31-39(3,4)33-37(41)43-35-27-29-36(30-28-35)44-38(42)34-40(5,6)32-26-24-22-20-18-16-14-12-10-8-2;;/h27-30H,7-26,31-34H2,1-6H3;2*1H/q+2;;/p-2"
I,,,,25.0,10.1007/s11743-015-1777-4,,CCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],conductometry,0.0013080000000000001,,2.8833922560117515,,689.894,"InChI=1S/C38H70N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-31-39(3,4)33-37(41)43-35-27-29-36(30-28-35)44-38(42)34-40(5,6)32-26-24-22-20-18-16-14-12-10-8-2;;/h27-30H,7-26,31-34H2,1-6H3;2*1H/q+2;;/p-2"
