Surfactant,Temp_Celsius,CMC (mmol L-1),β,ΔmicG0 (KJ mol-1),ΔmicH0 (KJ mol-1),TΔmicS0 (KJ mol-1),SMILES,source_doi,method
I,20,1.067,0.452,-25.19,-10.34,14.85,CCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
I,25,1.308,0.443,-24.90,-10.18,14.73,CCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
I,30,1.425,0.434,-24.88,-10.85,14.03,CCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
I,35,1.512,0.422,-24.82,-11.06,13.76,CCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
I,40,1.635,0.410,-24.71,-11.28,13.44,CCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
II,20,0.197,0.639,-34.83,-13.92,20.91,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
II,25,0.249,0.618,-34.12,-14.13,19.99,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
II,30,0.285,0.610,-34.07,-14.50,19.57,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
II,35,0.301,0.591,-33.88,-14.73,19.16,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
II,40,0.325,0.578,-33.81,-15.03,18.78,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)Oc1ccc(OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
III,20,0.946,0.613,-29.78,-12.09,17.69,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
III,25,1.131,0.578,-28.86,-12.11,16.75,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
III,30,1.273,0.567,-28.72,-12.39,16.33,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
III,35,1.378,0.556,-28.68,-12.67,16.01,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
III,40,1.419,0.540,-28.63,-12.89,15.74,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
IV,20,0.178,0.666,-35.94,-13.25,22.70,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
IV,25,0.190,0.651,-35.90,-13.53,22.38,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
IV,30,0.203,0.635,-35.81,-13.79,22.02,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
IV,35,0.229,0.629,-35.86,-14.17,21.68,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
IV,40,0.238,0.593,-35.17,-14.17,21.00,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCc1ccc(COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],10.1007/s11743-015-1777-4,conductometry
