SMILES,Surfactant_Type_1,Surfactant_Type_2,Surfactant_Type_3
CCCCCCCCCCOC(=O)C[N+](C)(C)CCCN=Cc1ccccc1O.[Cl-],cationic,,
CCCCCCCCCCCCCCOC(=O)C[N+](C)(C)CCCN=Cc1ccccc1O.[Cl-],cationic,,
CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)CCCN=Cc1ccccc1O.[Cl-],cationic,,
CCCCCCCCCCCCOC(=O)[N+](CC)(CC)CC.[I-],cationic,,
CCCCCCCCCCCCCCCCOC(=O)[N+](CC)(CC)CC.[I-],cationic,,
CCCCCCCCCCCCCCCCCCOC(=O)[N+](CC)(CC)CC.[I-],cationic,,
CCCCCCCCOC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)OCCCCCCCC.[Cl-].[Cl-],cationic,gemini,
CCCCCCCCCCCCOC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)OCCCCCCCCCCCC.[Cl-].[Cl-],cationic,gemini,
CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)OCCCCCCCCCCCCCCCC.[Cl-].[Cl-],cationic,gemini,
CCCCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)OCCCCCCCCCCCCCCCCCC.[Cl-].[Cl-],cationic,gemini,
CCCCCCCC[N+](C)(C)c1ccc(C=Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1.[Br-],cationic,,
CCCCCCCCCCCC[N+](C)(C)c1ccc(C=Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1.[Br-],cationic,,
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(C=Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1.[Br-],cationic,,
CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic,gemini,
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,,
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,,
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,,
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,anionic,,
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,anionic,,
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,non-ionic,,
O=C(NCCOCCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,non-ionic,,
CCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,non-ionic,,
CCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,non-ionic,,
CCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,non-ionic,,
CCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,non-ionic,,
CCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,non-ionic,,
CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,non-ionic,,
C=CCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,non-ionic,,
CCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],cationic,organic counterion,
CCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],cationic,organic counterion,
CCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],cationic,organic counterion,
CCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],cationic,organic counterion,
CCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],cationic,organic counterion,
CCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],cationic,organic counterion,
CCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],cationic,organic counterion,
CCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],cationic,organic counterion,
CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],cationic,organic counterion,
C=CCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],cationic,organic counterion,
CCCCCCCCCC[n+]1ccn(CCCCn2cc[n+](CCCCCCCCCC)c2)c1.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCC[n+]1ccn(CCCCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCCCC[n+]1ccn(CCCCn2cc[n+](CCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCC[n+]1ccn(CCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCC[n+]1ccn(CCCCCCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],cationic,gemini,
CCCCCCCCCC[NH2+]CCO.[Br-],cationic,,
CCCCCCCCCC[NH+](CCO)CCO.[Br-],cationic,,
CCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],cationic,,
CCCCCCCCCC[NH+](C)CCO.[Br-],cationic,,
CC(=O)[O-].CCCCCCCCCCCC[NH2+]CC(C)O,cationic,organic counterion,
CCC(=O)[O-].CCCCCCCCCCCC[NH2+]CC(C)O,cationic,organic counterion,
CCCCCCCCCCCC[NH2+]CC(C)O.[Cl-],cationic,,
CCCCCCCCCCCC[NH2+]CC(C)O.[Br-],cationic,,
CCCCCCCCCCCC[NH+](C)CC(C)O.[I-],cationic,,
CCCCCCCCCCCC[NH+](CC)CC(C)O.[Br-],cationic,,
CCCCCCCCCCCC[NH+](CCC)CC(C)O.[Br-],cationic,,
CCCCCCCCC[NH2+]CCO.[Br-],cationic,,
CCCCCCCCC[NH+](CCO)CCO.[Br-],cationic,,
CCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],cationic,,
CCCCCCCCC[NH2+]CCO.[I-],cationic,,
CCCCCCCCC[NH+](CCO)CCO.[I-],cationic,,
CCCCCCCCC[N+](CCO)(CCO)CCO.[I-],cationic,,
CCCCCCCC[NH+](CCCCC[NH+](CCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],cationic,gemini,
CCCCCCCCC[NH+](CCCCC[NH+](CCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCC[NH+](CCCCC[NH+](CCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCCCCCC[NH+](CCCCC[NH+](CCCCCCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],cationic,gemini,
CCCCCCCC[N+](CCCCC[N+](CCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],cationic,gemini,
CCCCCCCCC[N+](CCCCC[N+](CCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCC[N+](CCCCC[N+](CCCCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCCCCCC[N+](CCCCC[N+](CCCCCCCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],cationic,gemini,
CCCCCCCCCCCCCC[NH2+]CCO.[Br-],cationic,,
CCCCCCCCCCCCCC[NH+](CCO)CCO.[Br-],cationic,,
CCCCCCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],cationic,,
CCCCCCCCCCCCCC[NH+](C)CCO.[Br-],cationic,,
CCCCCCCCCCCCCC[N+](C)(CCO)CCO.[Br-],cationic,,
CCCCCCCCCCCCCC[N+](CCO)(CCO)CC(C)O.[Br-],cationic,,
CCCCCCCCCCCCCC[N+](CCO)(CC(C)O)CC(C)O.[Br-],cationic,,
CCCCCCCCCCCCCC[N+](CC(C)O)(CC(C)O)CC(C)O.[Br-],cationic,,
CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,non-ionic,sugar based,
